Spotify ID,Title,Artist,Album,Release Date,Popularity
58W8msRcPrjRCEZsDKVdTm,Kannada Naadige,K. Yuvaraj,Chinnadagiri Ayyappa,2000-01-12,10
48esjqb2v79a9N9pHcmHkI,Kannada Chithrava Nodranna,"Rajesh Krishnan, Hamsalekha",Hats off India (Original Motion Picture Soundtrack),2000-03-24,8
6mGBTYsHruVwDXsYXNEs6X,Kannadada Kampanu,Manjula Gururaj,Hrudaya Veene,2000-01-09,0
3fke7dp8zXqfo0wP0WZCpU,Sri Krishna Gaarudie(Kannada Harikatha),Gururajulu Naidu,Sri Krishna Gaarudia (Hari Katha),2000-12-04,12
3OvY8nvHdyceUZk12TCyOl,Kannada Naadige Baaro Nee,Sundar,Abisheka Priya,2000-01-12,0
0l5KE3f1nlI8bbt0Zjs2w3,Alai Payuthe - Raga: Kannada; Tala: Adi,E. Gayathri,Taye Yeshode,2000-01-01,1
0KqnoJ39y50p69Xr7vtgeV,Gaja Gowri Wratha - Kannada Harikatha,Sri Gururajulu Naidu,Gaja Sowri Wratha,2000-12-04,15
6i3kFqDyDjXLM7vaqOWxEd,Kannada Commentry,"Anuradha Paudwal, K. Yuvaraj",Kailasanatha Shiva Shiva Shambho,2000-12-28,0
3g6VXfVqfFjzhohZlx9ilj,Banthu Kannada Nadina,Puttur Narasimha Nayak,Bhuvaneshwari Thayi Annamma Devi,2000-01-09,0
6dvRhX2NoN0fcmwiCZcxIq,Rama Nama Darbari Kannada Roopakam Purandaradass,M. L. Vasanthakumari,Sangeeth Sangamam,2000-09-09,0
30GXwiEg2YBj6okgiWzioW,Yerisi Haarisi Kannadada,"P.Kalinga Rao, Mohanakumari",Baarayya Beladingale - P Kalinga Rao - Revival,2000-12-01,0
4FNtWnlyRsbqnv74HughKB,Khayal - Haon To Vaar Daari And Ab Ke Pher Lije,Pandit Jasraj,"Kannada Ke Rang By Sangeet Martand Pt.Jasraj,Vol. 1 And 2",2000-12-01,0
6GcwviiD7WvHf6yawKOk2J,Khayal - Gore Gore Mukh And Tum Bin Mil Mohe Chain Parat Naahi,Pandit Jasraj,"Kannada Ke Rang By Sangeet Martand Pt.Jasraj,Vol. 1 And 2",2000-12-01,0
69CoqkOcIjl9aMLg46cTBt,Sogasu Juda - Kannada Gowla Ayyalore Krishnan,Ayyalore Krishnan,Millennium Classical Volume 7,2000-01-06,0
