Spotify ID,Title,Artist,Album,Release Date
62VgXpdM5wPj94IkzKWkyu,Kaaraina Kannadavanu,S. P. Balasubrahmanyam,Kotigobba Sharana Madeshwara,2005-02-11
6GroDY4cOVODuIGZ22PiAE,Kannada Nadina Kalpatharu,Upadhyaya Sri Kamakumara Nandhi Maharajaru,Kannada Nadina Kalpatharu,2005
7chyle7v0A4DVEiGh9jJZG,"Saravana Bhava - Kannada - Adi, Pt. 3","Ranjani-Gayatri, Charumathi Raghuraman, Arunprakash, Udupi Shridhar",Saravanabhava,2005-07-15
0NiEr5sZjX7s0vZ46sVYTM,Kannada Nadina,Y. N. Hubballi,Makara Sankranthi,2005-10-03
076dmxItwWGQzVIhPSzyHk,Kannada Naadalli,Ramanna Shanaboga,Kannadada Kanmani,2005
3EyStvmQisJIuvcLa4mgPZ,Mariyemi Kavalenu - Kannada - Adi (Live),"Ranjani-Gayatri, Arunpraksh, Udupi Sridhar, R. K. Shriram",Enna Solli Azhaittal (Live),2005-07-09
2KqcPPqXypuRpAqPzLaHvd,Belgola Nagarake Gommateshhanthe,Upadhyaya Sri Kamakumara Nandhi Maharajaru,Kannada Nadina Kalpatharu,2005
1NOBoegScFZSY7idYzEZig,Panchakshariyal Pancha Mantrava,Upadhyaya Sri Kamakumara Nandhi Maharajaru,Kannada Nadina Kalpatharu,2005
1KxeVuccsaJKbHzi3wcbT4,Thala Thala Holeyuva,Upadhyaya Sri Kamakumara Nandhi Maharajaru,Kannada Nadina Kalpatharu,2005
4C2hvuEoKp9LLav8NzGqKF,Manakavadada,Ramanna Shanaboga,Kannadada Kanmani,2005
0QWdj56EpiPl8xRlJtkwQo,Thayi Kela Thala,Ramanna Shanaboga,Kannadada Kanmani,2005
5eGJYFrnZyw6YMEyaq6ri3,Yatsargaavatarothsave,Upadhyaya Sri Kamakumara Nandhi Maharajaru,Kannada Nadina Kalpatharu,2005
2YRlAa922Jf8cNNIliZXY5,Gandedeya Ranachandi,Ramanna Shanaboga,Kannadada Kanmani,2005
1RZYw6tREdmRYMoCRZdtR9,Sanmargakkidu Saadhana Mantram,Upadhyaya Sri Kamakumara Nandhi Maharajaru,Kannada Nadina Kalpatharu,2005
66s0nfyPROjakFt7BlsoJL,Dharaneyolage,M. Meseyavara,Kannadada Kanmani,2005
2hSG0CnfeRcG7j49uAtVfy,Yanna Ninna Kariyalaka,Basappa Goravara,Kannadada Kanmani,2005
0Cv7YwMeZP6pbEeYOQZ6vf,Suryanudaya,Ramanna Shanaboga,Kannadada Kanmani,2005
5BxfuhUY4vASbiOspLiFyB,Kogitu Kogile,Ramanna Shanaboga,Kannadada Kanmani,2005
2LV5WvZiuqTBNQZbTmSAm5,Kyon Aaye Ithane Naranaari,Upadhyaya Sri Kamakumara Nandhi Maharajaru,Kannada Nadina Kalpatharu,2005
