Spotify ID,Title,Artist,Album,Release Date
6BcMcVax12vNuOqnPOayZ1,Bailando - English Version,"Enrique Iglesias, Sean Paul, Descemer Bueno, Gente De Zona",S** AND LOVE,2014-01-01
78EQZFdiuoAfYddqBVQt74,Let It Go - English Version,Idina Menzel,Let It Go The Complete Set (From “Frozen”),2014-01-01
5XNq5NoOABlsD5aUmBGTjv,Happy Anniversary to You in English,Dr. Jay and Musical Orchestra,Happy Anniversary to You,2014-01-01
3SUGB98Jyt4QagiSECnhEh,Dubai Metro Tune - English Version,K.J. Metropolis,Dubai Metro Tune (On the Way to Rashidiya),2014-04-01
6GZe1TN4XKVNS8kFFh0vum,Reyna - English Version,"Tommy Boy & LLP, Sandra N.",Reyna (English Version),2014-01-01
5yvhy0gAfuSyfndmFC06S0,Ramadan - English - Vocals Only,Maher Zain,Ramadan (Vocals Only Version),2014-06-29
0o9ivTBX7mjTnaUYF4Gk6t,The Imitation Game,"Alexandre Desplat, London Symphony Orchestra",The Imitation Game (Original Motion Picture Soundtrack),2014-11-07
7HGiJuxRRvsuIvv4EhGIZI,Song For Love - English Version,Lyn,Le Grand Bleu,2014-03-06
4Q8fTd9byJsf8GYSOwjW9R,English Devotional,Shaan Rahman,Praise the Lord (Original Motion Picture Soundtrack),2014-07-01
2Ep5yZhBqHfwg0Lj4BlNKb,English Love Affair,5 Seconds of Summer,5 Seconds Of Summer,2014-06-27
5jg4h0UPyBK9FD5QjiuDUH,crossing field -English ver.-,LiSA,シルシ,2014-12-10
2S3qN8s6dS8QR5PthnqI2P,"Violin Romance No. 1 in G Major, Op. 40","Ludwig van Beethoven, Pinchas Zukerman, London Philharmonic Orchestra, Daniel Barenboim","Sibelius: Violin Concerto In D Minor, Op.47 / Beethoven: Violin Romance No.1 In G Major / Brahms: Violin Concerto In D, Op.77 (The Originals)",2014-01-01
4J9mulgiRlkkgdAONNVGQv,"Flying Theme (From ""E.T. the Extra-Terrestrial"")","John Williams, London Symphony Orchestra",John Williams - Greatest Hits 1969-1999,2014-08-18
