Spotify ID,Title,Artist,Album,Release Date
0dnDTvdUco2UbaBjUtPxNS,Buttabomma - Telugu,"Armaan Malik, Thaman S",Ala Vaikunthapurramuloo,2019-12-24
0GjqrBfz3XscHBeuTqHAup,Singles Anthem - Telugu,"Anurag Kulkarni, Mahati Swara Sagar",Bheeshma,2019-12-27
0P8TCqG9wsZPUnvxqLNZ5k,OMG Daddy - Telugu,"Thaman S, Roll Rida, Rahul Nambiar, Lady Kash, Rahul Sipligunj, Blaaze, Krishna Chaitanya",Ala Vaikunthapurramuloo,2019-11-22
4bba7bK1ssrfWGgePQhG0z,Avuno Teliyadu - Telugu,"Shreya Ghoshal, Gopi Sundar",Entha Manchivaadavuraa,2019-12-19
2wrL7iRsG4bIAfN4bLUjK3,Ninne Ninne - Telugu,"Armaan Malik, Yamini Ghantasala, Sricharan Pakala",Aswathama,2019-12-19
3qZaFoWwuh5GRCmTyxbbXW,Coca Cola Pepsi - Telugu,"Aditi Bhavaraju, Ramya Behara, Simha, Hanuman, Thaman S",Venky Mama,2019-12-04
30O3ASq6ykHRtiukEUp2zj,Emo Emo Ye Gundello - Telugu,"S. P. Balasubrahmanyam, Gopi Sundar",Entha Manchivaadavuraa,2019-12-19
2j8cgzNl4MzhTWHfobOJDO,Undipova - Telugu,"Spoorthi Jithender, Shekar Chandra",Savaari,2019-11-27
12QqgQPqe6xMJf0EFgxcCP,Waka Waka - Telugu,"Mickey J. Meyer, Anurag Kulkarni",Valmiki (Original Motion Picture Soundtrack),2019-09-12
1S6ReFQxDitr5fprxGLFZK,Yennallako - Telugu,"Prudhvi Chandra, Thaman S",Venky Mama,2019-11-16
0ZtsEB1f2DeMUzL6xl8iii,Ade Ooru - Telugu,"Nutana Mohan, Mickey J. Meyer",Iddari Lokam Okate,2019-12-07
6sFKMQEUvnYIBwPxq6Pr8V,Prema - Telugu,"Chinmayi, Harini, G.M. Sathish",Cycle,2019-11-28
53cwwYu8uQOy5lThjNdBOA,Jaataro Jaatara - Telugu,"Rahul Sipligunj, Sahithi Chaganti, Gopi Sundar",Entha Manchivaadavuraa,2019-12-27
4JwVLMfQZrK4ilOmTA8HHJ,Adugadugo Action Hero - Telugu,"Saicharan Bhaskaruni, Chirantan Bhatt",Ruler,2019-12-01
50aAaoACzKm8vZgwrmcaIp,Avuna Nijamena - Telugu,"K. S. Harisankar, Shashaa Tirupati, Sankar Sharma",Evvarikee Cheppoddu,2019-12-23
3Tq5FBRBOnW4dlVb5KwcdD,"Pain Song (From ""Raja Vaaru Rani Gaaru Telugu"")","Jay Krish, Anurag Kulkarni","Pain Song (From ""Raja Vaaru Rani Gaaru Telugu"")",2019-09-03
5Wz0wYRhdQsh8nbXLYqXKh,"Hey Amigo (From ""Bandobast Telugu"")","Harris Jayaraj, Jonita Gandhi, Leslee Lewis, Haricharan","Hey Amigo (From ""Bandobast Telugu"")",2019-09-03
78bB1J6tVQQ0ZbSw7jj5BQ,Padthadu Thaadu - Telugu,"Simha, Chandni Vijaykumar Shah, Chirantan Bhatt",Ruler,2019-12-11
2v3KdqAejN250fVBcVA1Ja,"Ammadu Let's Do Kummudu (From ""Khaidi No 150"")","Devi Sri Prasad, Ranina Reddy",Oora Mass Telugu Dance Hits,2019-03-22
2G2KI5hFmsWECaeKlH72WQ,Savaal - Telugu,"Dhibu Ninan Thomas, L. V. Revanth, Rabbit Mac",Kousalya Krishnamurthy (Original Motion Picture Soundtrack),2019-07-02
15U5ssNjQwQUT9L8dJCupX,"Romeo Natyam Cheste (From ""Mr. Romeo"")",Hariharan,Best Of Hariharan Birthday Special Telugu Hit Songs,2019-04-02
5Mkp2RrSt8vQmQ3eLUCAKC,Idi Chakkani Vela - Telugu,"Sanoop Kalarikkal, Anju Joseph, Sankar Sharma",Evvarikee Cheppoddu,2019-12-23
2UbpxVDuW5oMEixDKNJVe0,Get Well Soon - Telugu,"Jay Krish, Harihara Sudhan, Sanapati Bharadwaj Patrudu",Raja Vaaru Rani Gaaru (Original Motion Picture Soundtrack),2019-10-09
0NgMhUdAgbkVbrAJkFal0B,"Pakka Local (From ""Janatha Garage"")","Geetha Madhuri, Sagar",Oora Mass Telugu Dance Hits,2019-03-22
71MPiRQUf3FzUoHJKgeZRS,"Thilottama (From ""Master"")","Hariharan, Sujatha",Best Of Hariharan Birthday Special Telugu Hit Songs,2019-04-02
5ykkTd1obm0eBcA3tFctID,"Vachaadayyo Saami (From ""Bharat Ane Nenu"")","Kailash Kher, Divya Kumar",Kailash Kher Birthday Special Telugu Hits 2019,2019-07-05
6I3MwruWc6u37E5zmYPbdJ,"Kammukonna Chikatlona (From ""Arundhati"")",Kailash Kher,Kailash Kher Birthday Special Telugu Hits 2019,2019-07-05
2oMVPX0asvUfRfap0iEmXv,Prema O Premaa,"Sid Sriram, Hemambika",NGK (Telugu) [Original Motion Picture Soundtrack],2019-04-30
7flgfnG45weq1tWzGkyNT2,"Jai Jai Shiva Shankar - Telugu Version (From ""War"")","Benny Dayal, Nakash Aziz","Jai Jai Shiva Shankar - Telugu Version (From ""War"")",2019-09-21
5r18vy3KEEsKU74gErHhLO,"Enduko Enduko (From ""Gopala Gopala"")",Kailash Kher,Kailash Kher Birthday Special Telugu Hits 2019,2019-07-05
5xBvE1lTbPM4F42wTCgplU,"Laali Laali (From ""Indira"")",Hariharan,Best Of Hariharan Birthday Special Telugu Hit Songs,2019-04-02
6eyqZckdYpVwpEKXwmuBXa,Gunde Lo Thootlu Pade,"Vishal-Shekhar, Rahul Vaidya, Anusha Mani, Chaitanya Prasad",War - Telugu,2019-09-30
2vSNwodVwov4qmFswrojMJ,"Auna Neevena (From ""Rudhramadevi"")","Hariharan, Sadhana Sargam",Best Of Hariharan Birthday Special Telugu Hit Songs,2019-04-02
62Nn3VvIznO1EUhkmehm3V,"Blockbuster (From ""Sarrainodu"")","Shreya Ghoshal, Nakash Aziz, Simha, Sri Krishna, Deepu",Oora Mass Telugu Dance Hits,2019-03-22
72WCgCN90O0AqL0pO0iLOS,Andaala Nee Roopam - Telugu,"Anju Joseph, Sankar Sharma",Evvarikee Cheppoddu,2019-12-23
2RiY2NivQJqt45cOHMin4h,"Dhaari Choodu (From ""Krishnarjuna Yudham"")",Penchal Das,Oora Mass Telugu Dance Hits,2019-03-22
0eq5To0FqGgdBOieXsQutD,"Kathaa Naayaka (From ""Ntr Biopic"")",Kailash Kher,Kailash Kher Birthday Special Telugu Hits 2019,2019-07-05
2WRFSQx4au33w6AxH3KVc5,"Ranga Ranga Rangasthalaana (From ""Rangasthalam"")",Rahul Sipligunj,Oora Mass Telugu Dance Hits,2019-03-22
7LKPMKxtWEv5TIblOSXTZT,"Gunde Lo Thootlu Pade - Telugu Version (From ""War"")","Rahul Vaidya, Anusha Mani","Gunde Lo Thootlu Pade - Telugu Version (From ""War"")",2019-09-05
5H3qNhHqKiA77OIAw07JGh,Netho Poti Paduthu - Telugu,"Yazin Nizar, Sameera Bharadwaj, Suresh Bobbili",Tholu Bommalata,2019-11-16
50buxzcksrwKHcv54mAbwG,Jai Jai Shiva Shankar,"Vishal-Shekhar, Benny Dayal, Nakash Aziz, Chaitanya Prasad",War - Telugu,2019-09-30
4dW0oWEpkRo5MTeOCDoNIk,Without Your Love (Unplugged Telugu Version),Sreerama Chandra,Without Your Love (Unplugged Telugu Version),2019-03-22
4Ynkv8M1sO925SnuDGfTq1,Aape Veele - Telugu,"Yazin Nizar, Sameera Bharadwaj, Sankar Sharma",Evvarikee Cheppoddu,2019-12-23
3ym5fZ9R2FeKTJow6c5meu,"Vachaadayyo Saami (From ""Bharat Ane Nenu"")","Kailash Kher, Divya Kumar",Oora Mass Telugu Dance Hits,2019-03-22
4uNPuBtSVzkr803w8nQJ1l,"Rama Loves Sita (From ""Vinaya Vidheya Rama"")","Simha, Priya Hemesh",Oora Mass Telugu Dance Hits,2019-03-22
3hth8HLoDpE7FN2MX8LymM,Sankara Nandana,S. P. Balasubrahmanyam,Saranam Saraname - Telugu Special Ayyappa Songs,2019-10-28
4nV9R8DgB5qcu2Yb7vOzWS,War Theme - Instrumental,"Sanchit Balhara, Ankit Balhara",War - Telugu,2019-09-30
32hqLDPgAa1CmX4Jv1uybF,Khalid's Theme - Instrumental,"Sanchit Balhara, Ankit Balhara, Vishal Dadlani",War - Telugu,2019-09-30
0hHqHlnO9AF9mXBJS75EIr,Kabir's Theme - Instrumental,"Sanchit Balhara, Ankit Balhara",War - Telugu,2019-09-30
5LWtYEKVLEpk4FBdGhZKxy,"Muqabla (From ""Street Dancer 3D"") [Telugu]","Yash Narvekar, Parampara Tandon, Tanishk Bagchi","Muqabla (From ""Street Dancer 3D"") [Telugu]",2019-12-21
37oCussc289EN8HAr3MhWG,Rattalu - Telugu,"Geetha Madhuri, Rajkiran",Samaram,2019-11-14
04hufxx3S99gTkeFwPBs6A,Gira Gira - Telugu,"Saandip, Rajkiran",Samaram,2019-12-09
7diXxYryZqvnEcnErhMKrh,Ram Ram - Telugu,"Mangli, Roll Rida, Raghubabu, Joy Rayarala",Oollalla Oollalla,2019-12-12
1fyvU4z1FCI5CFWbpmHddG,Gamaninchindi - Telugu,"Sindhu, Harshavardan Rameshwar",Pressure Cooker,2019-11-19
2YtNkWDN3FXnJdiaXyrqqd,Ayyo Ayyayyo - Telugu,"Mano, Sankar Sharma",Evvarikee Cheppoddu,2019-12-23
49OEZpVBJfp5OpwBma5jtP,"Ratthaalu (From ""Khaidi No 150"")","Nakash Aziz, Jasmine Sandlas",Oora Mass Telugu Dance Hits,2019-03-22
4t5IP9cqKexxfO4I6AR4cB,"Raavana (From ""Jai Lava Kusa"")",Divya Kumar,Oora Mass Telugu Dance Hits,2019-03-22
3HYROIabtnYthp9ZTFglyO,Aigiri Nandini (Telugu Adaptation),Om Voices Junior,Aigiri Nandini Versions,2019
1jzwzwxRCOaELXEdvxdwn4,Jai Jai Shiva Shankar,"Benny Dayal, Nakash Aziz",War - Telugu,2019-09-24
3rJDwpZNEUeAMHJnNwVbFj,"Swami Padam (From ""Ananda Roopam Ayyappa"")",Mano,Ayyappa Deekshamu Telugu Devotional Songs,2019-11-21
1pymDa0qwiRudUttb7iy6G,"Khullam Khulla Chilla (From ""Amar Akbar Antony"")","Nakash Aziz, Mohana, Ramya Behara",Oora Mass Telugu Dance Hits,2019-03-22
5TsXCl205VgRkppHFSiWYn,Athiloka Sundari,"Vishal Dadlani, Karthik",Valentine’S Day Special Telugu Love Songs,2019-02-13
5Nn2lS1El1IQxtcpKfk2pH,I Wanna Fly,"L. V. Revanth, Sanjith Hegde, Hiphop Tamizha",Valentine’S Day Special Telugu Love Songs,2019-02-13
38q8slSHdWttHWVbNbtf3Z,Gunde Lo Thootlu Pade,"Rahul Vaidya, Anusha Mani",War - Telugu,2019-09-24
3FH4DSEaoXO7xhjG83AjND,"Aa Gattununtaava (From ""Rangasthalam"")",Shiva Naagulu,Oora Mass Telugu Dance Hits,2019-03-22
