Spotify ID,Title,Artist,Album,Release Date
1vO2jluLzRhXLK7YncpMGo,"Khairiyat (Bonus Track) [From ""Chhichhore""]",Arijit Singh,Hindi Soothing Hit Music 2021,2021-09-24
1EKi1hJHp8qXeMQtVVtT6o,Manike Mage Hithe - Hindi Version,Muzistar,Manike Mage Hithe (Hindi version),2021-07-30
72UtEt5oG4Bj4JmKMZlThO,Love Nwantiti - Hindi,Kajal Sharma,Love Nwantiti (Hindi),2021-10-28
3k8Nk0rvglIOtIwHiMV4qY,Lakshmi Mata Aarti - Hindi,Sayli Mahadik,Lakshmi Mata Aarti - Hindi,2021-10-23
0SzmSH7tNjNjad8bQe3gnC,Meera (Hindi Version),Rahul Dutta,Meera (Hindi Version),2021-09-23
7q1vNxq4IzufylSAOsvSA2,Bella Ciao Hindi (Money Heist) Humne Jo Kiya - Hindi Version,"Krishan Verma, Vikram Sharma, Himmat Singh",Bella Ciao Hindi (Money Heist) Humne Jo Kiya [Hindi Version],2021-12-13
5dpkA0Uob1n7DBJGVMSxdX,"Taaron Ke Shehar (From ""Taaron Ke Shehar"")","Neha Kakkar, Jubin Nautiyal",Hindi Soothing Hit Music 2021,2021-09-24
6s5okrJQFfP9iKrnQ9kPzy,Dhobi Aaya,Videogyan Nursery Rhymes,"Hindi Nursery Rhymes for Children, Vol. 1",2021-03-25
1QAbDI9cPWBhIBJdWtiodt,Aloo Kachaloo,Videogyan Nursery Rhymes,"Hindi Nursery Rhymes for Children, Vol. 1",2021-03-25
0XdeTkvRGc5zSEbvIsGHgs,Upar Pankha Chalta Hai,Videogyan Nursery Rhymes,"Hindi Nursery Rhymes for Children, Vol. 1",2021-03-25
3WDTyiymyH3aXTM5SWemsP,"Chal Ghar Chalen (From ""Malang - Unleash The Madness"")","Mithoon, Arijit Singh",Hindi Soothing Hit Music 2021,2021-09-24
5Eq8LNHmu8txwAA0NolRf0,"Saware (From ""Phantom"")",Arijit Singh,Hindi Soothing Hit Music 2021,2021-09-24
39EX5blZsCvTKxrb5akzrj,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev, Jubin Nautiyal",Hindi Soothing Hit Music 2021,2021-09-24
4Kh6qfhC9tUQqq68829TxG,"Humnava Mere (From ""Humnava Mere"")",Jubin Nautiyal,Hindi Soothing Hit Music 2021,2021-09-24
3sgsfH4m26E9vK7eQVq1r3,Lal Tamatar,Videogyan Nursery Rhymes,"Hindi Nursery Rhymes for Children, Vol. 1",2021-03-25
39ihAZPGa4kNJxPiCIaNKU,Shyama Aan Baso Vrindavan Mein - Hindi Bhajan,Sadhana Sargam,Shyama Aan Baso Vrindavan Mein (Hindi Bhajan),2021-06-19
3d0ffQYhgM34SNUWx7wMSx,"Nayan (From ""Nayan"")","Dhvani Bhanushali, Jubin Nautiyal",Hindi Soothing Hit Music 2021,2021-09-24
04qGS3RnJeAkZu3hoMb8C5,"Teri Aankhon Mein (From ""Teri Aankhon Mein"")","Darshan Raval, Neha Kakkar",Hindi Soothing Hit Music 2021,2021-09-24
52r0MpWRBFyJDNhIQc6Znj,Bandar Mama Pehan Pajama,Videogyan Nursery Rhymes,"Hindi Nursery Rhymes for Children, Vol. 1",2021-03-25
2dqbm7guy5y0uLnAdBIYAw,"Main Rahoon Ya Na Rahoon (From ""Main Rahoon Ya Na Rahoon"")",Armaan Malik,Hindi Soothing Hit Music 2021,2021-09-24
3VL0yj1rz3ZPp0MXezREKr,Machli Jal Ki Rani Hai,Videogyan Nursery Rhymes,"Hindi Nursery Rhymes for Children, Vol. 1",2021-03-25
6zXLUcCeeU5mJfuI6ilxWm,Lalaji Ne Kela Khaya,Videogyan Nursery Rhymes,"Hindi Nursery Rhymes for Children, Vol. 1",2021-03-25
4GPTNZCLg4bwvcplWnZYMY,"Is Qadar (From ""Is Qadar"")","Tulsi Kumar, Darshan Raval",Hindi Soothing Hit Music 2021,2021-09-24
3zNRofZkrBFkMKR623dYPD,Jai jai Radha Raman Hari bol - Hindi Song,Indresh Upadhyay,Jai jai Radha Raman Hari bol (Hindi Song),2021-12-28
5D6PdP9x6GwMG6QBH1IUMO,Aayenge Shyam Aayenge - Hindi Shayam Bhajan,"Anup Jalota, Anuja Sahay",Khatu Shyam Bhajan Top 10,2021-07-30
6M5U4NtjhYdWptXl9DxYUS,Aarti Kunj Bihari Ki - Krishan Ji Ki Aarti - Hindi,Babla Mehta,Aarti Kunj Bihari Ki - Krishan Ji Ki Aarti (Hindi),2021-04-10
78oW9Yxmp96RjotfTrX6jn,Arjun Se Seekho Mahabharat Hindi Rap Song,Abby Viral,Arjun Se Seekho Mahabharat Hindi Rap Song,2021-05-21
7gNQBDJ5Rz5dsyhOJ5PNcX,Mikey Hindi Rap - Bad Boy,Dikz,Mikey Hindi Rap - Bad Boy,2021-09-08
2IKcYyLk2VXfOxavSbsFpw,Ram Siya Ram,Rakesh Kala,Ram Siya Ram (Hindi),2021-01-05
2wnwKcp0gfd8Q3RGXxJg4q,Teri sharan mein aake - Hindi Song,Indresh Upadhyay,Teri sharan mein aake (Hindi Song),2021-12-28
1aQPD0z6GdX0g0WbTfJzFZ,Shri Bhagwat katha part 6 - Hindi Song,Indresh Upadhyay,Shri Bhagwat katha part 6 (Hindi Song),2021-12-16
0ekcbgifkga0odVFWQYWzE,Shri Radhe Govind - Hindi Song,Indresh Upadhyay,Shri Radhe Govind (Hindi Song),2021-12-28
