Spotify ID,Title,Artist,Album,Release Date
1dJ3bgO5g2SX1axByC1IKG,Tamil Love Mix,Santhosh Riyo,Tamil Love Mix,2023-01-26
3pDbPKZHrpHAWcJVMsrNwA,"Hukum - Thalaivar Alappara - Tamil (From ""Jailer"")","Anirudh Ravichander, Super Subu","Hukum - Thalaivar Alappara - Tamil (From ""Jailer"")",2023-07-17
4WrDC4KvSIXPKvLjGSzFoF,"Tum Tum (From ""Enemy - Tamil"")","Thaman S, Sri Vardhini, Aditi Bhavaraju, Satya Yamini, Roshini JKV, Tejaswini, Vivek",Thaman Beats,2023-03-02
5ebbJmr5C6HCQbpU2ve3Zj,Tamil Love Mashup,Binu Shiva,Tamil Love Mashup,2023-09-01
7D3Ag7443YtBqV2zflZwgD,"Monster Song Clean Version (From ""KGF Chapter 2 - Tamil"")","Ravi Basrur, Adithi Sagar","Monster Song Clean Version (From ""KGF Chapter 2 - Tamil"")",2023-12-22
5TTlIZ36yjTwj4NWZI4WwP,Tamil Phonics Song,ChuChuTV Tamil,Tamil Phonics Song,2023-11-24
3uDnBVPY0coedfnn7un51x,Ranjha - Extended Tamil Version,Samyu Mohan,Ranjha (Extended Tamil Version),2023-03-31
3P4rpXyDsET4EKNJ9ED6xF,Tamil Hit Songs,TPM,Tamil Hit Songs,2023-12-04
19lkHM3nXUlOCQ1w9KQ6Xk,Tamil Old Songs,TPM,Tamil Old Songs,2023-12-04
5HA4h9f7HXQzzqtu3WToAA,Sorgam Madhuvile - Kamal Eleven Remix,"S. P. Balasubrahmanyam, Kamal Eleven",Tamil Retro Hits - Remix,2023-02-23
6jX5vpH1yBNpIbRavTW7vg,Tamil Old skool I,Deejay Hoopsta,Tamil Old skool I,2023-06-11
2KIZs2J6o7BDplYexoUFKN,Un Paarvaiyil,"Karthik, Sumangaly",Karthiks Love Mix - Tamil,2023-10-31
2Ufq1H7eJkebTC6fq1MK7g,"Pogaadhe (From ""ANIMAL"") [Tamil]","Karthik, Shreyas Puranik, Mohan Rajan","Pogaadhe (From ""ANIMAL"") [Tamil]",2023-10-27
4vh7PkOkBOp5vnYHrCmRpH,"Arivaai (From ""Salaar Cease Fire - Tamil"")","Ravi Basrur, Madhurakavi, Santhosh Venky","Arivaai (From ""Salaar Cease Fire - Tamil"")",2023-12-25
