Spotify ID,Title,Artist,Album,Release Date,Popularity
0sgRF8SgmVyGAG04xezZCI,"Unpredictable (From ""Game Changer"") (Telugu)","Thaman S, Blaaze, Adviteeya Vojjala","Unpredictable (From ""Game Changer"") (Telugu)",2025-01-09,50
5K9tL2D6hpciyyLeZBTXoW,Tella Tella Lungi Katti New Trending Telugu Folk Dj Song,Telugu Dj Songs,Tella Tella Lungi Katti New Trending Telugu Folk Dj Song,2025-03-02,8
6QUZwuMh0pAzPLbejkr3Fy,Deku Deku Telugu Folk Song Dj Tapori Mixx,Telugu Dj Songs,Deku Deku Telugu Folk Song Dj Tapori Mixx,2025-02-01,10
01PH7Gl0NVCVC5szm0ERu4,Yerra Yarrani Rumalu Gatti Bava Telugu Original Dj Song,Telugu Dj Songs,Yerra Yarrani Rumalu Gatti Bava Telugu Original Dj Song,2025-02-20,16
5ciGciU867viFk5tWKR6Tv,Oye Mayavi [TELUGU],"A.R. Rahman, Dhee, Sri Harsha Emani",Kadhalikka Neramillai [TELUGU],2025-02-13,32
00Xk4lRoMTKYUbMW3qfuCq,Koi Koi Kodni Koi Dj Song New Trending,Telugu Dj Songs,Koi Koi Kodni Koi Dj Song New Trending,2025-02-13,21
5pOSL7JGhpoNtS6mkCiUl6,Seera Kattina Sudava Dj New Folk Song Trending Telugu,Telugu Dj Songs,Seera Kattina Sudava Dj New Folk Song Trending Telugu,2025-02-01,7
18diIuI65CMgnzl4SUZPHD,RANU BOMBAI KI RANU TAPORI MIX DJ TELUGU FOLK SONG - DJ ATHARVA Remix,"Telugu Dj Songs, DJ ATHARVA",RANU BOMBAI KI RANU TAPORI MIX DJ TELUGU FOLK SONG (DJ ATHARVA Remix),2025-03-05,18
3bEWCu5csy5I4Wml4NFQ6C,Hope - Telugu (From The Netflix Film “TEST”),Shakthisree Gopalan,Hope (From The Netflix Film “TEST”),2025-03-20,31
5HOE94p5AuWPSNqdJmwta3,"Kollagottinadhiro (From ""Hari Hara Veera Mallu"") [Telugu]","Ramya Behara, Mangli, Rahul Sipligunj, Yamini Ghantasala, M. M. Keeravaani, Chandra Bose","Kollagottinadhiro (From ""Hari Hara Veera Mallu"") [Telugu]",2025-02-24,55
766OCLs8R1OOE7LxnIQ6YG,"45 The Arrival (From ""45"") [Telugu]","MC Vicky & Nishan Rai, Arjun Janya","45 The Arrival (From ""45"") [Telugu]",2025-01-15,35
2F6bzuqKvrgBc6i4NkbzQq,"Maata Vinaali (From ""Hari Hara Veera Mallu"") [Telugu]","Pawan Kalyan, M. M. Keeravaani, Penchal Das","Maata Vinaali (From ""Hari Hara Veera Mallu"") [Telugu]",2025-01-17,51
5dm7V5AJ39saOwOLyIPtvC,The Spooky Vibes of Grandma,"Thaman S, Sahithi Chaganti, Ramajogayya Sastry",Sabdham (Telugu) [Original Motion Picture Soundtrack],2025-02-28,35
6Np7bRsX4CCQ0eC2wXwKoO,"Shivoham (From ""Kiss Kiss Kissik"") [Telugu]","Rahul Saxena, Shafaat Ali, Kumar Nigranth, Sairam Mudumba","Shivoham (From ""Kiss Kiss Kissik"") [Telugu]",2025-03-12,32
4csjXPXeDqVDdJSvlOQJ7z,"Hukum Reloaded - Telugu (From ""Jailer 2"")",Anirudh Ravichander,"Hukum Reloaded - Telugu (From ""Jailer 2"")",2025-01-14,49
6sZMxfJo5YZPOAuOc4e1Cj,Satya Akella .Mana Telugu Tejam,"Naresh, Srinivas Avasarala, VTV Ganesh, Bheems Ceciroleo",Sankranthiki Vasthunam (Dialogues),2025-03-06,15
40uc5saOSjzNpfCaQde8vc,Mahakaal - Telugu Version,"B Praak, Jaani",Mahakaal (Telugu Version),2025-02-24,24
1mTTk3Js0zqkOpaXTKJABf,⁠Lullaby - Telugu,Shakthisree Gopalan,TEST - Telugu (Soundtrack from the Netflix Film),2025-03-25,35
0PbtWnLqB4HC2GA6BSqWw8,"Love Song (From ""Kannappa"") [TELUGU]","L. V. Revanth, Sahithi Chaganti, Stephen Devassy, Sreemani","Love Song (From ""Kannappa"") [TELUGU]",2025-03-10,47
7DEgA7kG8cGX31l1chmgoy,"Raaja Raaja (From ""Kingston"") (Telugu)","G. V. Prakash, Amala Chebolu, Krishna Tejasvi, Ram Srivatsav","Raaja Raaja (From ""Kingston"") (Telugu)",2025-03-04,39
4NFijEfYK3srjWVhKmiz0t,"Chusthu Chusthu (From ""Artiste"")[TELUGU]","Kapil Kapilan, Suresh Bobbili, Rambabu Gosala","Chusthu Chusthu (From ""Artiste"")[TELUGU]",2025-01-30,38
6IvRfKpHwofYcb3378pxMU,My Love - Telugu,"R Kaushal, Lavanya Anthanna, CNU beats",My Love (Telugu),2025-02-14,12
2m1ihM9sAyMgYvAhkAfG6j,"Haiyayyo (From ""Mr.X (Telugu)"")","Dhibu Ninan Thomas, Kapil Kapilan","Haiyayyo [From ""Mr.X (Telugu)""]",2025-03-19,36
5oVlMnHBsooVsWj8FgruZ6,Jai Shambho,"A.R. Rahman, Anurag Kulkarni, Vaishali Samant",Chhaava (Telugu) [Original Motion Picture Soundtrack],2025-03-27,23
2aM1hcPBAvNZ3kEoXgRYCa,"Om Namah Shivaya (From ""Kannappa"") [TELUGU]","Shankar Mahadevan, Stephen Devassy, Suddala Ashok Teja","Om Namah Shivaya (From ""Kannappa"") [TELUGU]",2025-03-19,33
0MMenm5nioC6jbkLe97L0u,"Ikkada Raa (From ""Eleven"") (Telugu)","D. Imman, Andrea Jeremiah, Rakendu Mouli","Ikkada Raa (From ""Eleven"") (Telugu)",2025-02-21,26
3AMHnxP9wBA95XENEEZ5Cl,CM Ram Nandan,Thaman S,Game Changer (Telugu),2025-02-02,35
1rI7CPuz8ydyn0fdB0i2hZ,NaaNaa Hyraanaa,"Thaman S, Karthik, Shreya Ghoshal, Saraswati Putra Ramajogayya Sastry",Game Changer (Telugu),2025-01-04,57
0iLgVMCi8KCTF9e6QbKvSl,"Prema Velluva (From ""Hit - 3"") (Telugu)","Mickey J. Meyer, Sid Sriram, Nutana Mohan, Krishna Kanth","Prema Velluva (From ""Hit - 3"") (Telugu)",2025-03-24,55
0jeU9BaMcV1ozg1bRdbAQO,Arugu Meedha,"Thaman S, Roshini JKV, Kasarla Shyam",Game Changer (Telugu),2025-01-04,45
4WBA38zivFLYi6inirHalX,"BRAT Theory (From ""BRAT "") [Telugu]","Vinaya, Arjun Janya","BRAT Theory (From ""BRAT "") [Telugu]",2025-03-28,35
06sdiAnPc2J0FqdHph3sTZ,Jaragandi,"Thaman S, Daler Mehndi, Sunidhi Chauhan, Anantha Sriram",Game Changer (Telugu),2025-01-04,56
7ddhukW6Thp0vXdKtB6int,Dhop,"Thaman S, Roshini JKV, Prudhvi Chandra, Sruthi Ranjani, Saraswati Putra Ramajogayya Sastry",Game Changer (Telugu),2025-01-04,46
1pYTcX1RQqKdutoiqVnEWu,"Setavvade (From ""KD Telugu"")","Nakash Aziz, Arjun Janya","Setavvade (From ""KD Telugu"")",2025-03-29,4
2VWSS7dDrlAQuYI8HDshQ5,Hope - Telugu,Shakthisree Gopalan,TEST - Telugu (Soundtrack from the Netflix Film),2025-03-25,2
2guv1ItKrLeyjrv1y8FhOj,Konda Devara,"Thaman S, Sravana Bhargavi, Kasarla Shyam",Game Changer (Telugu),2025-01-04,50
71V9rZaLlKBA3httKLxmvw,Koparap,"Thaman S, Roll Rida",Game Changer (Telugu),2025-01-04,37
5CHgESh9HMWJfkGKcoxWwt,Raa Macha Macha,"Thaman S, Anantha Sriram, Nakash Aziz",Game Changer (Telugu),2025-01-04,57
3OzZ9otqn7q2GngTLEimca,Jeevinchaali,"A.R. Rahman, Sireesha Bhagavatula",Chhaava (Telugu) [Original Motion Picture Soundtrack],2025-03-27,36
48uLSnPBVj93oSEkNRQOVi,"Shiva Shiva Shankaraa (From ""Kannappa"")","Vijay Prakash, Stephen Devassy, Ramajogayya Sastry","Shiva Shiva Shankaraa (From ""Kannappa"") [TELUGU]",2025-02-10,53
4ajNLI00mPox3T4Gmf22yb,⁠Broken Glass - Telugu,"Deepak Blue, Shakthisree Gopalan",TEST - Telugu (Soundtrack from the Netflix Film),2025-03-25,29
7mLwKFUzL9loi1SysKejVX,Lavender Veylalo [TELUGU],"Adithya RK, Alexandra Joy, A.R. Rahman, Anantha Sreeram",Kadhalikka Neramillai [TELUGU],2025-02-13,21
41Qedv3njVlVICdPwWhibT,The Crown,"A.R. Rahman, Mahsa Ahmadi, Nooshin Ghayoor",Chhaava (Telugu) [Original Motion Picture Soundtrack],2025-03-27,14
2hl78bJ85yJedrJSRnDTBa,The Roar,"A.R. Rahman, MC Heam, Nakul Abhyankar",Chhaava (Telugu) [Original Motion Picture Soundtrack],2025-03-27,18
4txBCSSEJvGpSjD1DsjoJo,Praanamlo,"A.R. Rahman, Nitesh Aher",Chhaava (Telugu) [Original Motion Picture Soundtrack],2025-03-27,22
0eEAMKsXXQ6gTGI9b5BsJV,Rudra,"A.R. Rahman, Nakul Abhyankar, Kshitij Patwardhan",Chhaava (Telugu) [Original Motion Picture Soundtrack],2025-03-27,15
0wmstbRXKyiZqJStL43Dtf,O Veeruda,"A.R. Rahman, Hiral Viradia, Sarath Santosh",Chhaava (Telugu) [Original Motion Picture Soundtrack],2025-03-27,18
2U3155pXVjy5PoPMgahtTK,⁠Fall of the Hero - Instrumental,Shakthisree Gopalan,TEST - Telugu (Soundtrack from the Netflix Film),2025-03-25,10
7uOyHvGKP3TKtWuMqD0pUd,⁠Hope - Remix,"Kunal Merchant, Shakthisree Gopalan",TEST - Telugu (Soundtrack from the Netflix Film),2025-03-25,1
