song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
Jug Jug Jiyaasu Lalanwa,Alka Yagnik,/artist/alka-yagnik,03:16,Bhojpuri,09-03-2005,0.57,0.57,0.531,0.281,-6.274,0.0028,174.967,0,10,0.08,4,89,5427449
Lal Lal Hothwa Se,Lata Mangeshkar|Talat Mahmood,/artist/lata-mangeshkar|/artist/talat-mahmood,03:21,Bhojpuri,10-01-2007,0.81,0.7,0.804,0.37,-4.314,0.047,173.988,1,5,0.047,4,44,9875138
Dhan Dhan Bhag Lalnawa,Alka Yagnik|Udit Narayan|Asha Bhosle,/artist/alka-yagnik|/artist/udit-narayan|/artist/asha-bhosle-1,05:55,Bhojpuri,10-10-2022,0.65,0.16,0.911,0.271,-9.92,0.04,173.969,1,5,0.089,4,66,10810043
Kashi Hille Patna Hille,Manna Dey,/artist/manna-dey,03:18,Bhojpuri,02-07-2017,0.21,0.933,0.684,0.843,-10.598,0.014,174.004,1,7,0.08,4,32,5738414
Gorki Patarki Re,Asha Bhosle|Mohammed Rafi,/artist/asha-bhosle-1|/artist/mohammad-rafi,03:33,Bhojpuri,02-10-2004,0.27,0.64,0.346,0.247,-12.48,0.0059,173.966,1,2,0.05,4,51,426704
Aankh Se Aankh Milke,Suresh Wadkar|Alka Yagnik,/artist/suresh-wadkar|/artist/alka-yagnik,03:14,Bhojpuri,09-05-2002,0.46,0.809,0.13,0.143,-5.51,0.06,174.012,1,7,0.078,4,74,6047513
Gavna Karval Ae Hari Ji,Bharat Sharma Vyas,/artist/bharat-sharma-vyas,05:02,Bhojpuri,09-05-2008,0.22,0.59,0.055,0.733,-2.278,0.021,173.009,1,7,0.073,4,88,2627211
Dekhali Sapanwa Mein Ayile,Bharat Sharma Vyas,/artist/bharat-sharma-vyas,06:47,Bhojpuri,02-09-2001,0.18,0.963,0.599,0.919,-4.843,0.01,174.181,0,11,0.03,4,63,11241680
Na Ja Chhod Ke Tu Akele,Kunal Singh|Aanchal|Seema,/artist/kunal-singh|/artist/aanchal-1|/artist/seema,04:41,Bhojpuri,09-01-2019,0.3,0.79,0.569,0.119,-10.409,0.0144,174.049,0,5,0.0602,4,98,6130010
Laagi Nahi Chhoote Ram,Lata Mangeshkar|Talat Mahmood,/artist/lata-mangeshkar|/artist/talat-mahmood,03:17,Bhojpuri,09-05-2014,0.02,0.123,0.615,0.264,-7.038,0.05,174.996,1,0,0.0006,4,77,9406026
Hamaar Piyawa,Asha Bhosle,/artist/asha-bhosle-1,02:57,Bhojpuri,05-03-2008,0.57,0.38,0.624,0.489,-3.827,0.07,172.032,0,5,0.0184,4,61,3839279
Aankh Mein Suratiya,Chandrani Mukherjee,/artist/chandrani-mukherjee,03:12,Bhojpuri,07-01-2005,0.4,0.36,0.79,0.724,-13.117,0.0445,170.032,1,11,0.071,4,40,7076025
Birhi Basuriya,Sharda Sinha,/artist/sharda-sinha,07:01,Bhojpuri,12-12-2011,0.34,0.18,0.623,0.108,-2.641,0.085,173.963,0,6,0.06,4,48,10950425
Raja Piy Jani Gaanja Ho Kharaab Ho Jaibai,Bharat Sharma Vyas,/artist/bharat-sharma-vyas,06:38,Bhojpuri,03-08-2017,0.82,0.843,0.539,0.894,-13.087,0.0562,173.974,0,3,0.02,4,55,1624279
Ghir Aayil Kariya Badariya,Alka Yagnik,/artist/alka-yagnik,03:18,Bhojpuri,07-06-2022,0.05,0.85,0.937,0.578,-13.961,0.052,174.837,1,2,0.037,4,28,10336954
Chhodi Gayil Re Raat Sejariya,Bharat Sharma Vyas,/artist/bharat-sharma-vyas,04:49,Bhojpuri,06-04-2002,0.8,0.948,0.639,0.965,-6.445,0.0272,174.038,0,8,0.008,4,86,10936932
Papiha Ke Boliya,Sharda Sinha,/artist/sharda-sinha,05:20,Bhojpuri,04-05-2005,0.24,0.02,0.316,0.166,-3.71,0.055,173.941,0,10,0.055,4,47,10370845
Chodi Ke Chalailu,Chandrani Mukherjee,/artist/chandrani-mukherjee,03:49,Bhojpuri,09-04-2019,0.54,0.553,0.418,0.07,-6.241,0.06,173.976,1,4,0.017,4,57,5983579
Ugahe Suraj Dev Bhela Bhinu,VINDHYAVASINI DEVI,/artist/vindhyavasini-devi,02:05,Bhojpuri,11-05-2016,0.98,0.61,0.072,0.44,-3.315,0.0244,174.025,0,5,0.02,4,94,11089450
Ae Doctor Babu Batayi,Shabbir Kumar|Alka Yagnik,/artist/shabbir-kumar|/artist/alka-yagnik,05:16,Bhojpuri,03-04-2012,0.37,0.729,0.711,0.21,-7.747,0.035,173.989,0,5,0.047,4,92,5575318
Nirhu Hasya Kahani,BECHAN RAM|Saathi,/artist/bechan-ram|/artist/saathi,29:10:00,Bhojpuri,03-06-2022,0.69,0.01,0.801,0.89,-8.56,0.0224,174.973,0,5,0.08,4,25,8562341
More Honthwa Se Nathuniya,Asha Bhosle,/artist/asha-bhosle-1,03:28,Bhojpuri,04-08-2008,0.02,0.476,0.348,0.879,-8.997,0.099,174.038,0,8,0.06,4,25,8520753
Hansi Ke Je Dekha Tu Ek Beriya,Asha Bhosle,/artist/asha-bhosle-1,06:32,Bhojpuri,01-12-2016,0.17,0.38,0.46,0.062,-13.097,0.042,173.998,1,11,0.077,4,36,4032047
Sonwa Ke Pinjra Men,Mohammed Rafi,/artist/mohammad-rafi,03:06,Bhojpuri,12-11-2007,0.29,0.818,0.289,0.08,-6.929,0.032,174.026,0,10,0.05,4,81,7573819
Patna Sahariya,Sharda Sinha,/artist/sharda-sinha,06:00,Bhojpuri,09-03-2011,0.78,0.09,0.039,0.61,-7.27,0.01,173.819,0,2,0.0625,4,37,8404695
Chorwa Na Le Jaye,Mohammed Rafi,/artist/mohammad-rafi,03:03,Bhojpuri,01-08-2018,0.37,0.156,0.738,0.468,-2.781,0.083,174.064,0,10,0.0702,4,97,7894669
Kanhwa Ke Tilak,Chandrani Mukherjee,/artist/chandrani-mukherjee,02:26,Bhojpuri,03-09-2009,0.67,0.8,0.978,0.944,-13.356,0.062,174.044,1,4,0.03,4,52,10495683
Bada Pareshan,Asha Bhosle,/artist/asha-bhosle-1,03:15,Bhojpuri,04-01-2013,0.17,0.954,0.655,0.779,-9.332,0.08,174.036,0,9,0.0382,4,80,2939959
Jaldi Jaldi Chal Re Kahara,Mohammed Rafi,/artist/mohammad-rafi,03:12,Bhojpuri,07-08-2021,0.89,0.64,0.159,0.623,-4.695,0.092,175.084,1,1,0.07,4,78,1243846
Birha Sauteli Maa(Netradaan),Om Prakash Yadav,/artist/om-prakash-yadav,31:12:00,Bhojpuri,03-05-2022,0.39,0.775,0.2,0.621,-4.104,0.0897,173.016,1,1,0.011,4,82,5514338
Jahiya Gavna Ke Aai Doli,Bharat Sharma Vyas,/artist/bharat-sharma-vyas,07:56,Bhojpuri,02-01-2016,0.8,0.49,0.581,0.912,-12.936,0.035,175.012,0,1,0.07,4,34,2351078
Hansi Hansi Panwa Khiwanle,Mahendra Kapoor|Manna Dey,/artist/mahendra-kapoor|/artist/manna-dey,03:31,Bhojpuri,08-03-2001,0.53,0.266,0.54,0.843,-6.933,0.0186,174.096,1,5,0.02,4,94,11199967
More Karejwa Men Pir,Lata Mangeshkar|Usha Mangeshkar,/artist/lata-mangeshkar|/artist/usha-mangeshkar-2,02:29,Bhojpuri,12-03-2018,0.32,0.37,0.39,0.322,-10.314,0.03,174.07,0,5,0.0572,4,40,3637274
Mare Mastniya,Aniruddha Prasad Singh,/artist/aniruddha-prasad-singh,05:11,Bhojpuri,12-03-2023,0.23,0.509,0.586,0.007,-4.784,0.05,174.986,0,5,0.05,4,94,6065832
Kuch Deja Nishani O Balma,Shama Bano,/artist/shama-bano,03:05,Bhojpuri,10-01-2008,0.16,0.03,0.071,0.021,-8.85,0.006,175.012,0,11,0.06,4,39,10595340
Phoot Gaile Kismatiya - Mohdrafi,Mohammed Rafi,/artist/mohammad-rafi,03:23,Bhojpuri,06-02-2019,0.45,0.861,0.917,0.571,-3.89,0.0453,174.014,0,11,0.03,4,94,7589543
Piritiya Kahe Na Lagavle,Sharda Sinha,/artist/sharda-sinha,04:39,Bhojpuri,04-05-2019,0.49,0.53,0.394,0.797,-4.645,0.0831,173.963,0,2,0.008,4,97,9292842
Badariya Gheri Aayee Nandi,Sharda Sinha,/artist/sharda-sinha,05:18,Bhojpuri,11-08-2016,0.97,0.194,0.429,0.334,-6.761,0.09,173.951,1,11,0.02,4,44,7159526
Hey Tripurari Hey,Usha Mangeshkar,/artist/usha-mangeshkar-2,03:21,Bhojpuri,09-06-2015,0.7,0.9,0.034,0.503,-12.47,0.0741,173.976,1,6,0.026,4,53,6918805
Sajanwa Bairi Bhaile Hamar,Alka Yagnik,/artist/alka-yagnik,06:43,Bhojpuri,07-05-2015,0.12,0.412,0.295,0,-12.142,0.0204,174.968,0,4,0.0831,4,59,8264853
Aajamgadh Harijan Hatyakaand,BECHAN RAM|Saathi,/artist/bechan-ram|/artist/saathi,29:19:00,Bhojpuri,12-02-2001,0.55,0.59,0.725,0.239,-12.535,0.03,174.048,0,10,0.03,4,41,217757
Ulta Ho Gaile Nagaria,Joginder Singh,/artist/joginder-singh,02:33,Bhojpuri,01-03-2006,0.69,0.042,0.842,0.542,-10.768,0.0919,175.016,0,4,0.0955,4,37,6212477
Chali Bhai Khetava Ki Aur,Aniruddha Prasad Singh,/artist/aniruddha-prasad-singh,03:19,Bhojpuri,02-05-2009,0.3,0.99,0.241,0.401,-9.393,0.0439,174.095,0,6,0.011,4,97,3381403
Chadhte Phagun Jiyara,Mohammed Rafi,/artist/mohammad-rafi,03:04,Bhojpuri,04-07-2014,0.62,0.735,0.723,0.239,-4.302,0.023,174.983,1,7,0.015,4,52,9069114
Mori Kalaiya,Lata Mangeshkar,/artist/lata-mangeshkar,03:07,Bhojpuri,12-02-2018,0.27,0.86,0.174,0.672,-6.666,0.01,175.001,1,6,0.0382,4,43,2482822
Jab Hum Jaai Naiharwan,Asha Bhosle|Chorus,/artist/asha-bhosle-1|/artist/chorus,05:06,Bhojpuri,02-05-2007,1,0.023,0.696,0.111,-8.487,0.07,173.994,1,1,0.0088,4,66,8810377
Saam Chakeba Khelbahe -Tohe Badka Bhaiya Ho,Sharda Sinha,/artist/sharda-sinha,06:01,Bhojpuri,03-06-2022,0.87,0.8,0.471,0.209,-6.182,0.09,174.016,0,8,0.05,4,90,508068
Baanjhi Kewdwa Dhaile Thaadh,Sharda Sinha,/artist/sharda-sinha,08:58,Bhojpuri,02-03-2017,0.59,0.174,0.187,0.749,-4.235,0.0379,174.02,0,5,0.05,4,36,5273894
Rakhiya Bandhala Bhaiya,Lata Mangeshkar,/artist/lata-mangeshkar,03:24,Bhojpuri,11-05-2015,0.35,0.61,0.883,0.06,-9.127,0.0032,175.175,0,9,0.055,4,74,1576645
Ye Balma Pardesi,Alka Yagnik|Udit Narayan,/artist/alka-yagnik|/artist/udit-narayan,06:22,Bhojpuri,02-06-2021,0.59,0.474,0.1,0.751,-8.129,0.098,174.069,0,0,0.01,4,65,1749147
