song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
Naguva Nayana,S. Janaki|S. P. Balasubrahmanyam,/artist/s-janaki|/artist/s-p-balasubrahamanyam,04:12,Kannada,09-10-2020,0.53,0.11,0.444,0.8,-7.552,0.093,133.899,0,8,0.04,4,74,5316814
Ellelli Nodali,S. Janaki|Dr. Rajkumar,/artist/s-janaki|/artist/dr-rajkumar-1,04:31,Kannada,07-09-2018,0.66,0.361,0.695,0.511,-13.317,0.0615,130,0,0,0.03,4,62,4573499
Chinnada Mallige Hoove,S. Janaki|Dr. Rajkumar,/artist/s-janaki|/artist/dr-rajkumar-1,04:35,Kannada,09-08-2014,0.58,0.42,0.472,0.6,-6.833,0.06,168.01,0,4,0.0985,4,25,4709951
Premalokadinda,K J Yesudas|S. Janaki,/artist/k-j-yesudas|/artist/s-janaki,04:35,Kannada,04-11-2018,0.14,0.037,0.258,0.237,-6.416,0.0595,123.004,0,1,0.021,4,58,1388726
Preethiyalli Iro Sukha,S. P. Balasubrahmanyam|Manjula Gururaj,/artist/s-p-balasubrahamanyam|/artist/manjula-gururaj,04:41,Kannada,03-05-2012,0.8,0.56,0.584,0.8,-3.596,0.001,113.973,1,1,0.0766,4,68,1655326
Idu Nanna Ninna Prema Geethe,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:34,Kannada,09-03-2020,0.03,0.936,0.315,0.041,-7.34,0.06,104.972,0,11,0.0736,4,80,1855442
Cheluve Ondu Kelthini,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:20,Kannada,08-01-2007,0.29,0.72,0.076,0.4,-11.078,0.05,120.04,0,5,0.02,4,89,10866860
Baani Gondu Elle,Dr. Rajkumar,/artist/dr-rajkumar-1,03:19,Kannada,10-04-2011,0,0.874,0.738,0.629,-10.803,0.0809,183.822,0,11,0.074,4,34,7976391
Nagu Endhidhe,S. Janaki,/artist/s-janaki,04:23,Kannada,09-07-2022,0.37,0.96,0.019,0.7,-12.081,0.0073,150.933,0,10,0.016,4,28,1327211
Harivarasanam Sharanam Ayyappa,K J Yesudas,/artist/k-j-yesudas,03:08,Kannada,06-01-2020,0.38,0.583,0.182,0.352,-13.057,0.09,147.558,1,0,0.01,4,36,6755008
Nee Bandu Ninthaaga,P.B. Sreenivas|P. Susheela,/artist/pb-sreenivas|/artist/p-suseela-2,03:32,Kannada,10-05-2007,0.53,0.78,0.431,0.7,-6.573,0.0535,124.01,1,0,0.063,4,28,10953626
Aadisinodu Beelisinodu,P.B. Sreenivas,/artist/pb-sreenivas,03:02,Kannada,04-07-2008,0.92,0.717,0.267,0.96,-4.682,0.078,150.032,1,2,0.062,4,87,647998
Hrudayadali Idenidhu,Dr. Rajkumar|Manjula Gururaj,/artist/dr-rajkumar-1|/artist/manjula-gururaj,04:57,Kannada,08-03-2021,0.45,0.54,0.938,0.8,-2.661,0.09,170.198,0,5,0.03,4,89,2761809
Ee Nimbe Hanninantha,Ramesh,/artist/ramesh,02:59,Kannada,07-11-2019,0.53,0.63,0.411,0.869,-5.964,0.08,154.026,1,5,0.06,4,30,8466733
Mooru Kaasina Kudure,Ramesh,/artist/ramesh,04:44,Kannada,12-03-2008,0.19,0.06,0.24,0.6,-11.896,0.01,115.999,1,1,0.07,4,52,5994835
Neerabittu Nelada Mele,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:14,Kannada,03-12-2003,0.17,0.606,0.252,0.068,-4.48,0.01,119.953,0,4,0.042,4,29,4508839
NAAVAADUVA NUDIYE.,P.B. Sreenivas,/artist/pb-sreenivas,05:06,Kannada,01-09-2007,0.4,0.41,0.772,0.3,-11.415,0.037,199.976,0,10,0.0634,4,88,10397598
Naa Ninna Mareyalare,Dr. Rajkumar|Vani Jairam,/artist/dr-rajkumar-1|/artist/vani-jayaram,04:21,Kannada,10-06-2014,0.1,0.666,0.087,0.741,-5.663,0.07,180.183,1,2,0.1,4,44,5997899
Nooru Kannu Saladu,P.B. Sreenivas|S. P. Balasubrahmanyam,/artist/pb-sreenivas|/artist/s-p-balasubrahamanyam,04:33,Kannada,07-10-2023,0.33,0.65,0.943,0.5,-4.136,0.0151,200.064,1,1,0.09,4,99,6679371
Thanuvu Manavu,S. Janaki|Dr. Rajkumar,/artist/s-janaki|/artist/dr-rajkumar-1,04:25,Kannada,05-12-2020,0.14,0.676,0.194,0.524,-10.034,0,160.12,1,2,0.092,4,87,9917185
Jo Jo Laali Naa Haaduve,K J Yesudas,/artist/k-j-yesudas,03:12,Kannada,09-10-2005,0.29,0.18,0.703,0.4,-9.201,0.03,106.903,0,11,0,4,39,1695940
Ondaanondu Kaaladalli,Ramesh|P. Susheela,/artist/ramesh|/artist/p-suseela-2,04:36,Kannada,03-08-2011,0.14,0.351,0.29,0.57,-12.192,0.011,155.044,1,1,0.082,4,97,3140625
Geleyare Nanna Geleyare,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,05:31,Kannada,02-08-2016,0.45,1,0.887,0.5,-4.25,0.043,114.268,1,5,0.0904,4,96,2227088
Nagunagutha Nee Baruve,S. Janaki|Dr. Rajkumar,/artist/s-janaki|/artist/dr-rajkumar-1,04:27,Kannada,01-07-2017,0.9,0.695,0.881,0.11,-8.004,0.0041,112.522,0,3,0.0659,4,27,1135437
Yare Koogadali Oore Horaadali,Dr. Rajkumar,/artist/dr-rajkumar-1,03:32,Kannada,01-08-2017,0.77,0,0.807,0.3,-2.741,0,196.086,0,9,0.01,4,30,71862
Yaavudo Ee Bombe,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,05:55,Kannada,08-03-2006,0.64,0.661,0.34,0.536,-7.7,0.05,203.852,1,1,0.06,4,70,10884087
Ninna Nanna,Dr. Rajkumar,/artist/dr-rajkumar-1,04:38,Kannada,03-08-2018,0.72,0.87,0.205,0.1,-6.642,0.06,118.022,0,1,0.02,4,61,889751
Yaare Neenu Sundara Cheluve,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,06:12,Kannada,11-03-2021,0.56,0.471,0.165,0.788,-3.266,0.0927,132.076,1,11,0.096,4,67,10316052
Naa Ninna Mareyalaare,S. Janaki|Dr. Rajkumar,/artist/s-janaki|/artist/dr-rajkumar-1,04:19,Kannada,04-11-2000,0.34,0.24,0.317,0.3,-13.037,0.05,199.99,1,8,0.07,4,91,9837543
Thamnnam Thamnam,S. Janaki|P.B. Sreenivas,/artist/s-janaki|/artist/pb-sreenivas,04:02,Kannada,12-10-2002,0.95,0.072,0.384,0.784,-11.847,0.007,181.02,1,8,0.072,4,69,10421014
Nodamma Hudugi,S. P. Balasubrahmanyam|Latha Hamsalekha,/artist/s-p-balasubrahamanyam|/artist/latha-hamsalekha,05:15,Kannada,01-07-2006,0.64,0.14,0.58,0.7,-6.283,0.0979,109.593,0,10,0,4,33,583256
Thai Thai Bangari,Dr. Rajkumar,/artist/dr-rajkumar-1,04:19,Kannada,05-08-2005,0.66,0.282,0.516,0.197,-13.695,0.02,161.027,0,1,0.046,4,49,4502190
Aadisidaatha Besara Moodi,G.K.Venkatesh,/artist/gkvenkatesh,03:19,Kannada,03-12-2022,0.94,0.53,0.41,0.3,-7.483,0.08,114.97,1,2,0.068,4,32,2095241
Nanna Aase Hannage,S. Janaki|S. P. Balasubrahmanyam,/artist/s-janaki|/artist/s-p-balasubrahamanyam,04:19,Kannada,02-10-2005,0.91,0.289,0.85,0.739,-9.882,0.06,141.044,0,1,0.02,4,28,3439393
Ninade Nenapu Dinavu,P.B. Sreenivas,/artist/pb-sreenivas,03:38,Kannada,04-05-2011,0.98,0.54,0.122,0.7,-2.934,0.0512,139.949,1,8,0.0241,4,88,10054802
Keli Premigale,S. P. Balasubrahmanyam|Latha Hamsalekha,/artist/s-p-balasubrahamanyam|/artist/latha-hamsalekha,06:10,Kannada,11-12-2013,0.49,0.189,0.693,0.528,-5.987,0.0853,176.046,1,2,0.0466,4,92,11388789
