song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
Koottil Ninnum,K J Yesudas,/artist/k-j-yesudas,04:35,Malayalam,02-07-2011,0.34,0.23,0.587,0.343,-7.885,0.01,138.007,0,6,0.02,4,25,1610047
Pon Veene,M G Sreekumar,/artist/m-g-sreekumar,04:50,Malayalam,01-04-2016,0.19,0.271,0.247,0.617,-7.966,0.0621,140.007,1,6,0.08,4,47,69220
Etho Janma,Vani Jairam,/artist/vani-jayaram,04:02,Malayalam,01-06-2017,0.14,0.9,0.387,0.735,-11.018,0.06,138.006,0,6,0.0931,4,100,10926539
Thumbi Vaa Thumbakudathin,S. Janaki,/artist/s-janaki,04:27,Malayalam,04-08-2001,0.62,0.387,0.395,0.235,-11.815,0.02,136.976,1,7,0.03,4,88,3242820
Earnmegam,Kannur Rajan,/artist/kannur-rajan,04:31,Malayalam,02-03-2007,0.52,0.61,0.127,0.747,-8.339,0.008,131.996,1,2,0.04,4,66,7294974
Ab Ke Baras,Mahendra Kapoor,/artist/mahendra-kapoor,06:29,Malayalam,04-12-2015,0.23,0.457,0.146,0.079,-11.695,0.0252,127.986,0,5,0.0058,4,29,6434342
Paadam Pootha,Kannur Rajan,/artist/kannur-rajan,03:55,Malayalam,04-12-2006,0.93,0.89,0.307,0.931,-11.513,0.06,136.996,1,2,0.073,4,47,9796139
Oru Pushpam Mathramen,K J Yesudas,/artist/k-j-yesudas,03:31,Malayalam,06-01-2015,0.05,0.395,0.67,0.023,-2.558,0.0857,131.985,0,7,0.1,4,98,4169367
Mizhiyoram,S. Janaki,/artist/s-janaki,04:23,Malayalam,05-10-2004,0.28,0.66,0.366,0.209,-10.743,0.0429,129.489,1,1,0.03,4,26,540613
Valittezhuthiya,K J Yesudas|S. Janaki,/artist/k-j-yesudas|/artist/s-janaki,04:14,Malayalam,10-10-2010,0.75,0.087,0.335,0.591,-12.986,0.0613,128.075,0,5,0.037,4,41,9614345
Adiva Katte,S. Janaki,/artist/s-janaki,05:26,Malayalam,03-01-2004,0.33,0.9,0.69,0.025,-12.607,0.06,132.018,0,1,0.02,4,90,5636059
Anuragini,K J Yesudas,/artist/k-j-yesudas,04:45,Malayalam,01-11-2007,0.44,0.998,0.732,0.334,-6.54,0.05,137.89,0,4,0.038,4,30,9171534
Sagarangale,K J Yesudas,/artist/k-j-yesudas,04:21,Malayalam,11-08-2014,0.97,0.43,0.397,0.428,-7.433,0.0435,130.963,0,11,0.07,4,75,9380301
Doore Kizhakudhikkum,Kannur Rajan,/artist/kannur-rajan,03:47,Malayalam,09-04-2011,0.95,0.794,0.931,0.317,-8.135,0.0348,131.969,1,2,0.03,4,33,1789058
Theeram Thedum,Ouseppachan,/artist/ousephachan,04:15,Malayalam,06-11-2020,0.64,0.68,0.573,0.878,-8.674,0.03,136.742,0,10,0.0305,4,85,8118709
