song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
Nida Bhara Rati,Nirmal Mishra,/artist/nirmal-mishra,03:04,Odia,10-07-2007,0.84,0.33,0.911,0.586,-5.307,0.068,174.123,0,3,0.0371,4,50,8287080
Om Santi Om Santi,Sikandar Alam,/artist/sikandar-alam,04:21,Odia,08-12-2020,0.21,0.463,0.426,0.097,-4.852,0.02,174.003,0,1,0.09,4,77,9301817
Jajabara Mana Mora,Akshaya Mohanty|Trupti Das,/artist/akshaya-mohanty|/artist/trupti-das,06:53,Odia,01-09-2005,0.35,0.36,0.034,1,-6.159,0.027,173.953,1,6,0.0089,4,44,7518878
Ekato Bhakata Jibana,Akshaya Mohanty,/artist/akshaya-mohanty,02:34,Odia,01-08-2007,0.22,0.87,0.047,0.383,-10.583,0.0989,174.043,0,2,0.05,4,30,10274507
Kala Thakur Pua Mohara,Kavita Krishnamurthy,/artist/kavita-subramaniam,08:00,Odia,05-05-2020,0.53,0.33,0.929,0.102,-7.331,0.09,171.943,0,9,0.061,4,55,2943343
Tata Mata Karuchhanti Rodana,Akshaya Mohanty,/artist/akshaya-mohanty,03:02,Odia,09-01-2003,0.09,0.736,0.838,0.756,-9.676,0.06,174.032,1,1,0.024,4,75,10403179
Phoor Kina Udigala Bani,Trupti Das|Geeta Patnaik,/artist/trupti-das|/artist/geeta-patnaik,02:59,Odia,07-11-2015,0.06,1,0.712,0.02,-2.1,0.02,173.942,1,10,0.0813,4,44,736013
Patita Jananku Uddhariba Pain,Bhikari Bal,/artist/bhikari-bal-1,03:51,Odia,09-11-2015,0.88,0.939,0.429,0.368,-2.098,0,174.068,1,3,0.0031,4,95,5404752
Jochhana Luchana,Akshaya Mohanty|Nirmal Mishra,/artist/akshaya-mohanty|/artist/nirmal-mishra,03:15,Odia,05-05-2001,0.85,0.32,0.616,0.607,-12.337,0.07,173.418,0,5,0.053,4,57,7656801
Kene Gheni,Akshaya Mohanty,/artist/akshaya-mohanty,03:02,Odia,07-04-2010,0.43,0.675,0.829,0.756,-3.656,0.05,175.011,1,1,0.017,4,72,10539395
Kathata Ta Atike,Anuradha Paudwal|Mohammad Aziz|Mahendra Kapoor|Akhyay Mohanty|Rabindra Sathe,/artist/anuradha-paudwal-2|/artist/mohammad-aziz|/artist/mahendra-kapoor|/artist/akhyay-mohanty|/artist/rabindra-sathe,05:21,Odia,04-06-2012,0.73,0.04,0.952,0.466,-11.121,0.0877,174.007,1,5,0.06,4,32,3838856
Ahe Prabhu Mahabahu,Geeta Das,/artist/geeta-das,03:09,Odia,03-02-2022,0.8,0.844,0.595,0.108,-13.393,0.05,171.986,1,9,0.06,4,78,900543
Rupa Sagadirey Suna Kaniya,Mohammad Aziz,/artist/mohammad-aziz,06:23,Odia,12-07-2008,0.97,0.88,0.953,0.254,-8.461,0.07,174.013,1,2,0.016,4,71,9784097
Hrudayara Ei Sunyataku,Sekhar Ghosh,/artist/sekhar-ghosh,04:59,Odia,06-03-2008,0.35,0.553,0.746,0.516,-9.886,0.01,174.001,1,9,0.032,4,26,1432475
Gadi Chale Pachhei,Akshaya Mohanty|Trupti Das,/artist/akshaya-mohanty|/artist/trupti-das,02:46,Odia,10-08-2008,0.93,0.18,0.661,0.933,-9.793,0.05,173.981,0,10,0.0265,4,51,3447217
Samalei Ma Go,Fakir Patnaik,/artist/fakir-patnaik-54,06:34,Odia,03-11-2023,0.65,0.866,0.439,0.821,-8.739,0,174.03,1,8,0.057,4,36,11002013
