song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
Pehle Lalkare Naal,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,03:31,Punjabi,03-07-2013,0.65,0.63,0.56,0.93,-8.562,0.0745,164.005,0,11,0.093,4,96,2701643
Sharbat Wangu Ghut Bhar Lan,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,04:24,Punjabi,07-06-2001,0.07,0.809,0.97,0.737,-10.014,0.02,127.803,1,2,0.039,4,44,4893586
Jija Lak Minle,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,02:42,Punjabi,10-09-2015,0.03,0,0.52,0.65,-4.738,0.04,150.024,0,11,0.0336,4,82,8477913
Laija Kithe Door,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,05:51,Punjabi,04-02-2015,0.72,0.175,0.327,0.848,-5.302,0.08,150.011,1,1,0.023,4,60,4125942
Das Meriya Dilwarave,Asha Bhosle|Mohammed Rafi,/artist/asha-bhosle-1|/artist/mohammad-rafi,06:18,Punjabi,11-03-2018,0.77,0.29,0.765,0.63,-5.424,0.0186,99.993,0,6,0.077,4,33,4701269
Dhokha Nahin Kamaida,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,04:28,Punjabi,04-07-2022,0.41,0.258,0.146,0.606,-11.634,0.0908,98.001,0,2,0.0114,4,47,6556215
Sikhar Dupehre Nahaundi Si,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,04:18,Punjabi,01-02-2012,0.13,0.08,0.587,0.5,-9.261,0.1,123.948,0,8,0.0554,4,76,6136599
Dhokha Nahin Kamaida,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,04:28,Punjabi,06-12-2022,0.36,0.243,0.111,0.412,-2.813,0.02,96.455,0,6,0.0584,4,98,2823607
Dat Khol Mitra,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,03:17,Punjabi,10-09-2022,0.41,0.26,0.723,0.41,-4.028,0.0847,129.93,1,0,0,4,70,2941758
Bhul Gai Main Ghund Kadna,Amar Singh Chamkila|Amarjot,/artist/amar-singh-chamkila|/artist/amarjot,03:34,Punjabi,12-04-2003,0.85,0.655,0.297,0.219,-2.542,0.0873,109.791,0,10,0.01,4,59,6946622
