song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
Induvadana,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:21,Telugu,06-01-2022,0.41,0.54,0.97,0.938,-13.279,0.062,135.03,1,2,0.027,4,96,502326
Manchu Kurise,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:05,Telugu,08-09-2004,0.81,0.413,0.929,0.537,-12.389,0.024,144.986,0,6,0.072,4,47,4108687
Yureka,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:15,Telugu,04-03-2015,0.07,0.75,0.787,0.65,-6.386,0.03,138.002,0,10,0.0942,4,94,3173797
Keeravani,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:15,Telugu,06-03-2012,0.7,0.625,0.722,0.498,-6.677,0.0442,137.989,1,7,0.08,4,26,4590134
Are Emaindhi,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:33,Telugu,01-08-2015,0.44,0.55,0.709,0.555,-4.499,0.03,138.059,1,8,0.0496,4,27,6239341
Tella Cheeraku,S. P. Balasubrahmanyam|Lata Mangeshkar,/artist/s-p-balasubrahamanyam|/artist/lata-mangeshkar,04:44,Telugu,03-04-2022,0.22,0.5,0.151,0.925,-7.519,0.01,136.02,0,6,0.0147,4,77,4297269
Guvva Gorinka Tho,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:31,Telugu,08-01-2003,0.34,0.36,0.224,0.614,-4.691,0.04,141.996,0,10,0.06,4,38,8557183
Kashmiri Loyalo,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:32,Telugu,12-11-2022,0.03,0.69,0.966,0.94,-5.973,0.041,149.917,0,10,0.01,4,76,6143157
Karigipoyanu,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:29,Telugu,08-01-2018,0.24,0.35,0.178,0.498,-5.367,0.0035,145.985,0,10,0.08,4,67,11339039
Prema Entha,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:08,Telugu,08-12-2014,0.52,0.037,0.886,0.904,-9.933,0.024,140.032,1,7,0.012,4,99,8523665
Banti Chamanti,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:39,Telugu,05-09-2015,0.98,0,0.232,0.956,-7.442,0.0399,137.992,1,7,0.02,4,52,11264760
O Priya,K. S. Chithra|S. P. Balasubrahmanyam,/artist/chitra|/artist/s-p-balasubrahamanyam,05:44,Telugu,07-04-2003,0.07,0.294,0.988,0.604,-2.458,0.07,134.999,1,9,0.03,4,97,6166038
Suvvi Suvvi,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,05:42,Telugu,08-07-2017,0.73,0.88,0.236,0.716,-4.072,0.029,141.996,1,1,0.002,4,100,5724574
Premaledani,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:33,Telugu,08-09-2022,0.62,0.764,0.356,0.185,-6.401,0.025,138.022,1,2,0.038,4,85,8818881
O Papa Lali,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:27,Telugu,09-08-2005,0.26,0.45,0.486,0.978,-10.938,0.08,139.425,0,5,0.0761,4,75,10688646
Ade Neevu,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:30,Telugu,06-11-2019,0.72,0.953,0.71,0.956,-5.654,0.09,143.02,0,3,0.0318,4,63,2926446
Sande Poddula,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:26,Telugu,08-08-2001,0.14,0.66,0.153,0.261,-13.169,0.0173,144.993,0,11,0.0423,4,41,4934233
Malli Malli,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:30,Telugu,01-11-2017,0.79,0.542,0.763,0.807,-12.628,0.0759,145.984,1,7,0.0259,4,36,10287939
Kokila,S. P. Balasubrahmanyam|K. S. Chithra,/artist/s-p-balasubrahamanyam|/artist/chitra,05:48,Telugu,03-10-2004,0.94,0.78,0.458,0.811,-5.429,0.064,142.994,1,7,0.087,4,98,6595470
Aamani,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:36,Telugu,11-11-2002,0.72,0.965,0.438,0.959,-13.32,0.07,140.02,0,11,0.0024,4,67,283891
Paara Hushar,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,06:12,Telugu,12-12-2018,0.58,0.78,0.728,0.554,-6.608,0.07,138.022,1,0,0.04,4,86,9815579
Eduta Neeve,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:15,Telugu,09-12-2018,0.24,0.236,0.738,0.704,-4.731,0.0837,153.024,1,2,0.0433,4,72,5718843
Theeganai Mallenai,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:22,Telugu,12-05-2019,0.82,0.7,0.539,0.025,-12.049,0.06,138.016,1,1,0.09,4,62,671483
Nammaku Nammaku,S P Balasubrahamanyam,/artist/s-p-balasubrahamanyam,05:32,Telugu,04-05-2018,0.19,0.561,0.404,0.999,-4.325,0.071,136.023,1,8,0.0219,4,85,11133177
Vatapatra (Happy),P. Susheela,/artist/p-suseela-2,04:32,Telugu,10-06-2015,0.49,0.37,0.783,0.668,-13.665,0.06,134.98,1,7,0.05,4,26,9496154
Jivvumani Kondagali,Mano|S. Janaki,/artist/mano|/artist/s-janaki,04:35,Telugu,08-03-2022,0.49,0.835,0.487,0.154,-8.239,0.0314,140.009,0,11,0.0136,4,38,887361
Eenade Edo,S. P. Balasubrahmanyam|K. S. Chithra,/artist/s-p-balasubrahamanyam|/artist/chitra,04:28,Telugu,10-03-2013,0.99,0.71,0.169,0.159,-2.35,0.0921,140.078,0,11,0.095,4,99,8530478
Andam Hindolam,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,04:48,Telugu,06-07-2012,0.12,0.424,0.624,0.799,-2.975,0.007,139.766,1,7,0.0338,4,56,1998371
Om Namaha,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:03,Telugu,08-01-2008,0.58,0.5,0.224,0.013,-3.672,0.04,137.998,1,7,0.015,4,71,1529723
Ee Gaali Ee Vela,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,06:49,Telugu,03-05-2007,0.24,0.772,0.974,0.104,-11.435,0.1,147.003,1,2,0.0642,4,100,2558064
Acha Acha,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:28,Telugu,12-07-2014,0.63,0.84,0.638,0.095,-3.865,0.0387,140.051,1,1,0.03,4,58,10252121
Swathi Muthyapu,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,06:12,Telugu,06-05-2003,0.86,0.101,0.392,0.208,-11.466,0.095,155.002,0,11,0.06,4,91,8584589
