song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,valence,time_signature,popularity,Stream,predicted_mood
Dopidi Dopidi Dopidi,Madhavapeddi Satyam|Pithapuram Nageswara Rao,/artist/madhavapeddi-satyam|/artist/pithapuram-nageswara-rao,04:26,Telugu,2024-12-04,0.68,0.53,0.418,0.809,-9.491,0.05,140.046,1,2,0.03,4,95,9793947,Sad
Ye Theeruga Nanu,Vani Jairam,/artist/vani-jayaram,01:38,Telugu,2024-12-02,0.84,0.736,0.574,0.021,-5.812,0.0105,150.962,1,8,0.01,4,60,5133500,Sad
Paaludapaga,Pithapuram Nageswara Rao,/artist/pithapuram-nageswara-rao,23:01,Telugu,2024-12-02,0.11,0.34,0.913,0.967,-9.274,0.087,155.091,0,3,0.1,4,27,307385,Energetic
Ee Mounam,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,03:22,Telugu,2024-11-04,0.66,0.227,0.415,0.315,-2.946,0.083,173.989,1,11,0.0067,4,90,2388323,Sad
Nee Vayase Padhaharu,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:02,Telugu,2024-11-03,0.87,0.193,0.497,0.881,-10.815,0.084,139.86,1,1,0.0066,4,28,8738769,Happy
Thoorupu Sindhoorapu,P. Susheela|S. P. Balasubrahmanyam,/artist/p-suseela-2|/artist/s-p-balasubrahamanyam,03:46,Telugu,2024-11-02,0.62,0.18,0.189,0.72,-4.612,0.01,150.051,1,6,0.047,4,41,9025022,Sad
Mudduloyi Muddulu,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,03:03,Telugu,2024-11-02,0.28,0.0,0.583,0.04,-12.721,0.0746,154.924,1,8,0.0208,4,50,6221052,Energetic
Naa Vandanamu,S. Janaki,/artist/s-janaki,04:47,Telugu,2024-10-03,0.87,0.83,0.291,0.182,-7.985,0.057,150.248,1,1,0.03,4,36,8840554,Sad
Pilla Kachuko,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,03:37,Telugu,2024-10-02,0.65,0.03,0.608,0.55,-9.95,0.0457,174.052,0,11,0.09,4,44,9319866,Happy
Iddarandraku Naduma,S. P. Sailaja|Chorus,/artist/s-p-sailaja-2|/artist/chorus,04:47,Telugu,2024-09-04,0.61,0.198,0.499,0.667,-7.436,0.0752,144.962,1,9,0.0242,4,42,2064563,Sad
Roma Romamu Rama Namamu,Kalluri Muralikrishna,/artist/kalluri-muralikrishna,05:12,Telugu,2024-09-03,0.29,0.321,0.842,0.314,-8.739,0.05,174.023,1,6,0.0239,4,56,1623779,Happy
Idhi Mounageetham,Asha Bhosle,/artist/asha-bhosle-1,05:32,Telugu,2024-08-04,0.65,0.613,0.396,0.167,-7.411,0.03,142.052,1,0,0.0082,4,99,3106591,Sad
