song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood
Madam Hanske Karle Pyar,Safdarjung Rana|Uma Dubey,/artist/safdarjung-rana|/artist/uma-dubey-1,0.0,Haryanvi,2000-01-03,0.84,0.683,0.689,0.58,-13.748,0.089,134.917,0,6,0.03,4,58,9359189,0,0,0,Happy
Beri Aali Bhai,Raj Kishan|Agwan Puriya,/artist/raj-kishan|/artist/agwan-puriya,0.0,Haryanvi,2000-02-01,0.73,0.76,0.981,0.89,-13.283,0.02,111.997,1,2,0.03,4,67,1716813,0,0,0,Happy
Pardesi Tanne Neend Khos Li,Anuradha Paudwal,/artist/anuradha-paudwal-2,0.0,Haryanvi,2000-02-07,0.85,0.75,0.912,0.72,-12.558,0.006,171.853,0,6,0.06,4,90,9985673,0,0,0,Happy
Meri Khet Ki Maidh Pe Tu,Dilraj Kaur|Triloki Verma,/artist/dilraj-kaur|/artist/triloki-verma,0.0,Haryanvi,2000-04-06,0.57,0.19,0.617,0.16,-6.446,0.05,174.727,1,4,0.089,4,43,4441755,0,0,0,Sad
Mahara Chhora Hoya Javan Piya,Jaspinder Narula|Safdarjung Rana,/artist/jaspinder-narula|/artist/safdarjung-rana,0.0,Haryanvi,2000-05-12,0.18,0.316,0.194,0.23,-8.56,0.03,115.07,0,6,0.047,4,93,5023181,0,0,0,Sad
Baad Diya Tanai Mhare Ghar Mein,Devkumar Ghayal|GEETA RANI,/artist/devkumar-ghayal|/artist/geeta-rani,0.0,Haryanvi,2000-08-12,0.29,0.94,0.173,0.98,-13.758,0.085,99.183,1,8,0.03,4,87,1335805,0,0,0,Sad
Jamna Paar Ki Gouri,Safdarjung Rana|Uma Dubey,/artist/safdarjung-rana|/artist/uma-dubey-5,0.0,Haryanvi,2000-12-02,0.44,0.108,0.327,0.745,-8.448,0.1,187.952,0,3,0.09,4,53,4101350,0,0,0,Sad
Mere Nau Daandi Ka Beejna,Dilraj Kaur,/artist/dilraj-kaur,0.0,Haryanvi,2001-01-09,0.97,0.85,0.44,0.35,-11.438,0.01,117.962,1,8,0.013,4,93,1364743,0,0,0,Sad
Bharan Jaat Mein Zindagi Khoye,Nitin Mukesh,/artist/nitin-mukesh,0.0,Haryanvi,2001-02-03,0.52,0.4,0.027,0.71,-10.815,0.081,102.977,0,1,0.0184,4,93,8819345,0,0,0,Sad
Mere Dil Pe Likh Diya Naam,Bhaal Singh,/artist/bhaal-singh,0.0,Haryanvi,2001-02-05,0.81,0.27,0.937,0.55,-3.848,0.01,164.028,0,6,0.0246,4,100,9984550,0,0,0,Happy
Matna Laavei Apne Haatha - Sad,Anuradha Paudwal,/artist/anuradha-paudwal-2,0.0,Haryanvi,2001-05-07,0.18,0.44,0.112,0.18,-10.738,0.0855,160.052,0,4,0.0355,4,73,521812,0,0,0,Sad
Dhol Wale Dhol Tu,Rajesh Madina|Anuja,/artist/rajesh-madina|/artist/anuja,0.0,Haryanvi,2001-06-06,0.0,0.987,0.162,0.651,-5.276,0.009,130.049,0,11,0.07,4,85,7556783,0,0,0,Sad
Sab Hui Padosan Tyar,Om Rahi|Savita Sathi,/artist/om-rahi|/artist/savita-sathi-1,0.0,Haryanvi,2001-07-12,0.61,0.316,0.422,0.494,-2.958,0.069,113.544,1,0,0.09,4,84,6202657,0,0,0,Sad
Ho Chhori Tannak Dat Ja Nai,Devkumar Ghayal|GEETA RANI,/artist/devkumar-ghayal|/artist/geeta-rani,0.0,Haryanvi,2001-08-03,0.6,0.25,0.92,0.14,-2.739,0.06,154.187,1,1,0.0056,4,63,10766899,0,0,0,Energetic
Fagan Aaya Re Rangila,Anuradha Paudwal|Shyam Bhateja,/artist/anuradha-paudwal-2|/artist/shyam-bhateja,0.0,Haryanvi,2001-08-06,0.17,0.53,0.458,0.03,-10.836,0.0658,181.444,0,6,0.02,4,85,2887334,0,0,0,Sad
Teri Morni Si Chaal,Devkumar Ghayal|GEETA RANI,/artist/devkumar-ghayal|/artist/geeta-rani,0.0,Haryanvi,2001-11-07,0.71,0.843,0.317,0.975,-3.255,0.0019,180.066,0,10,0.0676,4,25,8417326,0,0,0,Sad
Main Ro Ro Ke Raat Bitati Ho,Dilraj Kaur|Om Rahi,/artist/dilraj-kaur|/artist/om-rahi,0.0,Haryanvi,2002-01-01,0.97,0.553,0.021,0.472,-12.905,0.058,189.276,1,0,0.01,4,68,1978249,0,0,0,Sad
Gehri Chot Oat Ke Chaali,Bhaal Singh,/artist/bhaal-singh,0.0,Haryanvi,2002-03-02,0.05,0.233,0.254,0.235,-7.23,0.03,182.06,1,4,0.047,4,59,1529194,0,0,0,Sad
Sarson Phulee Rang Basanti,Dilraj Kaur,/artist/dilraj-kaur,0.0,Haryanvi,2002-03-07,0.06,0.62,0.147,0.92,-13.263,0.0421,190.54,0,6,0.05,4,60,10746853,0,0,0,Sad
Jija Tu Kale Main Gori Ghani,Dilraj Kaur|Vijaya Mazumder,/artist/dilraj-kaur|/artist/vijaya-mazumder-1,0.0,Haryanvi,2002-04-05,0.53,0.9,0.788,0.67,-2.559,0.0107,182.526,0,4,0.019,4,52,3354976,0,0,0,Energetic
Aam Gadra Gaye Nayan Pathra Gaye,Savita,/artist/savita,0.0,Haryanvi,2002-07-08,0.8,0.0,0.362,0.03,-9.472,0.1,190.084,1,1,0.0002,4,57,8595199,0,0,0,Sad
Peeth Thonk Puchkare Chhore,Guru Das Sharma,/artist/guru-das-sharma,0.0,Haryanvi,2002-09-11,0.19,0.72,0.435,0.58,-2.906,0.06,125.089,1,8,0.042,4,74,7621565,0,0,0,Sad
Mere Dab Dab Bhar Aaye Nain,Mohini Narula|Sudarshan Bali,/artist/mohini-narula|/artist/sudarshan-bali,0.0,Haryanvi,2002-10-06,0.71,0.79,0.725,0.24,-2.379,0.06,195.904,0,4,0.04,4,99,1795515,0,0,0,Energetic
Main Suraj Tu Chandrawal,Bhal Singh|Dilraj Kaur,/artist/bhal-singh|/artist/dilraj-kaur,0.0,Haryanvi,2002-10-11,0.96,0.01,0.111,0.48,-10.238,0.002,130.435,1,0,0.0354,4,72,11180061,0,0,0,Sad
Apne Apne Baalam Ki,Dilraj Kaur|Savita Saathi,/artist/dilraj-kaur|/artist/savita-saathi,0.0,Haryanvi,2002-10-12,0.82,0.2,0.388,0.94,-6.013,0.073,94.062,1,4,0.0865,4,66,8473940,0,0,0,Sad
Saasre Ne Jyagi Bebe,Savita Saathi,/artist/savita-saathi,0.0,Haryanvi,2002-12-03,0.82,0.631,0.689,0.667,-4.082,0.056,105.074,0,6,0.0921,4,93,2062387,0,0,0,Happy
Ujar Khere Murh Basen Ujarhe Neha Lout Re,Vijaya Mazumder,/artist/vijaya-mazumder-1,0.0,Haryanvi,2003-01-10,0.6,0.637,0.554,0.709,-3.703,0.02,146.038,0,3,0.001,4,69,5312143,0,0,0,Sad
Aaja Tannai Sair Karau Hariyane Aali,Devkumar Ghayal|GEETA RANI,/artist/devkumar-ghayal|/artist/geeta-rani,0.0,Haryanvi,2003-03-07,0.42,0.08,0.559,0.12,-10.457,0.023,111.959,0,5,0.083,4,62,4538194,0,0,0,Sad
Mera Fans Gaya Dol,Safdarjung Rana|Mohini Narula,/artist/safdarjung-rana|/artist/mohini-narula,0.0,Haryanvi,2003-05-01,0.27,0.89,0.681,0.89,-4.579,0.057,185.944,0,8,0.04,4,99,2620497,0,0,0,Energetic
Mera Piya,Rajesh Madina|Anuja,/artist/rajesh-madina|/artist/anuja,0.0,Haryanvi,2003-07-08,0.43,0.077,0.135,0.183,-4.549,0.042,151.097,0,6,0.07,4,91,6887472,0,0,0,Sad
Ke Ho Gaya Manne Sakhiyon,Dilraj Kaur,/artist/dilraj-kaur,0.0,Haryanvi,2003-07-11,0.57,0.42,0.83,0.94,-4.642,0.0311,105.955,1,5,0.07,4,48,1531567,0,0,0,Energetic
Arai Sunati Jaye Hire,Yazin Nizar,/artist/yasin,0.0,Haryanvi,2003-08-01,0.89,0.574,0.529,0.203,-3.624,0.04,86.003,1,9,0.076,4,92,8946133,0,0,0,Sad
Mata Ne Banvas Tolia,Sultan Singh,/artist/sultan-singh,0.0,Haryanvi,2003-08-03,0.61,0.95,0.002,0.3,-2.135,0.0047,179.916,0,9,0.027,4,54,6625604,0,0,0,Sad
Choodiyaan Ki Khan Khan Degya Koi Rangeela,Hemlata,/artist/hemlata,0.0,Haryanvi,2003-09-08,0.39,0.544,0.24,0.904,-12.738,0.0813,173.948,1,11,0.0136,4,96,4678902,0,0,0,Sad
Rohtak Jana Se,Safdarjung Rana|Uma Dubey,/artist/safdarjung-rana|/artist/uma-dubey-1,0.0,Haryanvi,2003-11-01,0.54,0.039,0.315,0.784,-9.371,0.006,175.934,1,0,0.01,4,29,2139370,0,0,0,Sad
Gori Mare Gam Ki,Chand Sanware,/artist/chand-sanware,0.0,Haryanvi,2003-11-05,0.52,0.735,0.33,0.767,-7.362,0.059,204.318,0,9,0.01,4,53,4909638,0,0,0,Sad
Tino Goriyon Ke Beech,Mohini Narula|Sudarshan Bali,/artist/mohini-narula|/artist/sudarshan-bali,0.0,Haryanvi,2004-01-02,0.19,0.38,0.538,0.732,-6.526,0.06,129.014,1,8,0.08,4,57,2632802,0,0,0,Sad
Door Manai Se Jana,Savita Saathi|Bhaal Singh,/artist/savita-saathi|/artist/bhaal-singh,0.0,Haryanvi,2004-01-07,0.93,0.88,0.084,0.45,-5.547,0.074,157.878,1,6,0.0516,4,76,4105593,0,0,0,Sad
Naye Chore Pyar Kare,Rajesh Madina|Anuja,/artist/rajesh-madina|/artist/anuja,0.0,Haryanvi,2004-02-02,0.23,0.7,0.022,0.228,-6.673,0.09,100.008,1,1,0.06,4,32,10596093,0,0,0,Sad
Shakuntala Teri Shan Dekh Ke Shakuntala,Gulab Singh,/artist/gulab-singh,0.0,Haryanvi,2004-02-08,0.95,0.384,0.09,0.677,-10.091,0.086,192.042,1,1,0.02,4,56,11055321,0,0,0,Sad
Thali Upar Bela,Vandana,/artist/vandana,0.0,Haryanvi,2004-02-12,0.53,0.76,0.774,0.08,-7.923,0.003,136.173,0,6,0.074,4,50,253378,0,0,0,Happy
Lagi Chaski Pyar Ki,Dilraj Kaur,/artist/dilraj-kaur,0.0,Haryanvi,2004-04-01,0.85,0.848,0.504,0.402,-2.3,0.0,150.327,1,11,0.017,4,91,6573414,0,0,0,Sad
Choudhury Hath Jorh Ri Se,Safdarjung Rana|Uma Dubey,/artist/safdarjung-rana|/artist/uma-dubey-1,0.0,Haryanvi,2004-04-12,0.36,0.05,0.047,0.27,-2.957,0.0765,193.982,1,2,0.05,4,91,8397672,0,0,0,Sad
Ho Meri Chhann Paheli Haathan Main Taambe Ki Goonthi,Savita Saathi,/artist/savita-saathi,0.0,Haryanvi,2004-08-08,0.34,0.459,0.054,0.619,-13.44,0.02,180.063,1,0,0.079,4,76,2090362,0,0,0,Sad
Dhak Dhak Dil Dhadke Sa Bata Kyun Dhadke Sa,Gulab Singh|Kusum Tanwar,/artist/gulab-singh|/artist/kusum-tanwar,0.0,Haryanvi,2004-10-09,0.22,0.381,0.142,0.612,-6.942,0.03,125.775,0,3,0.087,4,25,10281244,0,0,0,Sad
Khol Gori Jhat Khol,Safdarjung Rana|Uma Dubey,/artist/safdarjung-rana|/artist/uma-dubey-1,0.0,Haryanvi,2004-11-04,0.66,0.065,0.277,0.018,-10.932,0.0135,105.079,0,1,0.07,4,31,2126293,0,0,0,Sad
Tu Mahlan Ki Rahne Aali Main Kismat Ka Mara Su,Bhaal Singh|Savita Saathi,/artist/bhaal-singh|/artist/savita-saathi,0.0,Haryanvi,2005-03-06,0.49,0.482,0.435,0.146,-12.394,0.06,159.966,0,3,0.01,4,58,2708326,0,0,0,Sad
Tavda Mando Par Ja Re,Pushpa Pagdhare,/artist/pushpa-pagdhare,0.0,Haryanvi,2005-06-07,0.81,0.357,0.735,0.222,-6.318,0.006,171.812,0,6,0.0099,4,93,4144544,0,0,0,Happy
Chandra Gupti Garat,Unknown,/artist/unknown,0.0,Haryanvi,2005-09-04,0.79,0.14,0.663,0.37,-2.807,0.024,165.678,0,11,0.05,4,53,1258266,0,0,0,Energetic
Tai Dekh Ghani Sharm,Rajesh Madina|Anuja,/artist/rajesh-madina|/artist/anuja,0.0,Haryanvi,2005-10-04,0.47,0.13,0.545,0.691,-9.747,0.043,160.004,1,9,0.03,4,27,5901128,0,0,0,Sad
Rishta Na Koi Kariyo Apne Te Bade Ghar Mein,Mahendra Kapoor,/artist/mahendra-kapoor,0.0,Haryanvi,2005-12-03,0.87,0.227,0.007,0.713,-2.26,0.034,128.03,0,11,0.054,4,53,1525507,0,0,0,Sad
Nain Katore Kajal Dore,Bhal Singh,/artist/bhal-singh,0.0,Haryanvi,2005-12-03,0.61,0.11,0.526,0.45,-6.809,0.007,110.008,0,6,0.0489,4,73,1209075,0,0,0,Happy
Aur Nashe Bekaar Nasha Bas Daaru Ka,Gulab Singh|Safdarjung Rana,/artist/gulab-singh|/artist/safdarjung-rana,0.0,Haryanvi,2006-01-07,0.33,0.727,0.03,0.086,-5.705,0.037,191.44,1,7,0.0398,4,73,5549531,0,0,0,Sad
Meri Pasali Mein Dard Huya Meri Maa,Dilraj Kaur|Usha Bhusawal,/artist/dilraj-kaur|/artist/usha-bhusawal,0.0,Haryanvi,2006-02-02,0.85,0.552,0.936,0.659,-8.005,0.04,169.154,1,1,0.015,4,53,4032563,0,0,0,Energetic
Re Gori Tera Joban Kare Re Kamaal,Bhaal Singh,/artist/bhaal-singh,0.0,Haryanvi,2006-02-07,0.74,0.543,0.977,0.901,-7.116,0.024,200.446,0,4,0.0176,4,31,8398359,0,0,0,Happy
Pandit Ji Dekho Haath Batlaao Manne Kaisa Pati Milega,Suresh Wadkar|Hemlata,/artist/suresh-wadkar|/artist/hemlata,0.0,Haryanvi,2006-04-05,0.99,0.068,0.371,0.485,-6.055,0.0463,200.154,0,11,0.0812,4,91,6097116,0,0,0,Sad
Kab Tak Chhaila Chalegi Teri Marji,Pushpa Pagdhare,/artist/pushpa-pagdhare,0.0,Haryanvi,2006-05-08,0.84,0.607,0.453,0.327,-10.031,0.04,192.106,0,8,0.096,4,36,9964105,0,0,0,Sad
Mhari Gordi Gori Gori,Bhupender,/artist/bhupender,0.0,Haryanvi,2006-05-09,0.05,0.93,0.637,0.37,-10.965,0.08,176.426,0,7,0.0082,4,53,1986167,0,0,0,Sad
Tu Rohtak Ki Revdi,Munshi Ram|Vandana,/artist/munshi-ram|/artist/vandana,0.0,Haryanvi,2006-06-07,0.73,0.951,0.676,0.059,-9.337,0.07,156.04,0,0,0.0,4,35,732293,0,0,0,Happy
Abke Pakam,Dilraj Kaur,/artist/dilraj-kaur,0.0,Haryanvi,2006-07-01,0.68,0.73,1.0,0.468,-10.278,0.062,117.971,0,4,0.065,4,97,2924146,0,0,0,Happy
Sapere Jara Been Bajaa Haule Haule,Asha Bhosle,/artist/asha-bhosle-1,0.0,Haryanvi,2006-08-05,0.74,0.93,0.486,0.17,-2.17,0.0946,141.034,0,7,0.08,4,100,8992465,0,0,0,Sad
Choori Paheroongi Rangdar,Safdarjung Rana|Mohini Narula,/artist/safdarjung-rana|/artist/mohini-narula,0.0,Haryanvi,2006-09-07,0.0,0.576,0.79,0.211,-5.341,0.063,180.051,1,1,0.033,4,54,8862727,0,0,0,Energetic
Shahzada Banna Ladla,Mohini Narula|Sudarshan Bali,/artist/mohini-narula|/artist/sudarshan-bali,0.0,Haryanvi,2006-10-03,0.47,0.59,0.654,0.65,-8.516,0.08,98.043,0,2,0.0263,4,88,2738714,0,0,0,Sad
Mhare Kise Barati Aaye Ree Sarmaau Soo,Kusum Tanwar,/artist/kusum-tanwar,0.0,Haryanvi,2006-10-08,0.78,0.51,0.765,0.22,-7.53,0.0071,150.062,1,11,0.08,4,68,6010978,0,0,0,Happy
Aya Sai Maniara,Vinay Kamal|Mohini Narula,/artist/vinay-kamal|/artist/mohini-narula,0.0,Haryanvi,2007-01-05,0.66,0.69,0.237,0.71,-12.355,0.068,150.002,1,9,0.0375,4,89,11070526,0,0,0,Sad
Ho Kaise Ghara Uthaoon Main,Sumer Singh Yadav,/artist/sumer-singh-yadav,0.0,Haryanvi,2007-02-02,1.0,0.787,0.982,0.091,-6.419,0.0554,182.31,0,7,0.057,4,80,6110664,0,0,0,Happy
Menka Chali Kuti Te Bahr,Sultan Singh,/artist/sultan-singh,0.0,Haryanvi,2007-05-04,0.95,0.82,0.395,0.78,-4.942,0.011,163.17,0,1,0.077,4,50,7643141,0,0,0,Sad
Paro Re Paro Teri Aankh Nashili,Mahendra Kapoor|Suresh Wadkar|Dilraj Kaur,/artist/mahendra-kapoor|/artist/suresh-wadkar|/artist/dilraj-kaur,0.0,Haryanvi,2007-06-10,0.12,0.02,0.881,0.75,-2.445,0.084,138.024,1,9,0.07,4,27,10445865,0,0,0,Energetic
