song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood
Seene Mein Jalan,Suresh Wadkar,/artist/suresh-wadkar,0.0,Hindi,2000-01-01,0.71,0.19,0.602,0.069,-2.639,0.0811,178.058,1.0,8.0,0.09,4.0,75.0,10660324.0,0,0,0,Happy
Mere Rang Mein Rangne Wali,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Hindi,2000-01-02,0.77,0.02,0.167,0.751,-7.416,0.017,126.937,0.0,0.0,0.08,4.0,68.0,8270106.0,0,0,0,Sad
Jeene Ke Bahane Lakhon Hain,Asha Bhosle|Chorus,/artist/asha-bhosle-1|/artist/chorus,0.0,Hindi,2000-01-06,0.57,0.301,0.931,0.802,-8.94,0.094,157.14,0.0,1.0,0.09,4.0,75.0,6861083.0,0,0,0,Energetic
Wada Karo,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,0.0,Hindi,2000-01-07,0.11,0.37,0.031,0.374,-5.096,0.0008,190.02,0.0,4.0,0.027,4.0,64.0,3660548.0,0,0,0,Sad
Bhole O Bhole,Kishore Kumar,/artist/kishore-kumar,0.0,Hindi,2000-02-08,0.95,0.657,0.399,0.724,-8.129,0.06,187.558,0.0,4.0,0.02,4.0,98.0,5861108.0,0,0,0,Sad
Suno Kaho Suna,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,0.0,Hindi,2000-02-11,0.96,0.333,0.627,0.051,-9.593,0.0529,129.996,0.0,5.0,0.0345,4.0,50.0,9652058.0,0,0,0,Happy
Na Jane Kahan Se,Amit Kumar|Kavita Krishnamurthy,/artist/amit-kumar|/artist/kavita-subramaniam,0.0,Hindi,2000-03-05,0.02,0.027,0.803,0.779,-13.726,0.05,201.944,0.0,9.0,0.013,4.0,95.0,1963168.0,0,0,0,Happy
Aapki Yaad Aati Rahi Raat Bhar,Chhaya Ganguli,/artist/chhaya-ganguli,0.0,Hindi,2000-05-10,0.76,0.019,0.972,0.13,-7.297,0.032,138.043,1.0,9.0,0.0403,4.0,67.0,7156859.0,0,0,0,Happy
Dil Tera Diwana Hai Sanam,Lata Mangeshkar|Mohammed Rafi,/artist/lata-mangeshkar|/artist/mohammad-rafi,0.0,Hindi,2000-06-07,0.55,0.496,0.371,0.647,-9.411,0.057,184.448,1.0,1.0,0.068,4.0,48.0,5309369.0,0,0,0,Sad
Chakke Men Chakka Chakke Pe Gaadi,Mohammed Rafi,/artist/mohammad-rafi,0.0,Hindi,2000-06-11,0.47,0.359,0.874,0.836,-12.441,0.015,192.278,1.0,1.0,0.0913,4.0,55.0,5893565.0,0,0,0,Energetic
Jhanak Jhanak Tori Baje Payelia,Manna Dey,/artist/manna-dey,0.0,Hindi,2000-06-12,0.2,0.937,0.503,0.851,-9.5,0.0032,168.198,1.0,7.0,0.035,4.0,98.0,9497941.0,0,0,0,Sad
Kaan Men Jhumka Chaal Men Thumka,Mohammed Rafi,/artist/mohammad-rafi,0.0,Hindi,2000-07-01,0.83,0.117,0.296,0.546,-9.052,0.07,167.986,0.0,9.0,0.04,4.0,44.0,5396064.0,0,0,0,Sad
Tune O Rangeele,Lata Mangeshkar,/artist/lata-mangeshkar,0.0,Hindi,2000-07-08,0.78,0.09,0.658,0.74,-11.994,0.06,197.984,1.0,6.0,0.0553,4.0,46.0,9792195.0,0,0,0,Happy
Dil Ke Arman Ansuon Men Bah Gaye,Salma Agha,/artist/salma-agha,0.0,Hindi,2000-08-08,1.0,0.478,0.478,0.867,-7.03,0.055,164.028,1.0,2.0,0.095,4.0,85.0,6843321.0,0,0,0,Sad
Pal Pal Dil Ke Paas,Kishore Kumar,/artist/kishore-kumar,0.0,Hindi,2000-09-02,0.36,0.58,0.008,0.221,-8.965,0.0,139.938,0.0,0.0,0.05,4.0,45.0,11029624.0,0,0,0,Sad
Koi Jab Raha (Meri Dosti Mera Pyar),Mohammed Rafi,/artist/mohammad-rafi,0.0,Hindi,2000-10-06,0.1,0.46,0.894,0.614,-12.107,0.048,106.783,0.0,10.0,0.0284,4.0,95.0,8278175.0,0,0,0,Happy
Balma Tum Balma Ho Mere Khali,Kavita Krishnamurthy,/artist/kavita-subramaniam,0.0,Hindi,2000-10-07,0.47,0.294,0.094,0.605,-12.865,0.051,183.43,1.0,9.0,0.027,4.0,53.0,9718609.0,0,0,0,Sad
Deewana Mujhsa Nahin,Mohammed Rafi,/artist/mohammad-rafi,0.0,Hindi,2000-11-03,0.96,0.07,0.525,0.97,-4.957,0.009,182.038,0.0,9.0,0.0886,4.0,87.0,8444085.0,0,0,0,Happy
Kasme Wade Pyar Wafa,Manna Dey,/artist/manna-dey,0.0,Hindi,2000-11-05,0.72,0.86,0.084,0.23,-7.565,0.027,171.392,0.0,5.0,0.0289,4.0,92.0,3178275.0,0,0,0,Sad
Main Jat Yamla Pagla Diwana,Mohammed Rafi,/artist/mohammad-rafi,0.0,Hindi,2000-11-08,0.97,0.27,0.555,0.016,-8.958,0.05,147.768,1.0,7.0,0.08,4.0,69.0,5464767.0,0,0,0,Sad
Chand Jaise Mukhde Pe,K J Yesudas,/artist/k-j-yesudas,0.0,Hindi,2000-11-11,0.76,0.46,0.728,0.433,-7.464,0.02,109.237,1.0,0.0,0.0217,4.0,63.0,4958933.0,0,0,0,Happy
Yeh Reshmi Zulfen,Mohammed Rafi,/artist/mohammad-rafi,0.0,Hindi,2000-12-03,0.76,0.42,0.058,0.042,-2.02,0.049,138.964,1.0,7.0,0.08,4.0,91.0,11128680.0,0,0,0,Sad
Ruk Jana Nahin (Part 2),Kishore Kumar,/artist/kishore-kumar,0.0,Hindi,2001-01-01,0.19,0.75,0.924,0.846,-6.6,0.0741,166.638,0.0,2.0,0.002,4.0,65.0,8954978.0,0,0,0,Energetic
Ankhon Mein Qayamat Ke Kajal,Mahendra Kapoor,/artist/mahendra-kapoor,0.0,Hindi,2001-01-03,0.3,0.74,0.403,0.301,-3.944,0.05,155.582,0.0,4.0,0.05,4.0,82.0,9930346.0,0,0,0,Sad
O Mehbooba,Mukesh,/artist/mukesh,0.0,Hindi,2001-01-06,0.19,0.8,0.468,0.808,-11.172,0.0484,179.58,1.0,7.0,0.029,4.0,92.0,1053270.0,0,0,0,Sad
Chhalke Teri Ankhon Se,Mohammed Rafi,/artist/mohammad-rafi,0.0,Hindi,2001-01-08,0.73,0.19,0.333,0.544,-4.897,0.0913,180.006,1.0,11.0,0.0368,4.0,32.0,974343.0,0,0,0,Sad
Parde Mein Rahne Do,Asha Bhosle,/artist/asha-bhosle-1,0.0,Hindi,2001-01-09,0.35,0.99,0.116,0.92,-8.059,0.059,121.927,1.0,6.0,0.03,4.0,36.0,3118273.0,0,0,0,Sad
Janam Janam Ka Saath Hai,Mohammed Rafi,/artist/mohammad-rafi,0.0,Hindi,2001-01-10,0.68,0.29,0.697,0.776,-7.417,0.058,184.214,0.0,1.0,0.02,4.0,27.0,11118791.0,0,0,0,Happy
Pal Bhar Ke Liye,Kishore Kumar|Usha Khanna,/artist/kishore-kumar|/artist/usha-khanna,0.0,Hindi,2001-02-02,0.2,0.56,0.275,0.672,-6.322,0.012,191.848,0.0,5.0,0.01,4.0,92.0,8361235.0,0,0,0,Sad
Aajkal Tere Mere Pyar Ke Charche,Mohammed Rafi|Suman Kalyanpur,/artist/mohammad-rafi|/artist/suman-kalyanpur,0.0,Hindi,2001-03-04,0.19,0.97,0.549,0.779,-9.299,0.052,153.645,1.0,7.0,0.038,4.0,44.0,4490519.0,0,0,0,Sad
Tere Haathon Mein,Asha Bhosle|Mohammed Rafi,/artist/asha-bhosle-1|/artist/mohammad-rafi,0.0,Hindi,2001-03-07,0.08,0.952,0.76,0.915,-6.337,0.089,148.14,0.0,4.0,0.083,4.0,79.0,3805160.0,0,0,0,Energetic
Dukki Pe Dukki Ho,Asha Bhosle|Kishore Kumar|R. D. Burman|Bhupinder Singh|Sapan Chakraborty|Basu,/artist/asha-bhosle-1|/artist/kishore-kumar|/artist/r-d-burman|/artist/bhupinder-singh|/artist/sapan-chakraborty|/artist/basu,0.0,Hindi,2001-03-11,0.46,0.166,0.069,0.871,-11.457,0.048,140.065,0.0,10.0,0.0797,4.0,99.0,4935418.0,0,0,0,Sad
Abhi Na Jao Chhod Kar,Asha Bhosle|Mohammed Rafi,/artist/asha-bhosle-1|/artist/mohammad-rafi,0.0,Hindi,2001-04-06,0.74,0.311,0.583,0.877,-2.581,0.02,174.986,1.0,9.0,0.0704,4.0,89.0,6944719.0,0,0,0,Sad
Tum Kya Jano Mohabbat Kya Hai,R. D. Burman,/artist/r-d-burman,0.0,Hindi,2001-04-07,0.74,0.86,0.557,0.777,-2.176,0.05,196.908,1.0,7.0,0.01,4.0,33.0,911378.0,0,0,0,Sad
Bheegi Bheegi Raaton Mein,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,0.0,Hindi,2001-05-03,0.19,0.98,0.701,0.257,-12.08,0.0116,141.966,1.0,1.0,0.05,4.0,29.0,9777634.0,0,0,0,Sad
Dil Ne Dil Ko Pukara (Part 1),Mohammed Rafi|Lata Mangeshkar,/artist/mohammad-rafi|/artist/lata-mangeshkar,0.0,Hindi,2001-05-09,0.37,0.581,0.114,0.448,-13.83,0.0258,103.89,1.0,0.0,0.05,4.0,46.0,8157005.0,0,0,0,Sad
Apni To Jaise Taise - Dialogue,Kishore Kumar,/artist/kishore-kumar,0.0,Hindi,2001-05-11,0.52,0.646,0.717,0.193,-4.03,0.06,125.916,1.0,0.0,0.0617,4.0,25.0,6957895.0,0,0,0,Energetic
Jane Na Nazar Pehchane Jigar,Lata Mangeshkar|Mukesh,/artist/lata-mangeshkar|/artist/mukesh,0.0,Hindi,2001-05-12,0.84,0.044,0.027,0.147,-13.07,0.0023,121.002,1.0,9.0,0.0323,4.0,51.0,5890543.0,0,0,0,Sad
Faza Bhi Hai Jawan (Part 1 And 2),Salma Agha,/artist/salma-agha,0.0,Hindi,2001-06-11,0.32,0.39,0.581,0.994,-5.388,0.045,201.684,0.0,4.0,0.092,4.0,67.0,9654845.0,0,0,0,Sad
Duniya Bananewale,Mukesh,/artist/mukesh,0.0,Hindi,2001-06-12,0.9,0.88,0.471,0.769,-8.944,0.03,195.402,0.0,4.0,0.01,4.0,79.0,7319435.0,0,0,0,Sad
Chupke Chupke Raat Din,Ghulam Ali,/artist/ghulam-ali,0.0,Hindi,2001-07-02,0.02,0.59,0.883,0.555,-13.096,0.088,125.011,0.0,11.0,0.0832,4.0,39.0,5472.0,0,0,0,Energetic
Ankhiyon Ko Rahne De,Lata Mangeshkar,/artist/lata-mangeshkar,0.0,Hindi,2001-07-03,0.97,0.06,0.369,0.266,-11.756,0.0835,190.14,1.0,11.0,0.04,4.0,88.0,1240620.0,0,0,0,Sad
Jeevan Ke Har Mod Pe Mil Jayenge,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,0.0,Hindi,2001-07-04,0.96,0.85,0.033,0.63,-2.12,0.0693,182.06,0.0,10.0,0.08,4.0,63.0,1468704.0,0,0,0,Sad
Chingari Koi Bhadke,Kishore Kumar,/artist/kishore-kumar,0.0,Hindi,2001-07-10,0.81,0.707,0.922,0.701,-10.039,0.08,151.18,1.0,0.0,0.04,4.0,41.0,8891898.0,0,0,0,Energetic
Madhuban Mein Radhika Nache Re,Mohammed Rafi,/artist/mohammad-rafi,0.0,Hindi,2001-07-11,0.3,0.84,0.307,0.253,-4.712,0.061,122.973,1.0,9.0,0.056,4.0,60.0,1854186.0,0,0,0,Sad
Inhin Logon Ne,Lata Mangeshkar,/artist/lata-mangeshkar,0.0,Hindi,2001-08-05,0.71,0.73,0.671,0.621,-2.327,0.066,199.996,1.0,2.0,0.0151,4.0,42.0,2104663.0,0,0,0,Energetic
Goriya Re Goriya,Lata Mangeshkar|Jolly Mukherjee,/artist/lata-mangeshkar|/artist/jolly-mukherjee-1,0.0,Hindi,2001-08-08,0.6,0.219,0.971,0.075,-9.08,0.03,107.545,0.0,4.0,0.0737,4.0,66.0,5297470.0,0,0,0,Happy
Mere Do Anmol Ratan,Kavita Krishnamurthy|Mohammad Aziz,/artist/kavita-subramaniam|/artist/mohammad-aziz,0.0,Hindi,2001-08-11,0.23,0.35,0.404,0.493,-7.841,0.0779,123.981,1.0,0.0,0.09,4.0,29.0,2002400.0,0,0,0,Sad
Mere Sapnon Ki Rani,Kishore Kumar,/artist/kishore-kumar,0.0,Hindi,2001-09-05,0.59,0.406,0.501,0.541,-9.107,0.0033,185.954,1.0,9.0,0.067,4.0,61.0,2060547.0,0,0,0,Sad
Admi Jo Kahta Hai,Kishore Kumar,/artist/kishore-kumar,0.0,Hindi,2001-09-06,0.7,0.077,0.703,0.792,-9.519,0.0,189.094,1.0,0.0,0.0149,4.0,33.0,520415.0,0,0,0,Happy
Mere Angne Mein - Amitabh Bachchan,Amitabh Bachchan,/artist/amitabh-bachchan,0.0,Hindi,2001-09-09,0.43,0.656,0.457,0.749,-9.333,0.08,171.755,0.0,1.0,0.02,4.0,81.0,5326489.0,0,0,0,Sad
Gum Hai Kisi Ke Pyar Mein,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,0.0,Hindi,2001-10-03,0.97,0.224,0.494,0.969,-5.404,0.01,155.974,1.0,4.0,0.0908,4.0,42.0,192957.0,0,0,0,Sad
Tumne Pukara Aur Hum Chale Aaye,Mohammed Rafi|Suman Kalyanpur,/artist/mohammad-rafi|/artist/suman-kalyanpur,0.0,Hindi,2001-10-05,0.26,0.54,0.833,0.086,-12.44,0.097,135.021,0.0,5.0,0.0982,4.0,53.0,7620247.0,0,0,0,Happy
Khullam Khulla Pyar Karenge,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,0.0,Hindi,2001-11-01,0.06,0.428,0.727,0.754,-3.292,0.08,128.962,0.0,1.0,0.07,4.0,90.0,6460159.0,0,0,0,Energetic
Ham Intezar Karenge,Mohammed Rafi,/artist/mohammad-rafi,0.0,Hindi,2001-11-03,0.11,0.59,0.165,0.876,-4.681,0.06,111.782,1.0,11.0,0.03,4.0,38.0,6824148.0,0,0,0,Sad
Sohni Meri Sohni,Anwar|Asha Bhosle,/artist/anwar|/artist/asha-bhosle-1,0.0,Hindi,2001-11-05,0.33,0.06,0.617,0.837,-7.202,0.0386,187.0,1.0,8.0,0.0342,4.0,84.0,718537.0,0,0,0,Sad
Samne Ye Kaun Aya,Kishore Kumar,/artist/kishore-kumar,0.0,Hindi,2001-11-06,0.19,0.98,0.939,0.155,-5.323,0.053,116.017,0.0,0.0,0.04,4.0,43.0,4030048.0,0,0,0,Energetic
Goom Hai Kisi Ke Pyar Mein,Hariharan|Kavita Krishnamurthy,/artist/hariharan|/artist/kavita-subramaniam,0.0,Hindi,2001-11-09,0.39,0.006,0.752,0.092,-12.077,0.09,167.976,1.0,11.0,0.044,4.0,75.0,5089671.0,0,0,0,Happy
Aaja Tujhko Pukare Mera Pyar,Mohammed Rafi,/artist/mohammad-rafi,0.0,Hindi,2001-12-02,0.26,0.73,0.014,0.908,-13.95,0.019,185.458,1.0,6.0,0.02,4.0,78.0,2195654.0,0,0,0,Sad
Ek Roz Main Tadapkar,Kishore Kumar,/artist/kishore-kumar,0.0,Hindi,2001-12-07,0.79,0.343,0.1,0.769,-11.777,0.0552,150.061,0.0,2.0,0.09,4.0,86.0,8925722.0,0,0,0,Sad
Yeh Galiyan Yeh Chaubara,Lata Mangeshkar,/artist/lata-mangeshkar,0.0,Hindi,2002-01-01,0.29,0.585,0.202,0.454,-4.114,0.08,178.782,0.0,6.0,0.08,4.0,63.0,8855415.0,0,0,0,Sad
