song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood
Ninna Ninna Snehaka,Dr. Rajkumar|P Suhseela,/artist/dr-rajkumar-1|/artist/p-suhseela,0.0,Kannada,2000-01-02,0.7,0.96,0.684,0.9,-9.136,0.0807,155.784,1,0,0.0042,4,35,3137880,0,0,0,Happy
Maanava Naaguveya,Dr. Rajkumar,/artist/dr-rajkumar-1,0.0,Kannada,2000-01-03,0.33,0.8,0.494,0.197,-10.968,0.07,136.016,1,9,0.05,4,57,11293981,0,0,0,Sad
Ullavara Manege,Ramprasad|Ratnamala Prakash,/artist/ramprasad|/artist/ratnamala-prakash,0.0,Kannada,2000-01-05,0.05,0.2,0.556,0.18,-11.623,0.01,117.935,1,9,0.0377,4,33,6645252,0,0,0,Sad
Basavannana Bhakthi,Ramya Vasista,/artist/ramya-vasista,0.0,Kannada,2000-01-09,0.83,0.67,0.695,0.4,-13.367,0.05,150.216,0,10,0.0097,4,96,4737645,0,0,0,Happy
Krishna Yenabaarade,Vani Jairam,/artist/vani-jayaram,0.0,Kannada,2000-01-09,0.69,0.62,0.581,0.9,-8.231,0.05,138.066,1,8,0.0766,4,68,147835,0,0,0,Happy
Endhoo Agalada,P. Susheela,/artist/p-suseela-2,0.0,Kannada,2000-02-01,0.81,0.288,0.572,0.432,-5.274,0.03,133.886,1,0,0.04,4,80,4515033,0,0,0,Happy
Baaramma Kamadhenu,P. Susheela,/artist/p-suseela-2,0.0,Kannada,2000-02-02,0.8,0.83,0.265,0.36,-13.319,0.097,191.188,1,5,0.02,4,45,6768089,0,0,0,Sad
Yavudo Kadalli,C Aswath|B.R.Chaya,/artist/c-aswath|/artist/brchaya,0.0,Kannada,2000-02-04,0.24,0.608,0.637,0.826,-7.137,0.041,204.104,1,6,0.0,4,66,11334287,0,0,0,Sad
Prema Veeneya Shritiya,P. Susheela,/artist/p-suseela-2,0.0,Kannada,2000-02-04,0.31,0.46,0.39,0.37,-6.457,0.05,149.875,1,1,0.079,4,28,11319554,0,0,0,Sad
Balukaado Bangaari,S. P. Balasubrahmanyam|Vani Jairam,/artist/s-p-balasubrahamanyam|/artist/vani-jayaram,0.0,Kannada,2000-02-07,0.89,0.44,0.306,0.7,-8.445,0.063,125.01,1,1,0.09,4,66,6825190,0,0,0,Sad
Ninna Nanna,Dr. Rajkumar,/artist/dr-rajkumar-1,0.0,Kannada,2000-02-08,0.07,0.757,0.642,0.807,-7.877,0.061,126.945,1,1,0.031,4,31,8845838,0,0,0,Sad
Olave Jeevana (Female),P. Susheela,/artist/p-suseela-2,0.0,Kannada,2000-03-02,0.8,0.79,0.479,0.1,-3.017,0.075,204.094,1,1,0.032,4,52,2956476,0,0,0,Sad
Ee Gejjeya Naada,Kasturi Shankar,/artist/kasturi-shankar,0.0,Kannada,2000-03-02,0.74,0.581,0.79,0.446,-10.246,0.09,140.495,1,7,0.0038,4,62,10432225,0,0,0,Happy
Avale Gunavathi,S. Janaki|P.B. Sreenivas,/artist/s-janaki|/artist/pb-sreenivas,0.0,Kannada,2000-03-03,0.03,0.002,1.0,0.154,-4.169,0.018,139.833,1,4,0.023,4,98,11273962,0,0,0,Energetic
Hrudayadalli Aase Moodi,Vani Jairam|S. P. Balasubrahmanyam,/artist/vani-jayaram|/artist/s-p-balasubrahamanyam,0.0,Kannada,2000-03-09,0.32,0.09,0.282,0.991,-3.456,0.048,190.006,1,9,0.0058,4,89,7376881,0,0,0,Sad
Yaarivanu,Hamsalekha Orchestra,/artist/hamsalekha-orchestra,0.0,Kannada,2000-03-10,0.77,0.109,0.688,0.673,-12.779,0.0,124.514,1,0,0.1,4,73,1187796,0,0,0,Happy
Yaarige Yaaruntu,Ghanatasala,/artist/ghanatasala,0.0,Kannada,2000-03-11,0.43,0.75,0.47,0.4,-12.02,0.0968,203.896,1,1,0.05,4,93,507924,0,0,0,Sad
Poojisilandhe,S. Janaki,/artist/s-janaki,0.0,Kannada,2000-03-11,0.86,0.63,0.008,0.53,-5.887,0.0135,120.022,1,9,0.0131,4,80,6470934,0,0,0,Sad
Bere Yenu Kaanenayya,B.Chennakeshava,/artist/bchennakeshava,0.0,Kannada,2000-03-12,0.17,0.77,0.982,0.51,-6.503,0.07,159.942,1,1,0.035,4,80,8557010,0,0,0,Energetic
