song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood
Mausam Mastana,Asha Bhosle|Dilraj Kaur,/artist/asha-bhosle-1|/artist/dilraj-kaur,0.0,Old,2000-01-02,0.8,0.15,0.076,0.649,-12.061,0.0026,128.015,1.0,7.0,0.0121,4.0,32.0,11119884.0,0,0,0,Sad
Aate Jate Khoobsurat Awara,Kishore Kumar,/artist/kishore-kumar,0.0,Old,2000-01-06,0.77,0.313,0.664,0.46,-13.897,0.0527,127.023,1.0,0.0,0.061,4.0,33.0,9780960.0,0,0,0,Happy
Chalo Ek Baar Phir Se,Mahendra Kapoor,/artist/mahendra-kapoor,0.0,Old,2000-02-03,0.5,0.13,0.169,0.262,-2.766,0.013,123.978,1.0,9.0,0.068,4.0,85.0,2853401.0,0,0,0,Sad
Mujhe Teri Mohabbat Ka Sahara,Lata Mangeshkar|Mohammed Rafi,/artist/lata-mangeshkar|/artist/mohammad-rafi,0.0,Old,2000-02-04,0.43,0.5,0.934,0.563,-13.658,0.05,125.003,1.0,11.0,0.093,4.0,79.0,7698245.0,0,0,0,Happy
Aashaon Ke Sawan Mein,Lata Mangeshkar|Mohammed Rafi,/artist/lata-mangeshkar|/artist/mohammad-rafi,0.0,Old,2000-02-05,0.39,0.985,0.772,0.563,-11.971,0.005,125.993,1.0,1.0,0.0966,4.0,100.0,3543982.0,0,0,0,Happy
Kabhi Kabhi Mere Dil Mein Dialogue,Amitabh Bachchan,/artist/amitabh-bachchan,0.0,Old,2000-02-05,0.23,0.6,0.141,0.378,-7.735,0.002,123.972,1.0,0.0,0.0524,4.0,70.0,6472416.0,0,0,0,Sad
Lag Ja Gale Se Phir,Lata Mangeshkar,/artist/lata-mangeshkar,0.0,Old,2000-02-07,0.1,0.388,0.617,0.498,-10.312,0.01,125.994,0.0,5.0,0.0,4.0,68.0,5111303.0,0,0,0,Sad
Dilbar Mere,Kishore Kumar|Anette,/artist/kishore-kumar|/artist/anette,0.0,Old,2000-02-07,0.64,0.2,0.149,0.809,-3.937,0.01,123.983,0.0,8.0,0.0906,4.0,40.0,7308613.0,0,0,0,Sad
Dil Deewano - Samir Date,Sameer Date,/artist/sameer-date,0.0,Old,2000-02-08,0.84,0.656,0.53,0.613,-6.189,0.01,124.99,1.0,8.0,0.0377,3.0,62.0,4976611.0,0,0,0,Happy
Tujhe Dekh Kar Jagwale,K J Yesudas,/artist/k-j-yesudas,0.0,Old,2000-02-09,0.24,0.91,0.89,0.124,-8.929,0.05,135.013,1.0,0.0,0.09,4.0,53.0,9245692.0,0,0,0,Energetic
