song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood
Jis Da Sahab Dadha Hoye,Bhai Avtar Singh Ji|Party,/artist/bhai-avtar-singh-ji|/artist/party,0.0,Punjabi,2000-01-06,1.0,0.126,0.433,0.985,-8.519,0.0176,93.023,1,1,0.0123,4,99,8194076,0,0,0,Sad
Bhaida Rabdi Laike Aaiya,Dilraj Kaur,/artist/dilraj-kaur,0.0,Punjabi,2000-01-08,0.23,0.827,0.927,0.173,-12.166,0.07,196.012,1,0,0.032,4,53,9558666,0,0,0,Energetic
Masteey Aa Jave Dil,Devender 'Billa',/artist/devender-billa,0.0,Punjabi,2000-01-08,0.64,0.9,0.677,0.435,-2.515,0.08,199.464,1,9,0.04,4,85,6770978,0,0,0,Energetic
Meri Suti Di,Asha Bhosle|Devki Anand,/artist/asha-bhosle-1|/artist/devki-anand,0.0,Punjabi,2000-01-10,0.97,0.11,0.519,0.29,-7.397,0.1,180.646,1,0,0.063,4,94,9566237,0,0,0,Happy
Mere Naina Sharabi,Priti Sagar,/artist/priti-sagar,0.0,Punjabi,2000-01-10,0.7,0.451,0.071,0.748,-8.005,0.09,163.935,0,11,0.08,4,42,3948033,0,0,0,Sad
Main Karm Heen,Bhai Harbans Singh Ji (Jagadhari Wale)|Chorus,/artist/bhai-harbans-singh-ji-jagadhari-wale|/artist/chorus,0.0,Punjabi,2000-02-04,0.19,0.03,0.038,0.88,-8.804,0.05,127.04,1,2,0.0605,4,62,3138511,0,0,0,Sad
Munde Coljaan De,Rajdeep Singh Sekhon,/artist/rajdeep-singh-sekhon,0.0,Punjabi,2000-02-06,0.88,0.13,0.824,0.084,-8.806,0.002,109.078,0,6,0.075,4,53,5880068,0,0,0,Happy
Re Man Ayso Kar Sanyasa,Asha Bhosle,/artist/asha-bhosle-1,0.0,Punjabi,2000-02-06,0.66,0.54,0.75,0.62,-7.532,0.06,143.949,1,1,0.0305,4,82,10824123,0,0,0,Happy
Manke Manke Manke Ni Baliye,Ranjit Kaur|Mohd. Siddique,/artist/ranjit-kaur|/artist/mohd-siddique-1,0.0,Punjabi,2000-02-06,0.92,0.894,0.047,0.307,-11.715,0.0,75.016,0,1,0.079,4,43,10700222,0,0,0,Sad
Hind Wasio Rakhna Yaad,Mahendra Kapoor,/artist/mahendra-kapoor,0.0,Punjabi,2000-02-07,0.19,0.52,0.653,0.476,-11.491,0.05,196.082,0,10,0.05,4,28,2954138,0,0,0,Sad
Tu Rehnda Petrol Pump Te,Lakhi Banjara|Usha Kiran,/artist/lakhi-banjara|/artist/usha-kiran,0.0,Punjabi,2000-02-08,0.82,0.448,0.098,0.5,-8.356,0.058,153.157,0,0,0.068,4,30,5583566,0,0,0,Sad
We Main Pyar Tere,Nahid Akhtar,/artist/nahid-akhtar,0.0,Punjabi,2000-02-11,0.87,0.79,0.781,0.739,-9.644,0.0294,128.008,1,5,0.062,4,75,507558,0,0,0,Happy
Men Thal Wich,Reshman,/artist/reshman,0.0,Punjabi,2000-02-11,0.35,0.534,0.825,0.177,-12.647,0.05,184.462,1,2,0.053,4,57,8285049,0,0,0,Happy
Kurhi Title De Wargi,Faqir Singh Faqir|Narinder Biba|Ranbir Singh Rana,/artist/faqir-singh-faqir|/artist/narinder-biba|/artist/ranbir-singh-rana,0.0,Punjabi,2000-03-03,0.94,0.28,0.885,0.96,-8.909,0.0,92.064,1,8,0.0126,4,65,10006035,0,0,0,Happy
