song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood
Vanitha Thanantaka,P Leela,/artist/p-leela,0.0,Telugu,2000-01-03,0.02,0.699,0.822,0.213,-13.758,0.01,139.993,0,4,0.05,4,100,2130453,0,0,0,Happy
Oh Tell Me Tell Me,S. Janaki|S. P. Balasubrahmanyam,/artist/s-janaki|/artist/s-p-balasubrahamanyam,0.0,Telugu,2000-01-09,0.57,0.76,0.194,0.651,-3.717,0.019,174.016,1,1,0.061,4,70,10143979,0,0,0,Sad
Choodara,S. Janaki|S. P. Balasubrahmanyam,/artist/s-janaki|/artist/s-p-balasubrahamanyam,0.0,Telugu,2000-01-09,0.05,0.596,0.746,0.915,-9.298,0.075,150.11,0,5,0.01,4,35,10724619,0,0,0,Happy
Sri Vidhyam,Ghanatasala,/artist/ghanatasala,0.0,Telugu,2000-01-09,0.7,0.822,0.731,0.581,-10.789,0.07,145.005,1,4,0.0761,4,45,4144032,0,0,0,Happy
Neevu Naa Pakkanunte,Vani Jairam|K J Yesudas,/artist/vani-jayaram|/artist/k-j-yesudas,0.0,Telugu,2000-01-10,0.25,0.6,0.902,0.33,-11.095,0.0488,145.174,1,11,0.07,4,35,8448127,0,0,0,Energetic
Sivagovinda,Madhavapeddi Satyam|Udatha Sarojini,/artist/madhavapeddi-satyam|/artist/udatha-sarojini-6,0.0,Telugu,2000-01-10,0.27,0.25,0.543,0.525,-10.979,0.02,149.898,1,11,0.0253,4,58,2945588,0,0,0,Sad
Sabarigiri Nilaya,G. Anand,/artist/g-anand-1,0.0,Telugu,2000-01-11,0.23,0.18,0.11,0.254,-9.896,0.0548,174.071,1,8,0.07,4,82,3049759,0,0,0,Sad
Title Music Of Pandava Vanavaasam,Ghanatasala,/artist/ghanatasala,0.0,Telugu,2000-02-01,0.48,0.43,0.95,0.638,-7.407,0.03,150.006,1,11,0.1,4,84,6899105,0,0,0,Happy
Vachhe Vachhe,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,0.0,Telugu,2000-02-06,0.7,0.25,0.816,0.291,-4.601,0.035,140.057,1,1,0.0948,4,34,10372741,0,0,0,Energetic
Nachina Fooddu,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Telugu,2000-02-07,0.2,0.352,0.398,0.638,-2.717,0.0,149.969,1,1,0.0961,4,90,1241408,0,0,0,Sad
