song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood
Peace Aftar War,Karim Shahab ud Din,/artist/karim-shahab-ud-din,0.0,Urdu,2000-01-01,0.76,0.87,0.9,0.03,-7.218,0.04,150.015,0,9,0.0,4,58,1894818,0,0,0,Happy
Sab Kuchh Kaisa Achcha Lagta Tha,Ghulam Ali,/artist/ghulam-ali,0.0,Urdu,2000-01-01,0.72,0.75,0.7,0.24,-6.934,0.0708,135.064,1,8,0.04,4,34,5563527,0,0,0,Energetic
Juda Hoke Mujhse,Zubaida Khanum,/artist/zubaida-khanum,0.0,Urdu,2000-01-07,0.32,0.594,0.618,0.392,-8.477,0.0972,120.16,0,1,0.061,4,66,2364991,0,0,0,Sad
Phir Dard Utha Dil Men,Sumita Chakraborty,/artist/sumita-chakraborty,0.0,Urdu,2000-01-07,0.89,0.874,0.054,0.187,-5.579,0.001,152.891,1,2,0.05,4,54,6641918,0,0,0,Sad
Koi Haseen Nigahen,Sabri Brothers,/artist/sabri-brothers,0.0,Urdu,2000-01-10,0.52,0.61,0.7,0.48,-12.071,0.093,180.122,0,11,0.0634,4,73,7539585,0,0,0,Happy
Akhan Cham Cham,Tina Sani,/artist/tina-sani,0.0,Urdu,2000-02-03,0.98,0.74,0.5,0.34,-3.15,0.01,133.003,0,6,0.0115,4,43,9946841,0,0,0,Sad
Woh Shahe Madina Peada,Farhat Shuja,/artist/farhat-shuja,0.0,Urdu,2000-02-05,0.01,0.249,0.311,0.108,-8.457,0.04,139.815,0,2,0.048,4,64,3705200,0,0,0,Sad
Koi Samjhaye Yeh Kya,Ghulam Ali,/artist/ghulam-ali,0.0,Urdu,2000-02-06,0.09,0.43,0.9,0.89,-10.176,0.08,124.012,1,7,0.0,4,63,7626105,0,0,0,Energetic
Chand Taare Yunhi,Munni Begum,/artist/munni-begum,0.0,Urdu,2000-02-08,0.26,0.076,0.719,0.157,-2.295,0.0862,172.206,0,7,0.0236,4,71,2666905,0,0,0,Energetic
Chupke Chupke Raat Din,Ghulam Ali,/artist/ghulam-ali,0.0,Urdu,2000-03-07,0.73,0.84,0.0,0.81,-7.534,0.0225,129.85,0,4,0.0,4,71,3520360,0,0,0,Sad
