song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood,spotify_id,spotify_url
Ninna Ninna Snehaka,Dr. Rajkumar|P Suhseela,/artist/dr-rajkumar-1|/artist/p-suhseela,0.0,Kannada,2000-01-02,0.7,0.96,0.684,0.9,-9.136,0.0807,155.784,1,0,0.0042,4,35,3137880,0,0,0,Happy,5Ol3eISL6Kl88AsmjFe1Dq,https://open.spotify.com/track/5Ol3eISL6Kl88AsmjFe1Dq
Basavannana Bhakthi,Ramya Vasista,/artist/ramya-vasista,0.0,Kannada,2000-01-09,0.83,0.67,0.695,0.4,-13.367,0.05,150.216,0,10,0.0097,4,96,4737645,0,0,0,Happy,6hq5H9t7c4phAHa6HloUsX,https://open.spotify.com/track/6hq5H9t7c4phAHa6HloUsX
Baaramma Kamadhenu,P. Susheela,/artist/p-suseela-2,0.0,Kannada,2000-02-02,0.8,0.83,0.265,0.36,-13.319,0.097,191.188,1,5,0.02,4,45,6768089,0,0,0,Sad,2hIGNYpqwNCjvVxCESzgTw,https://open.spotify.com/track/2hIGNYpqwNCjvVxCESzgTw
Balukaado Bangaari,S. P. Balasubrahmanyam|Vani Jairam,/artist/s-p-balasubrahamanyam|/artist/vani-jayaram,0.0,Kannada,2000-02-07,0.89,0.44,0.306,0.7,-8.445,0.063,125.01,1,1,0.09,4,66,6825190,0,0,0,Sad,0lNNHQa1BstL7OsSvyguSJ,https://open.spotify.com/track/0lNNHQa1BstL7OsSvyguSJ
Ee Gejjeya Naada,Kasturi Shankar,/artist/kasturi-shankar,0.0,Kannada,2000-03-02,0.74,0.581,0.79,0.446,-10.246,0.09,140.495,1,7,0.0038,4,62,10432225,0,0,0,Happy,0LiskxOAxYNxM5vwvRdyEP,https://open.spotify.com/track/0LiskxOAxYNxM5vwvRdyEP
Yaarivanu,Hamsalekha Orchestra,/artist/hamsalekha-orchestra,0.0,Kannada,2000-03-10,0.77,0.109,0.688,0.673,-12.779,0.0,124.514,1,0,0.1,4,73,1187796,0,0,0,Happy,6Ncs8lrDidFqNVloDXjjxp,https://open.spotify.com/track/6Ncs8lrDidFqNVloDXjjxp
Bere Yenu Kaanenayya,B.Chennakeshava,/artist/bchennakeshava,0.0,Kannada,2000-03-12,0.17,0.77,0.982,0.51,-6.503,0.07,159.942,1,1,0.035,4,80,8557010,0,0,0,Energetic,5gUR2RMqFgzkGL4ZE1E4zh,https://open.spotify.com/track/5gUR2RMqFgzkGL4ZE1E4zh
Mayooradhi Roodham,M.S. Sheela,/artist/ms-sheela,0.0,Kannada,2000-04-06,0.91,0.56,0.652,0.25,-12.895,0.0064,152.744,0,3,0.061,4,46,2591848,0,0,0,Sad,0R3BEZB3kcxaax7C1cUMkK,https://open.spotify.com/track/0R3BEZB3kcxaax7C1cUMkK
Kannu Nooru Saaladu,Kadri Gopalnath,/artist/kadri-gopalnath,0.0,Kannada,2000-04-07,0.86,0.85,0.864,0.4,-8.063,0.044,120.229,1,2,0.041,4,45,4135322,0,0,0,Happy,54990RINnN1tsY4w6kU0lg,https://open.spotify.com/track/54990RINnN1tsY4w6kU0lg
Baa Thande Nammappane,Narasimha Naik|B.R.Chaya|Kusuma,/artist/narasimha-naik|/artist/brchaya|/artist/kusuma,0.0,Kannada,2000-05-03,0.38,0.728,0.443,0.015,-12.477,0.09,143.928,1,6,0.0537,4,29,6517992,0,0,0,Sad,2qLCIeKD5DIOQ5TDzgdjRd,https://open.spotify.com/track/2qLCIeKD5DIOQ5TDzgdjRd
Nambidhe Ninna Naada Devatheye (Male),M. Balamuralikrishna,/artist/m-balamuralikrishna-1,0.0,Kannada,2000-05-05,0.32,0.602,0.674,0.618,-2.746,0.0055,169.65,0,10,0.1,4,53,425482,0,0,0,Energetic,39KS96tkCoJMz9P5m1ZqHT,https://open.spotify.com/track/39KS96tkCoJMz9P5m1ZqHT
O Nama Bharada,P. Susheela,/artist/p-suseela-2,0.0,Kannada,2000-05-12,0.5,0.771,0.099,0.061,-5.646,0.08,204.058,0,9,0.012,4,66,6684968,0,0,0,Sad,5GAtGha4Y0zs1Tmp2MnQih,https://open.spotify.com/track/5GAtGha4Y0zs1Tmp2MnQih
O Mavana Magale Idhe Nota,P. Susheela|S. P. Balasubrahmanyam,/artist/p-suseela-2|/artist/s-p-balasubrahamanyam,0.0,Kannada,2000-06-04,0.51,0.731,0.529,0.36,-11.453,0.0323,140.021,1,8,0.0378,4,40,6315431,0,0,0,Sad,73TIZrZ1TbCDXOgHqqZeCX,https://open.spotify.com/track/73TIZrZ1TbCDXOgHqqZeCX
Naane Raaja Yee Voorige,Sowmitri|L.R. Anjali,/artist/sowmitri|/artist/lr-anjali,0.0,Kannada,2000-06-05,0.33,0.86,0.993,0.1,-11.897,0.03,144.939,1,1,0.08,4,39,10084655,0,0,0,Energetic,7AxzDUsXFn94z3vUHPPpjp,https://open.spotify.com/track/7AxzDUsXFn94z3vUHPPpjp
Nammoore Chenda Nammavare Andha,Nagendrappa,/artist/nagendrappa,0.0,Kannada,2000-06-09,0.77,0.89,0.002,0.38,-13.936,0.051,156.124,1,2,0.06,4,88,1105437,0,0,0,Sad,2OcM36dIBtHMeMcH5UvHeD,https://open.spotify.com/track/2OcM36dIBtHMeMcH5UvHeD
Sigadhanna,P.B. Sreenivas,/artist/pb-sreenivas,0.0,Kannada,2000-07-06,0.26,0.638,0.323,0.831,-3.426,0.0473,184.725,1,1,0.0551,4,28,7061015,0,0,0,Sad,6SdWiV6yZ1pDdjMgRqIc9F,https://open.spotify.com/track/6SdWiV6yZ1pDdjMgRqIc9F
