song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood,spotify_id,spotify_url
Vanitha Thanantaka,P Leela,/artist/p-leela,0.0,Telugu,2000-01-03,0.02,0.699,0.822,0.213,-13.758,0.01,139.993,0,4,0.05,4,100,2130453,0,0,0,Happy,1yrgUddkFjirp1vF8CevK5,https://open.spotify.com/track/1yrgUddkFjirp1vF8CevK5
Sri Vidhyam,Ghanatasala,/artist/ghanatasala,0.0,Telugu,2000-01-09,0.7,0.822,0.731,0.581,-10.789,0.07,145.005,1,4,0.0761,4,45,4144032,0,0,0,Happy,00W6tPK3oI4xO3QDeNyVgw,https://open.spotify.com/track/00W6tPK3oI4xO3QDeNyVgw
Sabarigiri Nilaya,G. Anand,/artist/g-anand-1,0.0,Telugu,2000-01-11,0.23,0.18,0.11,0.254,-9.896,0.0548,174.071,1,8,0.07,4,82,3049759,0,0,0,Sad,29lJgXWNUG0hoB2yeDIUBX,https://open.spotify.com/track/29lJgXWNUG0hoB2yeDIUBX
Nachina Fooddu,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Telugu,2000-02-07,0.2,0.352,0.398,0.638,-2.717,0.0,149.969,1,1,0.0961,4,90,1241408,0,0,0,Sad,69rCzB5yGy7GEGoqicVh2v,https://open.spotify.com/track/69rCzB5yGy7GEGoqicVh2v
Gandara Ganda,P. Susheela|L.R. Eswari,/artist/p-suseela-2|/artist/lr-eswari-2,0.0,Telugu,2000-03-06,0.17,0.451,0.208,0.807,-7.61,0.08,175.899,1,2,0.078,4,32,6052365,0,0,0,Sad,34egqqZeTEDdtFSRDxf1B5,https://open.spotify.com/track/34egqqZeTEDdtFSRDxf1B5
Kasturi Ranga,Ghanatasala,/artist/ghanatasala,0.0,Telugu,2000-03-12,0.95,0.968,0.68,0.162,-11.447,0.022,144.818,0,10,0.032,4,29,961131,0,0,0,Sad,6sEG0Gj4M79nXbz2uD8l2D,https://open.spotify.com/track/6sEG0Gj4M79nXbz2uD8l2D
Ranga Panduranga,K J Yesudas,/artist/k-j-yesudas,0.0,Telugu,2000-04-02,0.95,0.542,0.054,0.656,-6.174,0.0933,174.037,0,8,0.0148,4,48,6620260,0,0,0,Sad,6w0Cia4d3qR2Nb1tcdV4cR,https://open.spotify.com/track/6w0Cia4d3qR2Nb1tcdV4cR
Thodu Needa,P. Susheela,/artist/p-suseela-2,0.0,Telugu,2000-04-12,0.85,0.09,0.086,0.118,-3.586,0.0962,152.062,1,9,0.091,4,52,10556960,0,0,0,Sad,1fV1sRrKGnpLtzdM0EXf1l,https://open.spotify.com/track/1fV1sRrKGnpLtzdM0EXf1l
Yedo Raagam,S. Janaki,/artist/s-janaki,0.0,Telugu,2000-05-08,0.07,0.412,0.891,0.157,-3.242,0.04,136.464,0,9,0.07,4,33,1886696,0,0,0,Energetic,7IbXtK6bf0gtH2T4QaE5XD,https://open.spotify.com/track/7IbXtK6bf0gtH2T4QaE5XD
Nagarjuna Kondasilpa Pradarsanasala,Ghanatasala|Chorus,/artist/ghanatasala|/artist/chorus,0.0,Telugu,2000-05-09,0.03,0.746,0.73,0.81,-11.17,0.06,150.046,1,6,0.0071,4,47,6795498,0,0,0,Energetic,7ehpYVSiKTuszz5f3zRkHi,https://open.spotify.com/track/7ehpYVSiKTuszz5f3zRkHi
Ayyayo Chetilo Dabbulu,N. Suryaprakash|N.S. Prakash Rao|K. Muralidhar,/artist/n-suryaprakash-1|/artist/ns-prakash-rao|/artist/k-muralidhar-3,0.0,Telugu,2000-05-11,0.01,0.71,0.367,0.92,-7.267,0.0349,150.052,1,11,0.0732,4,89,3947066,0,0,0,Sad,1czrjBn1bdacy6tfuBQx4R,https://open.spotify.com/track/1czrjBn1bdacy6tfuBQx4R
Mayadari Sachchinollu,Ramesh|S. P. Balasubrahmanyam,/artist/ramesh|/artist/s-p-balasubrahamanyam,0.0,Telugu,2000-06-05,0.26,0.66,0.792,0.288,-7.412,0.07,173.908,0,7,0.059,4,73,8769764,0,0,0,Happy,5WHj4ZwvuEfrdvasEcDMzW,https://open.spotify.com/track/5WHj4ZwvuEfrdvasEcDMzW
Ramudu Rajaina,S. P. Balasubrahmanyam|Chorus,/artist/s-p-balasubrahamanyam|/artist/chorus,0.0,Telugu,2000-06-08,0.72,0.74,0.818,0.282,-8.691,0.0347,173.96,0,5,0.038,4,59,4361100,0,0,0,Happy,3VSZm9MaHXQXixpckXlpoQ,https://open.spotify.com/track/3VSZm9MaHXQXixpckXlpoQ
Thapamu Phalinchina,Ghanatasala,/artist/ghanatasala,0.0,Telugu,2000-07-04,0.89,0.39,0.016,0.933,-7.41,0.034,146.928,0,11,0.049,4,85,2913899,0,0,0,Sad,22AIZUZdwkVwVXxR56Hbzo,https://open.spotify.com/track/22AIZUZdwkVwVXxR56Hbzo
Naa Jeevithamu,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,0.0,Telugu,2000-08-02,0.31,0.197,0.043,0.945,-9.083,0.09,173.999,1,7,0.04,4,52,3312288,0,0,0,Sad,2O9zyYQR7iPf0afjXSkSQC,https://open.spotify.com/track/2O9zyYQR7iPf0afjXSkSQC
Thoduga Neevunte,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,0.0,Telugu,2000-08-04,0.86,0.91,0.838,0.299,-4.626,0.1,174.986,0,9,0.011,4,68,138883,0,0,0,Energetic,5QFxNEwwavWuRNratP6AKJ,https://open.spotify.com/track/5QFxNEwwavWuRNratP6AKJ
Kattukathalu Cheeppi,S. Janaki|S. P. Balasubrahmanyam,/artist/s-janaki|/artist/s-p-balasubrahamanyam,0.0,Telugu,2000-08-11,0.65,0.93,0.257,0.644,-10.217,0.017,139.982,1,1,0.095,4,53,6164149,0,0,0,Sad,0SfayHPf5tpIK8I6fZ6NGi,https://open.spotify.com/track/0SfayHPf5tpIK8I6fZ6NGi
O Vennelachinnela,Ghanatasala|P Suhseela,/artist/ghanatasala|/artist/p-suhseela,0.0,Telugu,2000-09-03,0.41,0.449,0.196,0.276,-3.105,0.0394,173.97,0,10,0.0368,4,96,1689281,0,0,0,Sad,3qCIhPk0bTaFFnBAzU91M8,https://open.spotify.com/track/3qCIhPk0bTaFFnBAzU91M8
Kadupaara Kanipenchina,Mano|S. Janaki,/artist/mano|/artist/s-janaki,0.0,Telugu,2000-09-05,0.5,0.84,0.676,0.307,-2.5,0.1,149.865,0,10,0.0761,4,88,10225055,0,0,0,Energetic,0Dz1Cd1tDztil1789hKCxe,https://open.spotify.com/track/0Dz1Cd1tDztil1789hKCxe
Sankara Nada Sareera,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Telugu,2000-09-08,0.25,0.74,0.64,0.875,-8.691,0.07,144.714,1,6,0.04,4,83,9484434,0,0,0,Happy,79XmGvaY3kSIyUGySpTwIm,https://open.spotify.com/track/79XmGvaY3kSIyUGySpTwIm
Naa Madi Ninnu,Mohammed Rafi|S. Janaki,/artist/mohammad-rafi|/artist/s-janaki,0.0,Telugu,2000-09-12,0.95,0.92,0.769,0.374,-13.403,0.0176,144.93,1,5,0.047,4,26,9798135,0,0,0,Happy,1TYu32q8jm7GmqcI38IGna,https://open.spotify.com/track/1TYu32q8jm7GmqcI38IGna
Andaraani Chandamama,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,0.0,Telugu,2000-10-07,0.44,0.877,0.507,0.923,-4.732,0.023,150.052,1,11,0.0154,4,98,3472851,0,0,0,Sad,02GwOCZewbEXIQjBCWOFPq,https://open.spotify.com/track/02GwOCZewbEXIQjBCWOFPq
Mangachap Mangachap,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,0.0,Telugu,2000-10-09,0.1,0.997,0.298,0.755,-5.25,0.03,150.071,0,8,0.1,4,84,5151366,0,0,0,Sad,5ZULu0DP8GreOhEsfmtdpZ,https://open.spotify.com/track/5ZULu0DP8GreOhEsfmtdpZ
Manuvadina Madana,K. S. Chithra|S. P. Balasubrahmanyam,/artist/chitra|/artist/s-p-balasubrahamanyam,0.0,Telugu,2000-11-12,1.0,0.93,0.133,0.329,-12.707,0.055,144.901,1,0,0.08,4,86,834154,0,0,0,Sad,35QVSh2crTcQgqJu0Yc4Wu,https://open.spotify.com/track/35QVSh2crTcQgqJu0Yc4Wu
Mabbe Masagesindile,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Telugu,2000-12-07,0.22,0.03,0.094,0.967,-8.008,0.1,149.078,1,1,0.0526,4,29,4272630,0,0,0,Sad,43L9bzpqKmLjhyARsIJkVd,https://open.spotify.com/track/43L9bzpqKmLjhyARsIJkVd
Parama Snehamunenchi,V. Ramakrishna,/artist/v-ramakrishna-2,0.0,Telugu,2001-01-02,0.07,0.908,0.093,0.92,-5.089,0.09,174.029,1,1,0.0765,4,50,7586723,0,0,0,Sad,0JvWhQsTTQYIuE64Ao1jBZ,https://open.spotify.com/track/0JvWhQsTTQYIuE64Ao1jBZ
Mooshikavahanam,K. Veermani,/artist/k-veermani-1,0.0,Telugu,2001-01-02,0.83,0.574,0.056,0.55,-13.223,0.05,173.99,0,5,0.0205,4,58,7255485,0,0,0,Sad,6uitQlsQ3mIDNOJSpRlGZ0,https://open.spotify.com/track/6uitQlsQ3mIDNOJSpRlGZ0
Chitram Bhalare,P. Susheela|S. P. Balasubrahmanyam,/artist/p-suseela-2|/artist/s-p-balasubrahamanyam,0.0,Telugu,2001-01-03,0.93,0.354,0.035,0.155,-12.171,0.08,150.006,0,11,0.0302,4,75,5575050,0,0,0,Sad,0W2dlWo6vKv2vBeVt8zWHo,https://open.spotify.com/track/0W2dlWo6vKv2vBeVt8zWHo
Nee Madhi Challagaa,P. Susheela,/artist/p-suseela-2,0.0,Telugu,2001-01-04,0.18,0.05,0.378,0.007,-9.166,0.0888,145.036,1,11,0.0045,4,79,7991544,0,0,0,Sad,1F7qGFfcJseJdmnBrIKpjt,https://open.spotify.com/track/1F7qGFfcJseJdmnBrIKpjt
Ye Theega Poovuno,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Telugu,2001-01-08,0.03,0.926,0.21,0.647,-4.64,0.02,149.984,1,6,0.077,4,56,5510785,0,0,0,Sad,6yZKnO8YmjyqFXfmFDPicB,https://open.spotify.com/track/6yZKnO8YmjyqFXfmFDPicB
Story Dialogues And Songs - Part 1,N. T. Rama Rao|Savitri|Akkineni Nageswara Rao,/artist/n-t-rama-rao-1|/artist/savitri|/artist/akkineni-nageswara-rao,0.0,Telugu,2001-01-09,0.01,0.76,0.693,0.171,-2.979,0.079,145.043,1,6,0.0661,4,34,9369812,0,0,0,Energetic,3rYL73E7NsnIzivQ2Vdh6u,https://open.spotify.com/track/3rYL73E7NsnIzivQ2Vdh6u
Nenoka Sindhu,P. Susheela,/artist/p-suseela-2,0.0,Telugu,2001-01-11,0.42,0.47,0.883,0.951,-4.083,0.056,142.013,1,1,0.0055,4,87,7471147,0,0,0,Energetic,6QLguy4qzoiKKkdJ2r1EtJ,https://open.spotify.com/track/6QLguy4qzoiKKkdJ2r1EtJ
Ninnu Choosthe,Pithapuram Nageswara Rao|Swarnalatha,/artist/pithapuram-nageswara-rao|/artist/swarnalatha,0.0,Telugu,2001-02-02,0.59,0.27,0.382,0.959,-11.489,0.1,174.023,1,1,0.027,4,78,5809558,0,0,0,Sad,2lBC6Lo53yNzf8PimvIbXr,https://open.spotify.com/track/2lBC6Lo53yNzf8PimvIbXr
Padhyams,Ghanatasala|Madhavapeddi Satyam,/artist/ghanatasala|/artist/madhavapeddi-satyam,0.0,Telugu,2001-02-04,0.95,0.589,0.544,0.995,-12.348,0.0813,150.035,0,6,0.0465,4,33,2774841,0,0,0,Sad,5NnwOEgHKNNjC3dFyG6iyv,https://open.spotify.com/track/5NnwOEgHKNNjC3dFyG6iyv
Puvvula Nadugu,G. Anand|P. Susheela,/artist/g-anand-1|/artist/p-suseela-2,0.0,Telugu,2001-02-06,0.79,0.34,0.957,0.5,-5.402,0.06,149.996,1,4,0.06,4,34,7953255,0,0,0,Energetic,4LcGMYLSFbgD0CROkA5UGM,https://open.spotify.com/track/4LcGMYLSFbgD0CROkA5UGM
Rajahmundry Chinnadani,Vani Jairam,/artist/vani-jayaram,0.0,Telugu,2001-02-08,0.08,0.802,0.403,0.355,-3.942,0.01,172.015,0,4,0.0526,4,46,5426802,0,0,0,Sad,08xEPghbOHLrJzrPWYjmwg,https://open.spotify.com/track/08xEPghbOHLrJzrPWYjmwg
Thali Kattu.,K. Muralidhar,/artist/k-muralidhar-6,0.0,Telugu,2001-02-09,0.12,0.488,0.039,0.291,-5.434,0.011,146.926,1,2,0.02,4,95,6418205,0,0,0,Sad,3IbAqA25koJ77riNp56ECh,https://open.spotify.com/track/3IbAqA25koJ77riNp56ECh
Deva Papini,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Telugu,2001-02-11,0.92,0.66,0.412,0.7,-12.653,0.0087,159.837,0,1,0.1,4,68,1088591,0,0,0,Sad,2Y4zlB8PJ88KHCdi5oN990,https://open.spotify.com/track/2Y4zlB8PJ88KHCdi5oN990
Paruvama,S. Janaki|S. P. Balasubrahmanyam,/artist/s-janaki|/artist/s-p-balasubrahamanyam,0.0,Telugu,2001-02-12,0.76,0.07,0.386,0.133,-11.658,0.0913,150.077,0,5,0.068,4,73,6186679,0,0,0,Sad,1shy8o7Ub3eFMKFTy1YuAv,https://open.spotify.com/track/1shy8o7Ub3eFMKFTy1YuAv
Variety Variety,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Telugu,2001-03-01,0.87,0.465,0.63,0.443,-6.215,0.0429,145.021,1,2,0.077,4,49,9453454,0,0,0,Happy,33pINUEG422RmIpGCfzchK,https://open.spotify.com/track/33pINUEG422RmIpGCfzchK
Eevela Naalo,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,0.0,Telugu,2001-03-04,0.25,0.2,0.4,0.76,-7.614,0.0353,139.943,0,5,0.094,4,44,11132922,0,0,0,Sad,7ezht4f4eZi1xfmsyk2N1N,https://open.spotify.com/track/7ezht4f4eZi1xfmsyk2N1N
Poonindiro Polerama,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,0.0,Telugu,2001-03-05,0.5,0.74,0.92,0.241,-8.071,0.0128,173.97,0,4,0.0992,4,80,6184425,0,0,0,Happy,3uHzOJafeqc4RXKj4u7y5m,https://open.spotify.com/track/3uHzOJafeqc4RXKj4u7y5m
Krishna Premamaya,Ghanatasala|P Suhseela,/artist/ghanatasala|/artist/p-suhseela,0.0,Telugu,2001-03-10,0.22,0.899,0.274,0.242,-6.328,0.035,173.972,1,0,0.075,4,51,406919,0,0,0,Sad,3NVSHFKnsSL0wxrgU9QqKo,https://open.spotify.com/track/3NVSHFKnsSL0wxrgU9QqKo
Muthyala Bommaku,P. Susheela|Kousalya,/artist/p-suseela-2|/artist/kousalya,0.0,Telugu,2001-04-01,0.34,0.19,0.488,0.863,-7.017,0.078,173.987,1,5,0.003,4,54,8100252,0,0,0,Sad,3Fg8B9zkq8JKqsk3RG7EuC,https://open.spotify.com/track/3Fg8B9zkq8JKqsk3RG7EuC
Nenu Neekai Puttinanani,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,0.0,Telugu,2001-04-04,0.97,0.456,0.711,0.244,-5.677,0.09,144.004,1,11,0.0061,4,57,7844236,0,0,0,Energetic,2WF1DXJfLEU1UENOvJMQzz,https://open.spotify.com/track/2WF1DXJfLEU1UENOvJMQzz
Vu Anna Aa Annaa,K J Yesudas|P. Susheela,/artist/k-j-yesudas|/artist/p-suseela-2,0.0,Telugu,2001-04-06,0.32,0.94,0.494,0.256,-6.414,0.091,150.015,0,4,0.05,4,66,10710813,0,0,0,Sad,76QmcHPxWaSFGJZZ2U2nNC,https://open.spotify.com/track/76QmcHPxWaSFGJZZ2U2nNC
Challagaali Veestundhi,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,0.0,Telugu,2001-04-08,0.69,0.921,0.229,0.85,-6.523,0.1,155.012,1,8,0.094,4,42,900726,0,0,0,Sad,3i6CxhXC9rftwGZ6iG23s5,https://open.spotify.com/track/3i6CxhXC9rftwGZ6iG23s5
Chakkani Vadhinaku,P. Susheela|B. Vasantha,/artist/p-suseela-2|/artist/b-vasantha-1,0.0,Telugu,2001-04-11,0.9,0.32,0.829,0.814,-13.34,0.0071,173.993,0,10,0.0933,4,39,1132648,0,0,0,Happy,0hZOkCNq1Pxi8rW99d01FE,https://open.spotify.com/track/0hZOkCNq1Pxi8rW99d01FE
Ee Lokamu Maha Mosamu,Ghanatasala,/artist/ghanatasala,0.0,Telugu,2001-05-03,0.04,0.688,0.325,0.569,-12.14,0.07,152.589,1,1,0.016,4,39,8609331,0,0,0,Sad,5NnwOEgHKNNjC3dFyG6iyv,https://open.spotify.com/track/5NnwOEgHKNNjC3dFyG6iyv
Nirisindi Taara,S. Janaki,/artist/s-janaki,0.0,Telugu,2001-05-05,0.02,0.03,0.86,0.61,-4.734,0.061,150.062,1,1,0.0934,4,27,5684629,0,0,0,Energetic,1KF5uvaddD7k6cVzxn5oWH,https://open.spotify.com/track/1KF5uvaddD7k6cVzxn5oWH
Cheekati Velugula Rangeli,Ghanatasala|P. Susheela,/artist/ghanatasala|/artist/p-suseela-2,0.0,Telugu,2001-05-06,0.58,0.311,0.575,0.671,-5.505,0.0,150.067,1,2,0.0212,4,89,8823142,0,0,0,Sad,39VJDMMikHgF0lu40l7k50,https://open.spotify.com/track/39VJDMMikHgF0lu40l7k50
Ramachilaka,P. Susheela|S. P. Balasubrahmanyam,/artist/p-suseela-2|/artist/s-p-balasubrahamanyam,0.0,Telugu,2001-05-11,0.68,0.628,0.14,0.347,-3.029,0.0028,149.932,1,1,0.0,4,72,5554344,0,0,0,Sad,7ddm2s9ap9b91mkFZh7MSb,https://open.spotify.com/track/7ddm2s9ap9b91mkFZh7MSb
