Spotify ID,Title,Artist,Album,Release Date
3MW5mjSxqAxIZ6QYX4F8Pf,2019 KANNADA MOTIVATIONAL SONG,PRADDYOTTAN,2019 KANNADA MOTIVATIONAL SONG,2019-06-13
2VUSjmdDCkgGywva56hmr6,Kannada Kula Koti,"Sangameshwara Patila Kalaburgi, Prabhu Channabasava Swamiji Athani",Navelru Half Boiled (Original Motion Picture Soundtrack),2019-11-10
6Y048EV178sTDIJCkogF46,Jaya Hai Kannada Thaye,"Ricky Kej, M. D. Pallavi, Vijay Prakash",Jaya Hai Kannada Thaye,2019-10-31
1ytmXPkreudXoBWIFV7df1,Hands Up,"B. Ajaneesh Loknath, Nagarjun Sharma, Vijay Prakash, Shashank Sheshagiri, Pancham Jeeva, Chethan Naik",Avane Srimannarayana (Kannada) (Original Motion Picture Soundtrack),2019-12-12
1olY0YxlVoIIjiE3QaQK8V,Jaya Hai Kannada Thaye,"Ricky Kej, M. D. Pallavi, Vijay Prakash",Ricky Kej - the Definitive Collection,2019-09-06
3ImZrftTf3lUi6c2ND8yjq,SEXY Kannada Pop/Rap Song,"Shrenik, Rahul Dit-O",SEXY Kannada Pop/Rap Song,2019-02-16
4NRDL81FmDjSCfzykkEyKo,"Kele Cheluve (From ""Rangitaranga"")","Vijay Prakash, Anup Bhandari, Deepika",Vijay Prakash Kannada Hit Songs,2019-05-16
2VK90HdHZLc9NgBLOgIilC,"Naanu Kannadada Kanda (From ""A.K.47"")",K. J. Yesudas,Classcial Meldoies - K. J. Yesudas,2019-01-08
5lBqacJ78FHYvEqDEywkIL,"Sanje Hothu (From ""Tarak"")","Vijay Prakash, Indu Nagaraj",Vijay Prakash Kannada Hit Songs,2019-05-16
6pnTtYW7Vp8rdjo3sWtIrU,"Kannadave Nammamma (From ""Mojugaara Sogasugaara"")",Vishnuvardhan,Hamsalekha Birthday Special Super Hit Songs 2019,2019-06-22
1Fejrbd6wjCQNSok1gbc9d,"Mangalyam Thanthunanena (From ""Seetharama Kalyana"")",Vijay Prakash,Vijay Prakash Kannada Hit Songs,2019-05-16
3I82XkGWrikzuRgoGiS1B5,Ducati Kannada Song,KrAzzy,Ducati Kannada Song,2019-07-21
1u0lAeIcp7UUqQgEdEXW1j,"Ondanondu Oorali (From ""Bangara So Bangaradha Manushya"")",Vijay Prakash,Vijay Prakash Kannada Hit Songs,2019-05-16
4MYM3eti1fpneG9cdG70UY,Narayana Narayana,"Nagarjun Sharma, Anurag Kulkarni, Ananya Bhat, Charanraj MR",Avane Srimannarayana (Kannada) (Original Motion Picture Soundtrack),2019-12-12
4gmyYmL2DvxuZQBPh1X2n7,"Tunturu (Female Version) [From ""Amruthavarshini""]",K. S. Chithra,K.S. Chithra Birthday Special Kannada Super Hit Songs 2019,2019-07-26
6YElZLAJxZyolpx4WQSfUD,"Yaara Shaapa Idu (From ""Seetharama Kalyana"")",Kailash Kher,Kailash Kher Birthday Special Kannada Hits 2019,2019-07-05
4RvE23vztGuD2ZtaNSd3c2,"Chiguru Bombeye (From ""Chandramukhi Pranasakhi"")",K. S. Chithra,K.S. Chithra Birthday Special Kannada Super Hit Songs 2019,2019-07-26
5jzhQdxNh8n7g8p7GumOTt,"Kashta Patt (From ""Paradesi Co London"")",Vijay Prakash,Vijay Prakash Kannada Hit Songs,2019-05-16
7ML7kMJrSk8cGywzwtML5i,"Neeli Neeli (From ""Bangara So Bangaradha Manushya"")","Sonu Nigam, Anuradha Bhat",Sonu Nigam Birthday Special Kannada Hits 2019,2019-07-29
09aRY2zYDmIu1dNfw1oWmN,"Ninna Nenape (From ""Siddhartha"")",Sonu Nigam,Sonu Nigam Birthday Special Kannada Hits 2019,2019-07-29
3Se01wBTXRN9hRHGCXpvwh,"Nandana (From ""Sundaranga Jaana"")","Vijay Prakash, Indu Nagaraj",Vijay Prakash Kannada Hit Songs,2019-05-16
6zS3xlCfmT8Pmjrz6uPWRw,"Bhoomiye Mantapa (From ""Seetharama Kalyana"")",Kailash Kher,Kailash Kher Birthday Special Kannada Hits 2019,2019-07-05
4FttWK6FCF9SFgXDVSOlmR,"Hele Kogile (From ""Nammoora Mandara Hoove"")",K. S. Chithra,K.S. Chithra Birthday Special Kannada Super Hit Songs 2019,2019-07-26
2ANdI7mo3kZ1JEzTFcsUxM,"Yele Yelege Chiguruva Tavaka - Solo (From ""Crazy Loka"")",Vijay Prakash,Vijay Prakash Kannada Hit Songs,2019-05-16
7LhUQpQ2yRwdfCHSiGp0mc,ASN Trailer Theme,"B. Ajaneesh Loknath, Charanraj MR",Avane Srimannarayana (Kannada) (Original Motion Picture Soundtrack),2019-12-12
5h2VOPIoBF1H8vElfQcFFk,Kannadachirippathenthen,K. S. Chithra,Hari Pooja,2019-01-29
7Fd6BXuqGjvPx9Pextvn7D,"Friend Ship (From ""Nan Love Track"")",Vijay Prakash,Vijay Prakash Kannada Hit Songs,2019-05-16
7npHkXAdH2HAEIzu6eIiwJ,"Nesara Nesara (From ""Bhoomi Thaayiya Chochalamaga"")",K. S. Chithra,K.S. Chithra Birthday Special Kannada Super Hit Songs 2019,2019-07-26
21GzceCe8SfLTPOG3D61dJ,"Haadi Beedili Ninthu (From ""½ Mentlu"")",Vijay Prakash,Vijay Prakash Kannada Hit Songs,2019-05-16
77cN6UFQIwePDu6raPTbqE,"Ele Giniye (From ""Rangena Halliyage Rangada Rangegowda"")",K. S. Chithra,K.S. Chithra Birthday Special Kannada Super Hit Songs 2019,2019-07-26
2rsEpysCulmigaokhg3YZr,Yerimeleya Nadeyalli,Madhu Balakrishnan,Shabarigiri - Kannada Special Ayyappa Songs,2019-10-29
3eGnlgY4w6Z3LYB5ywvV2z,"Anjela Anjela (From ""Ranathantra"")",Vijay Prakash,Vijay Prakash Kannada Hit Songs,2019-05-16
2CxQ4DEr5G0C3oEmqtmnCS,Kodu Prasadavanu,Madhu Balakrishnan,Shabarigiri - Kannada Special Ayyappa Songs,2019-10-29
5nt55cnjhEf7mmFEtOKbY5,Anthada Chanthada,Madhu Balakrishnan,Shabarigiri - Kannada Special Ayyappa Songs,2019-10-29
18dXV0VNHEkZPy3fIyaca9,"Raagavaagi Naanu (From ""Karulina Koogu"")",K. S. Chithra,K.S. Chithra Birthday Special Kannada Super Hit Songs 2019,2019-07-26
0KJ3UQMQSzrgp7WLZxhyuh,"Thusu Preethiya (From ""Simpallag Innondh Love Story"")","Sonu Nigam, Palak Muchhal",Sonu Nigam Birthday Special Kannada Hits 2019,2019-07-29
7BaQ4OzGED2a84wDs0SGdQ,"Chemmallige Hoove (From ""Naanenu Maadlilla"")",K. S. Chithra,K.S. Chithra Birthday Special Kannada Super Hit Songs 2019,2019-07-26
