Spotify ID,Title,Artist,Album,Release Date
0QGUuT8vR5HjyGxH5RoKrJ,"Tamil Refix 2020, Ch.04",Dj Dharson,"Tamil Refix 2020, Ch.04",2020-01-22
2qm64GwFj5XG7FRyoSWvQY,Best of 2019 Tamil Songs Mashup,MD Musiq,Best of 2019 Tamil Songs Mashup,2020-01-01
344AzmHmKYUHS0CQKFPnwN,Shiva Thandavam Tamil,Rahiman,Shiva Thandavam Tamil,2020-02-21
6XrFgWIzCRegCrJE7DdDEp,"Aalana Naal Muthala (From ""Kadhal Kavithai"")","Pushpavanam Kuppusamy, Sowmya",Tamil Dance Hits,2020-10-27
3DmDEmIUezyM3bs8unlEwC,Ennai Kollathey,"Kumaresh, Keshini",Evergreen Tamil Love Songs,2020-02-10
7wDPLLbUFCeSEZLwZOdl4h,Jingu Chikka,"Solar Sai, Kalapana",Evergreen Tamil Love Songs,2020-02-10
60DHmHiEtRdF1777Q4Ftl8,"Azagiya Laila (From ""Ullathai Alli Thaa"")",Mano,Best Of Voices - Tamil,2020-05-06
5iXFBbApLVdTta1BrM3QTv,Unna Nenachu,"Ilaiyaraaja, Sid Sriram",Psycho (Tamil) [Original Motion Picture Soundtrack],2020-01-17
0tYeMecUQt0S3GZ3R0CXhV,Theeraa - Tamil,"Chinmayi, Govind Vasantha",Jaanu,2020-01-21
5b61qMMG0LjnwMDuvJFFqZ,"Neenga Mudiyuma (From ""Psycho (Tamil)"")","Ilaiyaraaja, Sid Sriram","Neenga Mudiyuma [From ""Psycho (Tamil)""]",2020-01-06
18oX76XYltC8KdsoqFp8i0,"Style-U Style-U Dhaan Idhu Super (From ""Baasha [Tamil]"")","S. P. Balasubrahmanyam, K. S. Chithra",Hits Of Vairamuthu,2020-07-10
2nm2tZsyLhLQtXrGXtmMmK,"ValamenuKkum (From ""Chithiram Pesuthadi"")",Gana Ulaganathan,Tamil Dance Hits,2020-10-27
1eBQZzCKOVMXt7M7y26fLf,"Thoda Thoda (From ""Indira"")","S. P. Balasubrahmanyam, K. S. Chithra",Sangeetha Utsavam - Best Tamil Duets Of Spb & K. S. Chitra,2020-09-22
5WSYDr1GlKUfnv9DZVf4i9,Pachai Killi,"Dj Shainth, Achu, PGK Beats, Daniel Yogathas, Mathu CPE, Balan Kash",Tamil Independent Artists,2020-06-04
1fPEd94p59neJPpn4uOm7m,Chumma Kizhi,"Anirudh Ravichander, S. P. Balasubrahmanyam, Vivek",Darbar (Tamil) [Original Motion Picture Soundtrack],2020-03-30
3SkmHO90dUv4h9rtPozDZC,"Rukkumani Rukkumani (From ""Roja"")","S. P. Balasubrahmanyam, K. S. Chithra",Sangeetha Utsavam - Best Tamil Duets Of S. P. Balasubrahmanyam & K. S. Chitra,2020-10-08
