Spotify ID,Title,Artist,Album,Release Date
1VhFZ2cCflcwp74w5Vzv7y,"Hukum - Telugu (From ""Jailer"")","Anirudh Ravichander, Dinker kalvala, Bhaskarabhatla","Hukum - Telugu (From ""Jailer"")",2021
4ZUxhQNRCzlh6alqBHPNRC,"Saami Saami (From ""Pushpa - The Rise"")(Telugu)","Devi Sri Prasad, Mounika Yadav, Chandra Bose","Saami Saami (From ""Pushpa - The Rise"")(Telugu)",2021-10-28
2YmXGUx32C3CUEgcAyHcGf,"Srivalli (From ""Pushpa - The Rise"")(Telugu)","Devi Sri Prasad, Sid Sriram, Chandra Bose","Srivalli (From ""Pushpa - The Rise"")(Telugu)",2021-10-13
2PDYBI9k61cobsDEHKjHyq,"Tum Tum (From ""Enemy - Telugu"")","Thaman S, Harini Ivaturi, Sahithi Chaganti","Tum Tum (From ""Enemy - Telugu"")",2021-09-03
7e6J0HgooHYVi4SwdOB2OM,"Eyy Bidda Idhi Naa Adda (From ""Pushpa - The Rise"")(Telugu)","Devi Sri Prasad, Nakash Aziz, Chandra Bose","Eyy Bidda Idhi Naa Adda (From ""Pushpa - The Rise"")(Telugu)",2021-11-19
0z2hHT6puSqiw3p86El7Kp,"Daakko Daakko Meka (From ""Pushpa - The Rise"")(Telugu)","Devi Sri Prasad, Sivam, Chandra Bose","Daakko Daakko Meka (From ""Pushpa - The Rise"")(Telugu)",2021-08-13
3IPxJQjgMLU8MFYY8gzDhC,Kallajodu Collage Papa - Telugu Folk Song,Kondu Sagar Exclusive,Kallajodu Collage Papa (Telugu Folk Song),2021-08-15
0bT8EbQMVXuhMjsPwuPA1e,So Baby - Telugu,"Anirudh Ravichander, Saketh Komanduri, Ananthakrrishnan, Rajashri Sudhakar",Varun Doctor (Original Motion Picture Soundtrack),2021-10-06
3szxldqiYs7nkvtmooRod8,"Oo Antava Oo Oo Antava (From ""Pushpa - The Rise"")(Telugu)","Devi Sri Prasad, Indravathi Chauhan, Chandra Bose","Oo Antava Oo Oo Antava (From ""Pushpa - The Rise"")(Telugu)",2021-12-10
1hZDAF3wZNK5Rv1vQjRqZE,Gumpu Gumpu Chinthalla Neriyalo - Telugu Folk Song,Kondu Sagar Exclusive,Gumpu Gumpu Chinthalla Neriyalo (Telugu Folk Song),2021-08-20
7jRiLUvTb9t4WWfqlmrR3K,Dhaani Kudi Bhujam Meeda,Gajwel Venu,Telugu Folk Hits,2021-03-27
59qtNhpFP9ZLlekXzlcPZ2,Mandalaaniki Mundhu Maala Yesukunna,Gangaputhra Narsing Rao,Telugu Devotional Songs 2021,2021-12-08
