song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
Namore Kothia,Bhupen Hazarika|Anju Devi,/artist/dr-bhupen-hazarika-2|/artist/anju-devi,07:11,Assamese,02-07-2005,0.77,0.67,0.25,0.471,-7.404,0.0152,149.977,0,9,0.07,4,40,9195112
Jai A Kanu,Khagen Mahanta,/artist/khagen-mahanta,04:41,Assamese,03-09-2005,0.17,0.24,0.557,0.906,-6.357,0.01,150.031,0,9,0.0454,4,62,5008223
Tuamaki Roana,sibcharan das,/artist/sibcharan-das,03:11,Assamese,12-06-2009,0.88,0.628,0.295,0.257,-2.865,0.01,149.964,0,9,0.01,4,71,662879
Surat Magan Bhayal Rati,Jayanta Hazarika,/artist/jayanta-hazarika,04:02,Assamese,11-04-2015,0.29,0.74,0.288,0.45,-5.943,0.054,149.962,0,1,0.031,4,82,9514268
Buku Ham Ham Kore,Bhupen Hazarika,/artist/dr-bhupen-hazarika-2,03:23,Assamese,09-11-2019,0.05,0.284,0.692,0.571,-2.519,0.057,153.945,0,10,0.0129,4,54,1580562
Bhal Poa Mor,sibcharan das,/artist/sibcharan-das,02:54,Assamese,02-07-2001,0.56,0.66,0.368,0.378,-13.072,0.1,150.009,1,2,0.038,4,89,6985188
O Siparar Baandhu,Manna Dey|Bhupen Hazarika,/artist/manna-dey|/artist/dr-bhupen-hazarika-2,05:00,Assamese,04-11-2012,0.77,0.428,0.271,0.053,-10.298,0.04,145.004,1,1,0.02,4,78,7552691
Alfolia Kopou Phool,Dwipen Baruah|Namita Bhattacharya,/artist/dwipen-baruah|/artist/namita-bhattacharya,03:24,Assamese,12-05-2001,0.05,0.98,0.31,0.21,-4.807,0.01,149.982,0,5,0.059,4,32,8296179
Kapili Kapili,Bhupen Hazarika,/artist/dr-bhupen-hazarika-2,03:15,Assamese,12-09-2006,0.79,0.091,0.47,0.619,-6.866,0.0264,150.011,0,6,0.0091,4,74,6001859
Gouri Puriya Gavoru Dekhilo,Bhupen Hazarika,/artist/dr-bhupen-hazarika-2,04:18,Assamese,12-07-2006,0.93,0.85,0.831,0.736,-9.727,0.077,150.01,0,0,0.03,4,46,5403539
Madarare Phoolo Heno,Bhupen Hazarika,/artist/dr-bhupen-hazarika-2,05:04,Assamese,03-08-2018,0.13,0.222,0.452,0.913,-2.671,0.0632,149.945,0,9,0.04,4,48,9770659
