song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
Aaj Ei Dintake,Kishore Kumar,/artist/kishore-kumar,04:28,Bengali,09-08-2011,0.03,0.982,0.853,0.013,-11.898,0.09,150.157,0,1,0.05,4,39,10129824
Amar Swapna Tumi Ogo,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,03:55,Bengali,03-06-2004,0.43,0.24,0.791,0.464,-10.397,0.04,155.007,0,4,0.041,4,27,5049938
Ami Chini Go Chini Tomare,Kishore Kumar,/artist/kishore-kumar,02:27,Bengali,06-01-2017,0.09,0.551,0.275,0.28,-9.2,0.063,150.02,1,1,0.093,4,60,7639514
Purano Sei Diner,Debabrata Biswas,/artist/debabrata-biswas,03:03,Bengali,03-11-2018,0.87,0.03,0.774,0.786,-13.11,0.0028,154.87,1,1,0.09,4,71,11193077
Aamar Pujar Phool,Kishore Kumar,/artist/kishore-kumar,04:27,Bengali,01-03-2018,0.82,0.852,0.593,0.05,-4.049,0.0576,154.776,0,9,0.08,4,32,4125324
Se Jeno Aamar Pashe,Kishore Kumar,/artist/kishore-kumar,03:30,Bengali,12-01-2010,0.39,0.94,0.978,0.92,-2.038,0.03,150.02,0,9,0.05,4,32,10683359
Mone Pore Ruby Roy,R. D. Burman,/artist/r-d-burman,03:27,Bengali,04-04-2005,0.16,0.251,0.524,0.95,-11.986,0.09,150.025,0,2,0.06,4,89,10646532
Coffee Houser Sei Addata Aaj Aar Nei,Manna Dey,/artist/manna-dey,06:26,Bengali,07-11-2001,0.48,0.44,0.454,0.457,-12.621,0.0682,150.001,1,10,0.03,4,71,7892721
Sei Raate Raat Chhilo Purnima,Kishore Kumar,/artist/kishore-kumar,04:05,Bengali,10-05-2003,0.6,0.691,0.819,0.555,-12.575,0.05,155.06,1,7,0.03,4,56,7901110
Ei Path Jodi Na Shes Hoy,Sandhya Mukherjee|Hemant Kumar,/artist/sandhya-mukherjee|/artist/hemanta-mukherjee,03:11,Bengali,03-03-2022,0.72,0.81,0.053,0.612,-12.274,0.02,154.95,0,4,0.0752,4,39,2590230
Tumi Kon Kananer Phul,Asha Bhosle,/artist/asha-bhosle-1,03:58,Bengali,02-03-2021,0.13,0.918,0.8,0.902,-10.568,0.0037,149.971,0,4,0.05,4,82,4653343
Amar Swapna Je Satyi,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,05:27,Bengali,01-12-2001,0.52,0.5,0.797,0.798,-13.236,0.08,150.155,1,8,0.021,4,88,1611513
Nayan Sarasi Keno Bhoreche Jaale,Kishore Kumar,/artist/kishore-kumar,03:25,Bengali,07-06-2013,0.54,0.272,0.387,0.192,-11.85,0.0404,149.992,0,8,0.07,4,38,6243923
Jodi Hoi Chorkanta,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,03:21,Bengali,04-04-2023,0.95,0.75,0.011,0.817,-3.974,0.0788,154.879,0,4,0.0121,4,44,8723973
Mon-Majhi Re,R. D. Burman,/artist/r-d-burman,06:21,Bengali,06-03-2020,0.2,0.346,0.908,0.596,-13.29,0.01,149.93,0,7,0.0779,4,93,407716
