song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
Ke Odhni Odhu Odhu Ne Udi Jaye,Alka Yagnik|Praful  Dave,/artist/alka-yagnik|/artist/praful-dave-1,05:58,Gujarati,09-11-2009,0.54,0.85,0.98,0.95,-7.35,0.0557,139.969,0,0,0.0413,4,93,3728200
Yamunashtak,Lata Mangeshkar,/artist/lata-mangeshkar,07:42,Gujarati,06-04-2004,0.42,0.985,0.613,0.501,-10.609,0.044,139.998,1,0,0.009,4,97,9434084
Khamma Mara Nandajinalal,Asha Bhosle|Sulochana Vyas|Chorus,/artist/asha-bhosle-1|/artist/sulochana-vyas|/artist/chorus,06:31,Gujarati,10-09-2016,0.83,0.77,0.18,0.33,-13.346,0.086,139.997,1,11,0.007,4,43,5513227
Kanuda Tari Morliye,Geeta Dutt,/artist/geeta-dutt,02:32,Gujarati,08-11-2002,0.95,0.487,0.749,0.238,-3.472,0.0069,140.003,0,11,0.06,4,36,10512472
Laving Keri Lakadi,Praful  Dave|Usha Mangeshkar,/artist/praful-dave-1|/artist/usha-mangeshkar-2,02:45,Gujarati,05-09-2010,0.15,0.99,0.24,0.88,-12.495,0.0963,140.055,0,9,0.094,4,82,10283805
Shambhu Sharane Padi,Narayan Swami,/artist/narayan-swami,07:13,Gujarati,05-01-2021,0.39,0.225,0.575,0.866,-5.667,0.093,139.966,0,11,0.08,4,53,548512
Jaag Re Malan Jaag,Praful  Dave,/artist/praful-dave-1,03:34,Gujarati,05-10-2001,0.7,0.54,0.4,0.97,-4.704,0.053,130.01,1,7,0,4,62,7194598
Kanudo Kalo Kalo,Narayan Swami,/artist/narayan-swami,03:24,Gujarati,10-11-2022,0.14,0.283,0.741,0.522,-12.215,0.0022,167.454,1,0,0.06,4,28,10556630
Gokuliye Rang Ramva,Geeta Dutt,/artist/geeta-dutt,03:19,Gujarati,11-12-2003,0.45,0.79,0.35,0.53,-11.801,0.0126,139.932,0,9,0.031,4,69,10180295
Sona Vatakadi Re,Asha Bhosle,/artist/asha-bhosle-1,03:11,Gujarati,04-04-2020,0.42,0.152,0.411,0.07,-7.524,0.0335,159.99,1,9,0.007,4,77,7960901
He Gokul Vehala Padharjo Re,Hansa Dave,/artist/hansa-dave,03:17,Gujarati,07-08-2007,0.87,0.22,0.06,0.87,-3.678,0.072,139.98,1,9,0.08,4,78,3859945
Phagan Aayo,Vatsala Patil|Karsandas Sagathia,/artist/vatsala-patil|/artist/karsandas-sagathia,05:58,Gujarati,05-11-2014,0.05,0.082,0.479,0.525,-3.251,0.02,139.962,0,9,0.01,4,67,3909463
Karam Ni Gati Nyari,Narayan Swami,/artist/narayan-swami,07:17,Gujarati,11-01-2002,0.51,0.53,0.91,0.53,-11.983,0.04,139.95,0,11,0.095,4,83,7424736
Kaya To Dhutarana Shaher Chhe,Narayan Swami,/artist/narayan-swami,04:05,Gujarati,10-02-2018,0.57,0.042,0.7,0.292,-8.121,0.033,139.94,1,0,0.014,4,33,2807864
Chhanu Re Chhupun Kain Thay Nahi,Asha Bhosle|Chorus,/artist/asha-bhosle-1|/artist/chorus,03:16,Gujarati,08-04-2013,0.96,0.8,0.3,0.46,-7.457,0.06,175.524,1,11,0.088,4,83,898864
Bhoolati Nathi Ae Sukhi Zindagi Ne,Narayan Swami,/artist/narayan-swami,04:11,Gujarati,02-05-2013,0.12,0.056,0.456,0.499,-7.228,0.05,129.997,0,9,0.04,4,67,6211136
He Ranglo Jamyo,Asha Bhosle|Ashit Desai|Chorus,/artist/asha-bhosle-1|/artist/ashit-desai-chorus|/artist/chorus,06:32,Gujarati,11-12-2002,0.92,0.46,0.21,0.26,-7.741,0.08,130.032,1,5,0.0072,4,86,6556953
Vina Vichar Sakal Jag Bhoole,Narayan Swami,/artist/narayan-swami,03:23,Gujarati,04-12-2002,0.15,0.486,0.005,0.734,-12.517,0.0749,140.028,1,10,0.005,4,43,2980608
Sri Ramchandra Kripalu Bhaj Man,Diwaliben Bhil|Praful  Dave,/artist/diwaliben-bhil|/artist/praful-dave-1,01:22,Gujarati,12-08-2011,0.77,0.83,0.42,0.69,-8.539,0.063,139.993,0,9,0.08,4,55,4850834
Maaf Karo Ne Morari,Narayan Swami,/artist/narayan-swami,04:57,Gujarati,04-07-2023,0.01,0.592,0.956,0.327,-8.518,0.016,139.992,1,9,0.076,4,61,6594670
Ruperi Raatni,Asha Bhosle|Mahendra Kapoor,/artist/asha-bhosle-1|/artist/mahendra-kapoor,05:01,Gujarati,03-11-2016,0.44,0.08,0.53,0.89,-12.493,0.038,140.035,1,9,0.0632,4,80,6989605
Lagyo Chundiye Rang Lagyo,Asha Bhosle|Praful  Dave|Chorus,/artist/asha-bhosle-1|/artist/praful-dave-1|/artist/chorus,05:24,Gujarati,05-05-2022,0.48,0.256,0.413,0.358,-6.767,0.085,175,1,9,0.0255,4,68,7543820
Anand Ghadi Hete Bhajva Hari,Narayan Swami,/artist/narayan-swami,03:04,Gujarati,04-04-2008,0.06,0.93,0.01,0.28,-5.683,0.01,140.1,0,9,0.042,4,84,1254863
Mune Ekli Meline,Asha Bhosle|Veljibhai Gajjar|Chorus,/artist/asha-bhosle-1|/artist/veljibhai-gajjar|/artist/chorus,03:22,Gujarati,11-07-2001,0.19,0.635,0.72,0.875,-6.1,0.0785,116.996,1,8,0.09,4,66,3312756
Mohanne Gamvane Ichho Manvi,Veljibhai Gajjar,/artist/veljibhai-gajjar,03:27,Gujarati,09-09-2004,0.66,0.63,0.67,0.37,-9.2,0.071,115.034,0,5,0.07,4,82,3275159
Sanyajine Kehjo Re,Narayan Swami,/artist/narayan-swami,05:36,Gujarati,07-11-2007,0.77,0.984,0.126,0.451,-7.227,0.086,116.048,0,6,0.07,4,66,5975011
Maadi Taarun Kanku Kharyun,Asha Bhosle,/artist/asha-bhosle-1,05:12,Gujarati,01-02-2003,0.3,0.77,0.11,0.19,-7.798,0.02,120.259,0,10,0.07,4,90,639074
Tara Mukhni Lavanta Mithi Re,Mahendra Kapoor,/artist/mahendra-kapoor,04:13,Gujarati,09-08-2009,0.17,0.321,0.004,0.608,-6.566,0.03,139.958,1,8,0.0659,4,57,10667254
Jyare Pranay Ni Jagma,Manhar Udhas,/artist/manhar-udhas,07:32,Gujarati,05-04-2005,0.21,0.33,0.62,0.38,-8.677,0.0844,140.048,0,3,0.08,4,57,5889533
Latkalo Latkanto Re Aave,Anand kumar C.,/artist/anandkumar-c,03:05,Gujarati,10-10-2004,0.57,0.868,0.007,0.514,-9.118,0.0108,119.982,1,9,0.0777,4,74,8250265
Joi Murti Manohar Tari,Hariharan,/artist/hariharan,04:27,Gujarati,07-03-2016,0.31,0.17,0.72,0.72,-7.77,0.019,128.677,1,5,0.0781,4,38,6673406
Varse Varse Ashadhi Kero Megh,Diwaliben Bhil,/artist/diwaliben-bhil,04:05,Gujarati,05-01-2018,0.4,0.6,0.087,0.475,-13.666,0.025,139.858,1,5,0.015,4,55,3336485
O Roop Raseela Chora,Alka Yagnik|Praful  Dave,/artist/alka-yagnik|/artist/praful-dave-1,06:43,Gujarati,08-05-2004,0.98,0.3,0.62,0.55,-3.089,0.0414,130.061,0,6,0.07,4,53,7905360
Duniya Bole Ene Bolva Daiye,Dharamsi Raja,/artist/dharamsi-raja,03:16,Gujarati,06-11-2022,0.25,0.142,0.689,0.974,-6.653,0.02,151.556,1,10,0.015,4,42,2914988
Dada Ho Dikri,Asha Bhosle|Chorus,/artist/asha-bhosle-1|/artist/chorus,08:13,Gujarati,11-11-2015,0.14,0.52,0.4,0.66,-11.712,0.064,125.013,1,5,0.0192,4,36,6377511
Patan Thi Patola Mongha  Lavjo  Chhelaji Re …,Asha Bhosle,/artist/asha-bhosle-1,03:15,Gujarati,12-04-2011,0.48,0.756,0.787,0.627,-5.059,0.0917,125.007,1,1,0.06,4,83,2179679
Gori Rahi Gayi Adhuri Olkhan,Asha Bhosle|Mahendra Kapoor,/artist/asha-bhosle-1|/artist/mahendra-kapoor,03:43,Gujarati,02-03-2014,0.04,0.55,0.25,0.35,-11.308,0.0461,135.025,0,3,0.034,4,59,5627475
Kyan Rami Aavya Raas,Asha Bhosle|Naresh Kanodia|Chorus,/artist/asha-bhosle-1|/artist/naresh-kanodia|/artist/chorus,06:34,Gujarati,08-05-2008,0.93,0.563,0.278,0.724,-6.153,0.079,124.991,0,8,0.07,4,42,8642836
He Kaan Tari Re Muralidiman,Usha Mangeshkar,/artist/usha-mangeshkar-2,06:27,Gujarati,07-05-2009,0.19,0.24,0.34,0.13,-5.517,0.024,110.684,1,6,0.04,4,30,2321350
Mankiye Chadya Re Mohan Vanmali,Mahendra Kapoor,/artist/mahendra-kapoor,04:23,Gujarati,03-08-2014,0.02,0.355,0.456,0.696,-12.962,0.087,115.871,0,4,0.0311,4,44,9007709
Mari Chundadi Na Katka Chaar,Alka Yagnik|Chorus,/artist/alka-yagnik|/artist/chorus,05:31,Gujarati,09-07-2020,0.16,0.26,0.39,0.24,-13.341,0.042,119.944,1,0,0.0509,4,90,404012
Junun To Thayun Re Deval,Kaumudi Munshi,/artist/kaumudi-munshi,03:01,Gujarati,09-01-2005,0.97,0.477,0.982,0.713,-9.671,0.037,201.836,1,9,0.04,4,31,8941010
Tu Maro Meru Tu Mari Malan,Usha Mangeshkar|Viraj Upadhyaya,/artist/usha-mangeshkar-2|/artist/viraj-upadhyaya,03:04,Gujarati,02-04-2011,0.48,0.69,0.2,0.4,-6.715,0.038,199.998,0,7,0.02,4,42,1192526
Jai Jai Shri Yamuna,Dilip Dholakiya|Chorus,/artist/dilip-dholakiya|/artist/chorus,04:31,Gujarati,07-01-2018,0.56,0.046,0.788,0.84,-11.05,0.0226,199.96,1,1,0.07,4,45,10222423
Mare Todle Betho - Re Mor,Diwaliben Bhil,/artist/diwaliben-bhil,02:47,Gujarati,01-08-2001,0.38,0.89,0.76,0.44,-5.064,0.052,148.964,0,6,0.09,4,61,6473350
Hu Kya Kahu Chhu,Manhar Udhas,/artist/manhar-udhas,05:51,Gujarati,10-04-2010,0.39,0.118,0.928,0.306,-6.691,0.06,209.962,1,2,0.002,4,82,927954
Ek Patan Sherni Naar Padamani,Asha Bhosle|Mahendra Kapoor,/artist/asha-bhosle-1|/artist/mahendra-kapoor,02:57,Gujarati,05-09-2021,0.33,0.04,0.58,0.85,-5.271,0.02,125.011,0,9,0.092,4,53,7394991
Paap Tarun,Diwaliben Bhil|ismail valera,/artist/diwaliben-bhil|/artist/ismail-valera,03:24,Gujarati,04-02-2018,0.4,0.681,0.029,0.686,-9.907,0.07,129.988,1,0,0.0205,4,68,952557
Haiyana Har Chho,Hari Om Sharan,/artist/hari-om-sharan,04:28,Gujarati,06-03-2010,0.9,0.7,0.38,0.35,-10.434,0.092,122.026,0,6,0.064,4,77,287698
Nayan Ne Bandh Rakhi Ne,Manhar Udhas,/artist/manhar-udhas,06:00,Gujarati,11-03-2019,0.89,0.032,0.822,0.989,-11.375,0.0942,124.094,1,1,0.09,4,47,6158864
Sapnu Thai Ne Maari Aankhmaan,Asha Bhosle,/artist/asha-bhosle-1,03:14,Gujarati,11-03-2011,0.19,0,0.87,0.37,-6.588,0.08,129.992,0,6,0.064,4,46,6050477
Madi Hoon To Bar Bar Varse Aavyo,Praful  Dave|Usha Mangeshkar,/artist/praful-dave-1|/artist/usha-mangeshkar-2,03:14,Gujarati,02-02-2009,0.42,0.282,0.272,0.298,-4.043,0.0988,123.994,0,9,0.0806,4,42,4367943
Naach Re Gori Naach,Alka Yagnik|Manzoor Husain,/artist/alka-yagnik|/artist/manzoor-husain,05:41,Gujarati,12-09-2000,0.08,0.56,0.57,0.16,-10.688,0.0741,125.025,1,0,0.03,4,43,8632652
Taro Re Bharoso Mane,Pranlal Vyas,/artist/pranlal-vyas,03:04,Gujarati,06-09-2003,0.62,0.674,0.527,0.082,-10.892,0.069,139.993,0,3,0.03,4,64,7720699
Yamunashtak - Part Ii,Lata Mangeshkar,/artist/lata-mangeshkar,01:41,Gujarati,09-03-2016,0.78,0.81,0.03,0.68,-12.445,0.06,121.995,0,10,0.0166,4,86,10717809
He Kan Chhod Re Maro Chedlo,Saroj Gundani,/artist/saroj-gundani,03:09,Gujarati,12-11-2007,0.14,0.491,0.721,0.365,-11.538,0.037,124.026,1,3,0.03,4,70,1834337
Kesariyo Rang Tane Lgyo,Damyanti Bardai|Chorus,/artist/damyanti-bardai|/artist/chorus,06:28,Gujarati,07-03-2001,0.34,0.06,0.75,0.08,-7.767,0.0711,199.918,0,3,0.083,4,48,4450010
Ram Rakhe Em Rahevun,Narayan Swami,/artist/narayan-swami,05:01,Gujarati,11-04-2001,0.09,0.541,0.631,0.212,-6.699,0.08,119.965,1,0,0.0187,4,55,11035934
Panida Gyatan Kuve Re,Asha Bhosle|Chorus,/artist/asha-bhosle-1|/artist/chorus,04:45,Gujarati,12-02-2002,0.59,0.16,0.57,0.11,-7.237,0.033,128.017,1,2,0.054,4,75,6814964
Vayo Vayaro Ne,Asha Bhosle|Mahendra Kapoor,/artist/asha-bhosle-1|/artist/mahendra-kapoor,03:13,Gujarati,06-04-2020,0.65,0.127,0.071,0.226,-8.518,0.062,128,0,6,0.02,4,64,9648610
Chalo Vidur Gher Jai,Narayan Swami,/artist/narayan-swami,05:38,Gujarati,08-09-2018,0.05,0.74,0.68,0.58,-10.208,0.02,144.987,0,10,0.058,4,86,5528279
Chelaiya Khamma Khamare,Diwaliben Bhil|Pranlal Vyas|Veljibhai Gajjar,/artist/diwaliben-bhil|/artist/pranlal-vyas|/artist/veljibhai-gajjar,05:55,Gujarati,09-06-2018,0.56,0.116,0.763,0.311,-12.78,0.0895,179.996,0,10,0.075,4,46,6195055
Panida Gyatan Kuve Re,Asha Bhosle|Chorus,/artist/asha-bhosle-1|/artist/chorus,04:45,Gujarati,05-04-2002,0.07,0.34,0.16,0.7,-4.697,0.074,129.999,1,6,0.041,4,54,1186891
Main To Dungar Korine,Asha Bhosle|Chorus,/artist/asha-bhosle-1|/artist/chorus,03:13,Gujarati,06-10-2013,0.56,0.716,0.053,0.069,-2.662,0.01,129.994,0,6,0.0262,4,29,10832269
