song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
Nain Katore Kajal Dore,Bhal Singh,/artist/bhal-singh,06:31,Haryanvi,04-02-2010,0.96,0.99,0.172,0.65,-12.934,0.066,185.328,1,0,0.0232,4,89,7890531
Mere Chundar Mange De Ho Ho Nandi Ke Bira,Dilraj Kaur,/artist/dilraj-kaur,05:05,Haryanvi,06-12-2017,0.1,0.794,0.741,0.516,-5.408,0.085,146.525,1,5,0.0845,4,79,5957519
Jija Tu Kale Main Gori Ghani,Dilraj Kaur|Vijaya Mazumder,/artist/dilraj-kaur|/artist/vijaya-mazumder-1,06:24,Haryanvi,04-05-2002,0.53,0.9,0.788,0.67,-2.559,0.0107,182.526,0,4,0.019,4,52,3354976
Pilla Paloongi Jaroor,Safdarjung Rana|Uma Dubey,/artist/safdarjung-rana|/artist/uma-dubey-2,03:09,Haryanvi,09-06-2021,0.8,0.733,0.662,0.124,-5.379,0.0608,143.383,1,2,0.036,4,98,4408550
Main Suraj Tu Chandrawal,Bhal Singh|Dilraj Kaur,/artist/bhal-singh|/artist/dilraj-kaur,04:32,Haryanvi,10-11-2002,0.96,0.01,0.111,0.48,-10.238,0.002,130.435,1,0,0.0354,4,72,11180061
Mere Paachhe Paachhe Aavan Ka Bhala Kun Sa Matlab Tera Se,Suresh Wadkar|Hemlata,/artist/suresh-wadkar|/artist/hemlata,06:19,Haryanvi,08-05-2018,0.53,0.201,0.405,0.051,-9.216,0.0592,156.063,0,6,0.03,4,88,350332
Gaidde Aali Gajvan Chhorhi Bhadar Garh Ka Bam,Bhal Singh,/artist/bhal-singh,06:05,Haryanvi,01-05-2018,0.72,0.26,0.025,0.15,-2.51,0,147.861,0,9,0.0894,4,83,6825460
Ujar Khere Murh Basen Ujarhe Neha Lout Re,Vijaya Mazumder,/artist/vijaya-mazumder-1,02:08,Haryanvi,01-10-2003,0.6,0.637,0.554,0.709,-3.703,0.02,146.038,0,3,0.001,4,69,5312143
Meri Patli Kamar,Dilraj Kaur,/artist/dilraj-kaur,04:39,Haryanvi,12-10-2014,0.26,0.65,0.361,0.2,-8.603,0.08,159.93,1,8,0.0615,4,29,2957964
Hum Hindustani Dushman Kaani Va Nadaani Karya Kare,Gulab Singh|Kusum Tanwar,/artist/gulab-singh|/artist/kusum-tanwar,04:25,Haryanvi,12-07-2007,0.6,0.464,0.462,0.979,-7.099,0.029,169.83,0,7,0.1,4,26,781546
Mere Nau Daandi Ka Beejna,Dilraj Kaur,/artist/dilraj-kaur,04:01,Haryanvi,01-09-2001,0.97,0.85,0.44,0.35,-11.438,0.01,117.962,1,8,0.013,4,93,1364743
Haye Haye Re Gulabo,Safdarjung Rana,/artist/safdarjung-rana,03:04,Haryanvi,09-04-2008,0.63,0.177,0.871,0.242,-4.676,0.0163,144.134,0,8,0.01,4,100,7379086
Nain Katore Kajal Dore,Bhal Singh,/artist/bhal-singh,06:31,Haryanvi,12-03-2005,0.61,0.11,0.526,0.45,-6.809,0.007,110.008,0,6,0.0489,4,73,1209075
Laut Aa,Dilraj Kaur|Vijaya Mazumder,/artist/dilraj-kaur|/artist/vijaya-mazumder-1,21:21,Haryanvi,07-01-2017,0.97,0.028,0.197,0.588,-7.728,0.01,192.63,1,6,0.0948,4,82,5907793
Chure Ne Leli Meri Jaan,Dilraj Kaur,/artist/dilraj-kaur,04:46,Haryanvi,06-04-2011,0.67,0.04,0.917,0.87,-4.763,0.0694,143.383,0,2,0.1,4,99,7776802
Tu Chhori Se Ek Chhora,Safdarjung Rana|Mohini Narula,/artist/safdarjung-rana|/artist/mohini-narula,03:15,Haryanvi,01-12-2012,0.09,0.71,0.609,0.002,-7.482,0.08,146.549,0,0,0.01,4,74,9238443
Mere Dil Pe Likh Diya Naam,Bhaal Singh,/artist/bhaal-singh,04:20,Haryanvi,02-05-2001,0.81,0.27,0.937,0.55,-3.848,0.01,164.028,0,6,0.0246,4,100,9984550
Abke Pakam,Dilraj Kaur,/artist/dilraj-kaur,05:48,Haryanvi,07-01-2006,0.68,0.73,1,0.468,-10.278,0.062,117.971,0,4,0.065,4,97,2924146
Ram Ji Ne Roop Diya,Dilraj Kaur|Bhupender,/artist/dilraj-kaur|/artist/bhupender,04:18,Haryanvi,10-08-2016,0.68,0.42,0.678,0.76,-13.005,0.02,170.036,0,0,0.03,4,64,209960
Kab Tak Chhaila Chalegi Teri Marji,Pushpa Pagdhare,/artist/pushpa-pagdhare,03:46,Haryanvi,05-08-2006,0.84,0.607,0.453,0.327,-10.031,0.04,192.106,0,8,0.096,4,36,9964105
Hum Bharat Maa Tere Veer,Sumer Singh|Gulab Singh,/artist/sumer-singh|/artist/gulab-singh,06:34,Haryanvi,03-03-2012,0.24,1,0.867,0.71,-13.659,0.02,166.027,0,6,0.0549,4,85,11175409
Re Gori Tera Joban Kare Re Kamaal,Bhaal Singh,/artist/bhaal-singh,07:00,Haryanvi,02-07-2006,0.74,0.543,0.977,0.901,-7.116,0.024,200.446,0,4,0.0176,4,31,8398359
Tan Ka Rog Nahin Dehi Mein-Raagani,Bhal Singh,/artist/bhal-singh,06:50,Haryanvi,10-06-2013,0.06,0.75,0.173,0.98,-12.947,0.033,180.02,1,0,0.0171,4,83,4039824
Sare Gaam Mein Rukka Padgya,Dilraj Kaur,/artist/dilraj-kaur,04:47,Haryanvi,04-04-2010,0.76,0.572,0.874,0.773,-11.532,0.04,135.093,1,0,0.09,4,86,2945983
Barsasha Laaguge Gori Kaale Kaale Baadal-Raagani,Dilraj Kaur|Bhal Singh,/artist/dilraj-kaur|/artist/bhal-singh,07:29,Haryanvi,04-09-2020,0.17,0.56,0.067,0.84,-6.904,0.001,192.612,1,4,0.084,4,58,3995217
Byahli Gori Rang Mahal Men,Bhagat Singh,/artist/bhagat-singh,08:24,Haryanvi,07-01-2010,0.06,0.741,0.047,0.67,-3.951,0.09,135.998,1,7,0.02,4,83,3207972
Meri Khet Ki Maidh Pe Tu,Dilraj Kaur|Triloki Verma,/artist/dilraj-kaur|/artist/triloki-verma,05:40,Haryanvi,04-06-2000,0.57,0.19,0.617,0.16,-6.446,0.05,174.727,1,4,0.089,4,43,4441755
Nang Dharang Fashion Ho Gaya,Safdarjung Rana,/artist/safdarjung-rana,03:04,Haryanvi,01-04-2022,0.9,0.591,0.234,0.812,-9.69,0.004,170.606,0,6,0.0005,4,54,4095195
Sapne Main Hoya Kamaal,Savita Saathi,/artist/savita-saathi,06:13,Haryanvi,08-07-2019,0.45,0.15,0.697,0.46,-11.43,0.03,175.989,1,4,0.1,4,76,4047480
Ho Chhori Bangar Ki,Safdarjung Rana|Uma Dubey,/artist/safdarjung-rana|/artist/uma-dubey-4,03:04,Haryanvi,03-12-2010,0.97,0.544,0.569,0.818,-8.561,0.075,194.432,0,9,0.08,4,97,9105655
Chhora Jaat Ka,Bhaal Singh,/artist/bhaal-singh,04:03,Haryanvi,08-10-2010,0.31,0.14,0.274,0.22,-13.811,0.069,156.648,0,11,0.07,4,44,1121949
Jamna Paar Ki Gouri,Safdarjung Rana|Uma Dubey,/artist/safdarjung-rana|/artist/uma-dubey-5,03:11,Haryanvi,12-02-2000,0.44,0.108,0.327,0.745,-8.448,0.1,187.952,0,3,0.09,4,53,4101350
Ke Bera Tha Jindgi Manei,Dilraj Kaur|Triloki Verma,/artist/dilraj-kaur|/artist/triloki-verma,07:39,Haryanvi,08-09-2013,0.31,0.45,0.24,0.72,-2.02,0.05,134.17,0,9,0.03,4,58,2154006
