song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
Bheegi Bheegi Raaton Mein,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,03:54,Hindi,05-03-2001,0.19,0.98,0.701,0.257,-12.08,0.0116,141.966,1,1,0.05,4,29,9777634
Aap Ki Ankhon Mein Kuch,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,04:09,Hindi,11-01-2022,0.87,0.382,0.727,0.329,-6.49,0.016,120.034,0,5,0.007,4,26,1372042
Tum Aa Gaye Ho Noor Aa Gaya,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,04:13,Hindi,01-08-2018,0.47,0.62,0.746,0.405,-5.506,0.084,157.877,0,11,0.01,4,80,10433429
Hamen Tumse Pyar Kitna,Kishore Kumar,/artist/kishore-kumar,04:02,Hindi,10-04-2013,0.93,0.038,0.205,0.944,-2.354,0.0272,156.028,0,1,0.0497,4,94,4695402
Tere Bina Zindagi Se,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,05:54,Hindi,09-11-2003,0.93,0.17,0.508,0.452,-7.861,0.0283,151.63,0,11,0.0726,4,26,926827
Kora Kagaz Tha Yeh Man Mera,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,05:39,Hindi,12-02-2020,0.47,0.467,0.034,0.112,-10.064,0.08,147.943,1,2,0.002,4,30,2065640
Lag Ja Gale Se Phir,Lata Mangeshkar,/artist/lata-mangeshkar,04:18,Hindi,02-01-2003,0.68,0.63,0.938,0.148,-6.984,0.079,170.098,0,2,0.062,4,69,6356409
Ae Mere Humsafar,Udit Narayan|Alka Yagnik,/artist/udit-narayan|/artist/alka-yagnik,05:56,Hindi,02-06-2018,0.74,0.105,0.53,0.73,-9.075,0.0415,120.958,0,5,0.0677,4,41,2014121
Ek Ajnabee Haseena Se,Kishore Kumar,/artist/kishore-kumar,04:27,Hindi,09-11-2012,0.97,0.14,0.891,0.334,-11.231,0.01,120.014,1,5,0.0044,4,62,78064
Tere Mere Milan Ki Yeh Raina,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,04:55,Hindi,08-06-2020,0.36,0.987,0.939,0.34,-9.756,0.008,155.97,1,9,0.0995,4,45,232023
Are Jane Kaise Kab Kahan Iqrar,Kishore Kumar|Lata Mangeshkar,/artist/kishore-kumar|/artist/lata-mangeshkar,05:39,Hindi,09-03-2014,0.48,0.59,0.377,0.692,-7.021,0.0717,161.678,1,2,0.0223,4,51,10184341
