song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
Hridayi Vasant Phulatana,Suresh Wadkar|Sudesh Bhonsle|Shailendra Singh,/artist/suresh-wadkar|/artist/sudesh-bhonsle|/artist/shailendra-singh,06:46,Marathi,09-10-2020,0.41,0.947,0.186,0.065,-10.913,0.0024,137,0,4,0.05,4,27,4626736
Nimbonichya Zadamaage,Suman Kalyanpur,/artist/suman-kalyanpur,03:36,Marathi,10-01-2020,0.63,0.11,0.306,0.803,-9.443,0.0072,134.225,1,1,0.0652,4,84,4436949
Ashi Hi Banavabanavi,Suresh Wadkar|Amit Kumar|Shailendra Singh,/artist/suresh-wadkar|/artist/amit-kumar|/artist/shailendra-singh,04:34,Marathi,02-02-2024,0.55,0.772,0.32,0.674,-7.948,0.04,138.011,0,5,0.09,4,72,5333932
Dagala Lagali Kala,Mahendra Kapoor|Usha Mangeshkar,/artist/mahendra-kapoor|/artist/usha-mangeshkar-2,05:17,Marathi,05-05-2020,0.42,0.3,0.317,0.062,-12.097,0.077,138.008,1,1,0.01,4,88,6974063
Mi Prem Nagarcha Raja,Suresh Wadkar|Shobha Joshi,/artist/suresh-wadkar|/artist/shobha-joshi,06:11,Marathi,06-11-2012,0.87,0.929,0.594,0.53,-4.25,0.042,138.012,0,2,0.05,4,55,5288260
Na Sangatach Aaj,Suresh Wadkar|Anuradha Paudwal,/artist/suresh-wadkar|/artist/anuradha-paudwal-2,05:19,Marathi,04-01-2015,0.02,0.19,0.919,0.993,-5.783,0.015,135.989,0,10,0,4,81,461022
Malyachya Malya Madhi Kon Ga Ubhi,Usha Mangeshkar|Jaywant Kulkarni,/artist/usha-mangeshkar-2|/artist/jaywant-kukarni,03:45,Marathi,02-03-2022,0.17,0.274,0.9,0.032,-4.863,0.0099,134,0,10,0.0345,4,43,4977080
Swargahuni Sunder Gharte,Anuradha Paudwal|Suresh Wadkar,/artist/anuradha-paudwal-2|/artist/suresh-wadkar,05:54,Marathi,07-05-2013,0.06,0.52,0.976,0.452,-5.069,0.0378,128,0,9,0.071,4,80,6377025
Vithala Tu Veda Kumbhar,Sudhir Phadke,/artist/sudhir-phadke,03:22,Marathi,10-06-2006,0.97,0.994,0.791,0.013,-10.05,0.1,135.926,0,8,0.04,4,34,8049928
Java Naveen Popat Ha,Anand Shinde,/artist/anand-shinde,05:35,Marathi,08-11-2013,0.49,0.06,0.979,0.364,-4.124,0.02,127.996,1,10,0.0906,4,29,9480944
