song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
Pallo Latka,Rehana Mirza|Shamim|Om Pawar|Shiv Ram|Master Alauddin|Shobha Purohitanand Kuar,/artist/rehana-mirza|/artist/shamim|/artist/om-pawar|/artist/shiv-ram|/artist/master-alauddin-11|/artist/shobha-purohitanand-kuar-7,03:33,Rajasthani,03-10-2022,0.1,0.748,0.168,0.236,-7.894,0.0441,150.073,1,1,0.01,4,51,10736325
Roomal,Rehana Mirza,/artist/rehana-mirza,04:56,Rajasthani,01-04-2016,0.46,0.79,0.073,0.83,-8.612,0.017,187.762,1,0,0.078,4,84,3895615
Dhak Kagliya,Rehana Mirza,/artist/rehana-mirza,04:36,Rajasthani,04-04-2010,0.17,0.36,0.81,0.056,-7.089,0.065,168.207,1,10,0.05,4,87,4455562
Beero Bhaat Bharan,Anuradha Paudwal,/artist/anuradha-paudwal-2,05:00,Rajasthani,10-02-2017,0.35,0.22,0.627,0.46,-6.34,0.09,145.074,1,10,0.0072,4,64,2780901
Nimbuda,Bundu Khan Langa|Party,/artist/bundu-khan-langa|/artist/party,05:59,Rajasthani,10-11-2007,0.01,0.798,0.57,0.746,-11.427,0.083,127.941,1,4,0.081,4,89,10011602
Anjan Ki Siti Men,Rehana Mirza,/artist/rehana-mirza,03:37,Rajasthani,01-01-2007,0.8,0.71,0.859,0.46,-5.424,0.0401,181.331,1,11,0.01,4,98,6894773
Thumko,Ikram Rajasthani|Aruna Sharma,/artist/ikram-rajasthani|/artist/aruna-sharma,04:44,Rajasthani,11-01-2006,0.31,0.642,0.432,0.751,-3.394,0.042,156.12,1,1,0.004,4,29,3886282
Veer Tejaji Part 01,Mohan Maharaj Nimbarak|Sadhana Bhaduri,/artist/mohan-maharaj-nimbarak|/artist/sadhana-bhaduri,23:23,Rajasthani,10-03-2022,0.87,0.22,0.646,0.55,-10.225,0.05,123.942,1,11,0.06,4,65,4885667
Marodya Laje Re Baju Dal Bangri,Saraswati Devi Dhandra,/artist/saraswati-devi-dhandra-3,03:37,Rajasthani,11-06-2019,0,0.113,0.842,0.392,-4.992,0.0076,115.124,1,9,0.0802,4,40,5075865
Dil Deewano,Alka Yagnik,/artist/alka-yagnik,05:28,Rajasthani,06-06-2022,0.51,0.15,0.228,0.35,-3.133,0.0038,164.006,1,1,0.042,4,30,4133251
