song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream
Dil - E - Nadan Tujhe,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,05:00,Urdu,02-03-2008,0.57,0.572,0.574,0.1,-6.525,0.0278,94.009,1,2,0.436,4,65,3322991
Agar Hum Kahen Aur Woh Muskara De,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,06:26,Urdu,02-09-2020,0.93,0.0657,0.596,0.0625,-6.206,0.043,91.991,1,8,0.669,4,69,8263466
Unke Dekhe Se,Jagjit Singh,/artist/jagjeet-singh-1,03:41,Urdu,01-10-2017,0.82,0.24,0.487,0.175,-8.936,0.0431,137.034,1,5,0.722,4,47,882413
Yeh Na Thi Hamari Qismat - Chitra Singh,Chitra Singh,/artist/chitra-singh,04:26,Urdu,23-07-2020,0.87,0.165,0.541,0.0663,-6.51,0.0325,114.984,1,0,0.952,4,95,3257828
Hazaron Khwahishen Aisi,Jagjit Singh,/artist/jagjeet-singh-1,05:39,Urdu,06-06-2005,0.76,0.513,0.614,0.0922,-6.573,0.0709,149.966,1,2,0.743,3,87,5314758
Suna Tha Ki Woh Aayenge Anjuman Mein,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,07:59,Urdu,06-04-2022,0.38,0.598,0.532,0.26,-5.979,0.0491,123.95,1,0,0.859,4,59,6055794
Bahut Pahele Se Un Qadmon Ki Aahat Jaan Lete Hain,Chitra Singh|Jagjit Singh,/artist/chitra-singh|/artist/jagjeet-singh-1,04:48,Urdu,06-05-2018,0.68,0.0842,0.717,0.149,-7.749,0.0822,94.984,1,8,0.494,4,72,11130113
Tum Itna Jo Muskura Rahe Ho,Jagjit Singh,/artist/jagjeet-singh-1,05:21,Urdu,12-07-2017,0.05,0.796,0.396,0.104,-8.98,0.0359,97.281,1,8,0.886,4,25,8365594
Tum Apna Ranjhogham Apni,Jagjit Kaur,/artist/jagjit-kaur,03:09,Urdu,02-04-2024,0.66,0.0202,0.697,0.259,-7.139,0.0891,90.031,1,1,0.745,4,41,569925
Dialogues And Ishq Mujhko Nahin,Chitra Singh|Naseeruddin Shah,/artist/chitra-singh|/artist/naseeruddin-shah,04:24,Urdu,10-04-2004,0.67,0.179,0.794,0.106,-5.698,0.2,91.366,1,11,0.432,4,58,10752557
Zindagi Se Badi Saza Hi Nahi,Jagjit Singh,/artist/jagjeet-singh-1,05:03,Urdu,06-04-2006,0.65,0.515,0.84,0.145,-4.022,0.107,96.012,1,8,0.192,4,90,4370996
Kabse Hoon Kya Bataon,Jagjit Singh,/artist/jagjeet-singh-1,04:00,Urdu,12-08-2017,0.18,0.655,0.34,0.137,-10.754,0.0371,139.982,1,1,0.396,4,93,10402318
