song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood
Keteki Nahao Moi,Anima Bhattacharya,/artist/anima-bhattacharya,0.0,Assamese,2000-01-04,0.89,0.058,0.962,0.455,-13.243,0.0242,149.707,0,6,0.07,4,35,3270355,0,0,0,Happy
Naami Aha Sundare,Bhupen Hazarika,/artist/dr-bhupen-hazarika-2,0.0,Assamese,2000-01-06,0.11,0.22,0.397,0.408,-10.35,0.058,150.008,1,11,0.05,4,64,9571029,0,0,0,Sad
A Mynajan,Dwipen Baruah|Debjani Barua,/artist/dwipen-baruah|/artist/debjani-barua,0.0,Assamese,2000-03-08,0.06,0.776,0.584,0.478,-4.797,0.076,150.034,1,1,0.072,4,89,83021,0,0,0,Sad
Bihu Anandia,Bhupen Hazarika,/artist/dr-bhupen-hazarika-2,0.0,Assamese,2000-03-10,0.17,0.71,0.018,0.008,-10.665,0.03,150.073,1,4,0.029,4,94,9894203,0,0,0,Sad
O Phool Paha Halichha Jalichha,Archana Mohanty,/artist/archana-mohanty,0.0,Assamese,2000-05-03,0.09,0.4,0.791,0.055,-13.722,0.023,150.093,0,5,0.0505,4,95,2029145,0,0,0,Happy
Aaji Eta Daam,Nagen Barman,/artist/nagen-barman,0.0,Assamese,2000-05-05,0.32,0.129,0.467,0.818,-12.699,0.0297,150.015,1,8,0.055,4,31,9609884,0,0,0,Sad
Phagune Phul Phalale,Samar Hazarika,/artist/samar-hazarika,0.0,Assamese,2000-06-11,0.6,0.379,0.646,0.331,-13.067,0.0608,150.041,0,7,0.01,4,65,148748,0,0,0,Sad
Ou Kumalia,Khagen Mahanta,/artist/khagen-mahanta,0.0,Assamese,2000-07-07,0.26,0.922,0.255,0.241,-4.331,0.1,150.058,1,5,0.066,4,66,11258952,0,0,0,Sad
Thuriai Katilo,Digen Mahanta,/artist/digen-mahanta,0.0,Assamese,2000-09-12,0.41,0.618,0.075,0.347,-12.338,0.0,150.1,1,2,0.0249,4,59,4735866,0,0,0,Sad
O Bapa Harakanta,Nagen Barman,/artist/nagen-barman,0.0,Assamese,2000-10-07,0.25,0.421,0.542,0.871,-2.553,0.07,150.003,0,9,0.023,4,35,8819794,0,0,0,Sad
Ei Shankar Madhab,Rameswar Pathak,/artist/rameswar-pathak,0.0,Assamese,2000-10-11,0.99,0.72,0.069,0.674,-3.877,0.1,150.032,1,8,0.01,4,51,2387791,0,0,0,Sad
Bihu Anandiya Bihu Binandiya,Khagen Phukan|Maheshwar Barua|Meena Chakraborty|Pushpa Fukan Dubra,/artist/khagen-phukan|/artist/maheshwar-barua-1|/artist/meena-chakraborty-2|/artist/pushpa-fukan-dubra-1,0.0,Assamese,2000-11-07,0.33,0.87,0.075,0.48,-13.176,0.09,154.867,1,4,0.0373,4,47,8050020,0,0,0,Sad
E He Narayan,Rameshwar Pathak,/artist/rameshwar-pathak,0.0,Assamese,2000-12-01,0.93,0.158,0.988,0.949,-12.178,0.002,145.046,1,3,0.09,4,40,7537280,0,0,0,Happy
Mor Naam Radha,Snehalata Das,/artist/snehalata-das,0.0,Assamese,2000-12-03,0.06,0.412,0.261,0.06,-3.697,0.04,149.953,1,10,0.02,4,79,377834,0,0,0,Sad
O Thuria Tamolkhan,Mahananda Majinder Barua|Santa Sharma,/artist/mahananda-majinder-barua|/artist/santa-sharma,0.0,Assamese,2001-01-06,0.61,0.723,0.642,0.406,-11.669,0.0969,150.019,0,8,0.036,4,91,11009427,0,0,0,Happy
Dhansiri Parehoi,Khagen Mahanta,/artist/khagen-mahanta,0.0,Assamese,2001-01-12,0.39,0.14,0.981,0.282,-5.667,0.0556,150.001,0,11,0.018,4,56,1410436,0,0,0,Energetic
Haley Jaley Kumliya,Mitraa Phukan,/artist/mitraa-phukan,0.0,Assamese,2001-02-02,0.19,0.973,0.019,0.442,-8.174,0.09,154.004,1,10,0.097,4,38,9360603,0,0,0,Sad
Seuji Banar Suriya Kahini - Part 1,Unknown,/artist/unknown,0.0,Assamese,2001-02-04,0.02,0.45,0.441,0.701,-6.506,0.03,150.07,1,4,0.08,4,89,10820994,0,0,0,Sad
