song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood
Suna Hai Mohabbat,Mohammad Aziz|Chandrani Mukherjee,/artist/mohammad-aziz|/artist/chandrani-mukherjee,0.0,Bhojpuri,2000-01-04,0.58,0.557,0.816,0.553,-8.656,0.055,150.052,0,5,0.07,4,33,6540837,0,0,0,Happy
Aare Mala Japare,Mahendra Kapoor|Usha Mangeshkar,/artist/mahendra-kapoor|/artist/usha-mangeshkar-2,0.0,Bhojpuri,2000-03-02,0.96,0.544,0.748,0.376,-6.356,0.0846,174.016,1,7,0.034,4,100,11197731,0,0,0,Happy
Pahile Pahile,Usha Mangeshkar|Dilraj Kaur,/artist/usha-mangeshkar-2|/artist/dilraj-kaur,0.0,Bhojpuri,2000-05-10,0.24,0.188,0.076,0.115,-13.474,0.023,174.0,0,6,0.03,4,54,4803752,0,0,0,Sad
Gandhi Ke Pujaari,Baleshwar|Sathi,/artist/baleshwar|/artist/sathi,0.0,Bhojpuri,2000-07-12,0.21,0.424,0.854,0.581,-8.16,0.0177,149.951,0,5,0.069,4,31,2955204,0,0,0,Sad
Hamse Tu Bachke Kahan Jaiba,Alka Yagnik,/artist/alka-yagnik,0.0,Bhojpuri,2000-08-01,0.87,0.778,0.233,0.076,-3.428,0.0616,149.924,0,9,0.077,4,66,1843285,0,0,0,Sad
Munhwase Bola Part - 2,Asha Bhosle|Manna Dey,/artist/asha-bhosle-1|/artist/manna-dey,0.0,Bhojpuri,2000-08-03,0.75,0.573,0.88,0.088,-6.927,0.06,173.995,1,1,0.012,4,72,5293609,0,0,0,Happy
Jab Se Botaliya Ke Aadat Bhaeel,Shabbir Kumar,/artist/shabbir-kumar,0.0,Bhojpuri,2000-10-11,0.64,0.4,0.653,0.503,-11.665,0.01,149.988,0,4,0.025,4,51,10526733,0,0,0,Sad
Dekhali Sapanwa Mein Ayile,Bharat Sharma Vyas,/artist/bharat-sharma-vyas,0.0,Bhojpuri,2001-02-09,0.18,0.963,0.599,0.919,-4.843,0.01,174.181,0,11,0.03,4,63,11241680,0,0,0,Sad
Kiran Phoot Gayeel,Sharda Sinha,/artist/sharda-sinha,0.0,Bhojpuri,2001-03-02,0.77,0.245,0.563,0.431,-4.276,0.09,174.012,0,3,0.0332,4,100,1431008,0,0,0,Happy
Charmar Bole Charpaai Ho,Saira Bano Faizabadi,/artist/saira-bano-faizabadi-20,0.0,Bhojpuri,2001-06-10,0.24,0.762,0.488,0.547,-3.244,0.02,150.004,0,1,0.033,4,35,5060309,0,0,0,Sad
Buri Nazar Wale Tora Munh Kaala,Alka Yagnik|Udit Narayan,/artist/alka-yagnik|/artist/udit-narayan,0.0,Bhojpuri,2001-06-10,0.7,0.4,0.258,0.422,-7.6,0.07,173.976,1,7,0.09,4,72,5325306,0,0,0,Sad
Hansi Hansi Panwa Khiwanle,Mahendra Kapoor|Manna Dey,/artist/mahendra-kapoor|/artist/manna-dey,0.0,Bhojpuri,2001-08-03,0.53,0.266,0.54,0.843,-6.933,0.0186,174.096,1,5,0.02,4,94,11199967,0,0,0,Happy
Mujaffarpur Ke Lichiya,Chandrani Mukherjee,/artist/chandrani-mukherjee,0.0,Bhojpuri,2001-08-10,0.31,0.103,0.368,0.173,-5.768,0.05,150.128,1,1,0.065,4,29,10646748,0,0,0,Sad
Gori Ho Ya Kali Dilwali Chahiye,Baleshwar|Shanta Singh|Sathi,/artist/baleshwar|/artist/shanta-singh|/artist/sathi,0.0,Bhojpuri,2001-10-10,0.59,0.325,0.549,0.695,-5.707,0.0617,149.968,0,10,0.057,4,51,8698630,0,0,0,Sad
Rim Jhim Barse,Asha Bhosle|Preet Sagar,/artist/asha-bhosle-1|/artist/preet-sagar,0.0,Bhojpuri,2001-11-06,0.63,0.886,0.029,0.945,-13.163,0.046,150.049,0,11,0.007,4,62,8464492,0,0,0,Sad
Aajamgadh Harijan Hatyakaand,BECHAN RAM|Saathi,/artist/bechan-ram|/artist/saathi,0.0,Bhojpuri,2001-12-02,0.55,0.59,0.725,0.239,-12.535,0.03,174.048,0,10,0.03,4,41,217757,0,0,0,Sad
Sath Take Ki Tohri Naukri,Chandrani Mukherjee,/artist/chandrani-mukherjee,0.0,Bhojpuri,2001-12-08,0.28,0.78,0.531,0.707,-9.418,0.009,150.132,0,5,0.051,4,42,11380383,0,0,0,Sad
Milalba Sharabi Sainya,Munna Singh,/artist/munna-singh,0.0,Bhojpuri,2002-01-03,0.33,0.87,0.732,0.081,-4.785,0.013,175.001,1,1,0.08,4,52,5281351,0,0,0,Energetic
Kajar Bin Kari,Mohammed Rafi,/artist/mohammad-rafi,0.0,Bhojpuri,2002-01-05,0.51,0.436,0.707,0.257,-7.171,0.031,175.942,0,11,0.0646,4,50,4753806,0,0,0,Energetic
Hari Hari Aayal Maas Sawanwa,Urmila Srivastav,/artist/urmila-srivastav,0.0,Bhojpuri,2002-01-05,0.22,0.813,0.639,0.739,-10.97,0.0402,149.995,1,0,0.0432,4,34,5661572,0,0,0,Sad
Dulhania Banade Balmu,Asha Bhosle,/artist/asha-bhosle-1,0.0,Bhojpuri,2002-02-02,0.48,0.514,0.057,0.415,-6.887,0.08,173.991,0,10,0.0847,4,28,2532874,0,0,0,Sad
Najar Toy Hoy Gay Jigar Ke Paar,MUNNI DEVI,/artist/munni-devi,0.0,Bhojpuri,2002-02-06,0.58,0.7,0.941,0.763,-4.075,0.022,174.991,1,7,0.047,4,74,5022967,0,0,0,Energetic
Dekh Budhu Ke Man Mein Priti Jaagal,Alka Yagnik|Udit Narayan,/artist/alka-yagnik|/artist/udit-narayan,0.0,Bhojpuri,2002-03-03,0.71,0.328,0.891,0.166,-12.323,0.032,149.974,0,0,0.038,4,62,922346,0,0,0,Energetic
Jounpur Ki Masahuri,Ram Lautan Vishwakarma,/artist/ramlautan-vishwakarma-1,0.0,Bhojpuri,2002-03-05,0.83,0.692,0.902,0.652,-12.927,0.043,173.97,1,7,0.1,4,60,1543314,0,0,0,Happy
Jeth Mahinwa Ka Din Dupahriya,Alka Yagnik,/artist/alka-yagnik,0.0,Bhojpuri,2002-03-12,0.77,0.2,0.474,0.681,-13.931,0.099,175.036,1,0,0.08,4,69,7187409,0,0,0,Sad
Chaar Dina Kai Zindagani,Manna Dey,/artist/manna-dey,0.0,Bhojpuri,2002-04-04,0.39,0.94,0.601,0.654,-11.679,0.013,150.052,1,2,0.049,4,70,10675137,0,0,0,Sad
Bonde Bonde Na,Chandrani Mukherjee,/artist/chandrani-mukherjee,0.0,Bhojpuri,2002-06-03,0.1,0.233,0.018,0.705,-4.233,0.0784,149.904,1,9,0.021,4,46,3145674,0,0,0,Sad
Chhodi Gayil Re Raat Sejariya,Bharat Sharma Vyas,/artist/bharat-sharma-vyas,0.0,Bhojpuri,2002-06-04,0.8,0.948,0.639,0.965,-6.445,0.0272,174.038,0,8,0.008,4,86,10936932,0,0,0,Happy
Jiyaba Bhail Ji Ke Kaal,Sharda Sinha,/artist/sharda-sinha,0.0,Bhojpuri,2002-07-01,0.65,0.67,0.976,0.566,-6.22,0.0,175.023,0,9,0.0968,4,41,394360,0,0,0,Energetic
Maayi Re Maayi Meet Ro Ao Maayi,Usha Mangeshkar|Alka Yagnik,/artist/usha-mangeshkar-2|/artist/alka-yagnik,0.0,Bhojpuri,2002-07-05,0.34,0.68,0.416,0.701,-9.898,0.077,173.64,1,2,0.0395,4,69,3396935,0,0,0,Sad
Aptan Lagi Rahi,Sharda Sinha,/artist/sharda-sinha,0.0,Bhojpuri,2002-08-05,0.43,0.56,0.093,0.604,-11.667,0.03,174.018,1,9,0.0351,4,92,5702349,0,0,0,Sad
Jaunpur Kaand,HEERA LAL YADAV,/artist/heera-lal-yadav,0.0,Bhojpuri,2002-08-12,0.81,0.8,0.329,0.617,-12.291,0.06,150.005,0,5,0.05,4,68,9236826,0,0,0,Sad
Teeje Lachke Kamariya Re Sajani,Baleshwar|Sathi,/artist/baleshwar|/artist/sathi,0.0,Bhojpuri,2002-09-01,0.93,0.36,0.08,0.627,-5.522,0.02,155.017,0,6,0.05,4,55,5729469,0,0,0,Sad
Rang Barse Holi Ke Rang,KYUM AHMED,/artist/kyum-ahmed,0.0,Bhojpuri,2002-09-03,0.68,0.28,0.068,0.965,-2.734,0.017,150.023,1,1,0.0663,4,74,5642298,0,0,0,Sad
Aankh Se Aankh Milke,Suresh Wadkar|Alka Yagnik,/artist/suresh-wadkar|/artist/alka-yagnik,0.0,Bhojpuri,2002-09-05,0.46,0.809,0.13,0.143,-5.51,0.06,174.012,1,7,0.078,4,74,6047513,0,0,0,Sad
Phool Bagiya Ka,Asha Bhosle|Mohammed Rafi,/artist/asha-bhosle-1|/artist/mohammad-rafi,0.0,Bhojpuri,2002-09-05,0.06,0.268,0.34,0.333,-9.029,0.064,173.93,1,7,0.059,4,32,8896170,0,0,0,Sad
Jali Hai Nafrat Ki Aag Dil Men,Asha Bhosle,/artist/asha-bhosle-1,0.0,Bhojpuri,2002-10-05,0.1,0.8,0.713,0.361,-12.68,0.029,149.986,0,0,0.05,4,67,8346907,0,0,0,Sad
Na Jaani Ram Bindiyan Kahan Gir Gayee,Saira Bano Faizabadi,/artist/saira-bano-faizabadi-20,0.0,Bhojpuri,2002-10-12,0.05,0.608,0.601,0.527,-13.248,0.09,175.08,1,0,0.061,4,38,4977421,0,0,0,Sad
Shree Krishan Leela -Raas Leela,Bechan Ram Rajbhar|Sathi,/artist/bechan-ram-rajbhar|/artist/sathi,0.0,Bhojpuri,2002-12-01,0.6,0.902,0.744,0.062,-11.374,0.0,150.046,1,1,0.0,4,91,8867962,0,0,0,Happy
Mori Bhaujia Ke,Lata Mangeshkar|Usha Mangeshkar,/artist/lata-mangeshkar|/artist/usha-mangeshkar-2,0.0,Bhojpuri,2003-01-05,0.91,0.57,0.388,0.459,-7.835,0.045,172.044,1,1,0.02,4,87,8986937,0,0,0,Sad
Dog Mog Doli,Asha Bhosle|Mohammed Rafi,/artist/asha-bhosle-1|/artist/mohammad-rafi,0.0,Bhojpuri,2003-01-06,0.66,0.926,0.438,0.091,-11.211,0.053,174.016,1,1,0.008,4,95,4220802,0,0,0,Sad
Bhabi Jan Najaria Lag Jayegi,Joginder Singh,/artist/joginder-singh,0.0,Bhojpuri,2003-01-10,0.32,0.563,0.836,0.549,-10.667,0.039,174.971,0,8,0.016,4,87,4321940,0,0,0,Happy
Anjoriya Ae Gori,Suresh Wadkar|Alka Yagnik,/artist/suresh-wadkar|/artist/alka-yagnik,0.0,Bhojpuri,2003-01-12,0.73,0.128,0.491,0.348,-3.508,0.07,174.992,0,1,0.02,4,91,599275,0,0,0,Sad
Aeke Karvatiya Kari Sejiya Par Bhor,Bharat Sharma Vyas,/artist/bharat-sharma-vyas,0.0,Bhojpuri,2003-02-01,0.37,0.87,0.529,0.572,-10.617,0.04,173.983,0,1,0.075,4,50,727280,0,0,0,Sad
Ja Re Bahiniya Ban Ke Dulhiniyan,Hariharan,/artist/hariharan,0.0,Bhojpuri,2003-02-06,0.15,0.5,0.437,0.293,-7.494,0.08,148.099,0,10,0.07,4,85,423093,0,0,0,Sad
Samdhi Laye Hain Baraat,Jaspal Singh,/artist/jaspal-singh,0.0,Bhojpuri,2003-02-08,0.45,0.79,0.075,0.192,-5.183,0.012,149.978,0,2,0.0627,4,48,3804141,0,0,0,Sad
Sui Ke Chheda Mein Hathi,HEERA LAL YADAV,/artist/heera-lal-yadav,0.0,Bhojpuri,2003-02-11,0.04,0.513,0.675,0.683,-2.871,0.0858,150.066,0,7,0.0019,4,77,9393467,0,0,0,Energetic
Ae Doctor Babu,Dilraj Kaur|Mohammad Aziz,/artist/dilraj-kaur|/artist/mohammad-aziz,0.0,Bhojpuri,2003-03-04,0.44,0.18,0.072,0.903,-6.421,0.099,150.02,0,6,0.068,4,80,2757212,0,0,0,Sad
Dil Debe Na Hum,Asha Bhosle,/artist/asha-bhosle-1,0.0,Bhojpuri,2003-03-08,0.1,0.04,0.76,0.63,-4.977,0.03,149.984,0,1,0.039,4,75,2872941,0,0,0,Energetic
Satahi Ghorawa Suraj Dev,VINDHYAVASINI DEVI,/artist/vindhyavasini-devi,0.0,Bhojpuri,2003-03-11,0.31,0.51,0.816,0.881,-7.968,0.02,173.909,1,1,0.08,4,35,10275412,0,0,0,Sad
Kaam Nahi Kaaj,Asha Bhosle,/artist/asha-bhosle-1,0.0,Bhojpuri,2003-04-02,0.77,0.04,0.42,0.061,-10.659,0.08,149.943,0,5,0.0767,4,33,7520353,0,0,0,Sad
Babu Padhe Jaala,Baleshwar|Shanta Singh|Sathi,/artist/baleshwar|/artist/shanta-singh|/artist/sathi,0.0,Bhojpuri,2003-04-04,0.32,0.595,0.904,0.643,-2.8,0.0346,149.935,0,9,0.0,4,33,2897201,0,0,0,Energetic
Chham Se Bole Jhumka,Mohammad Aziz,/artist/mohammad-aziz,0.0,Bhojpuri,2003-04-09,0.26,0.92,0.226,0.292,-8.241,0.088,150.054,1,0,0.0815,4,32,3649828,0,0,0,Sad
Parichan Challi Sasu Suhagin,Sharda Sinha,/artist/sharda-sinha,0.0,Bhojpuri,2003-04-11,0.44,0.34,0.648,0.071,-12.374,0.0301,152.012,0,9,0.033,4,99,10728816,0,0,0,Sad
Ae Hamri Bhauji,Alka Yagnik|Kavita Krishnamurthy,/artist/alka-yagnik|/artist/kavita-subramaniam,0.0,Bhojpuri,2003-06-04,0.76,0.58,0.071,0.574,-2.668,0.037,150.009,1,2,0.0937,4,94,7919289,0,0,0,Sad
Launde Ghoomat Hai Laundiya Ke Saath,Yasmin Faizabadi,/artist/yasmin-faizabadi,0.0,Bhojpuri,2003-06-06,0.22,0.876,0.896,0.312,-3.645,0.04,149.972,0,6,0.065,4,29,2251185,0,0,0,Energetic
