song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood
Natvar Nanore Kanho Rame Chhe Mari Ked Man,ismail valera,/artist/ismail-valera,0.0,Gujarati,2000-01-03,0.02,0.078,0.265,0.774,-2.21,0.028,210.178,1,2,0.08,4,29,7502897,0,0,0,Sad
Tane Shoon Khabar,Asha Bhosle,/artist/asha-bhosle-1,0.0,Gujarati,2000-01-04,0.25,0.064,0.787,0.612,-10.875,0.0851,169.965,1,6,0.085,4,43,11272238,0,0,0,Energetic
Bhekh Leedho Peri,Hemant Chauhan,/artist/hemant-chauhan,0.0,Gujarati,2000-01-05,0.31,0.478,0.991,0.164,-4.4,0.028,205.946,1,11,0.011,4,33,4421654,0,0,0,Energetic
Poonam Ni Pyari Pyari Raat,Usha Mangeshkar,/artist/usha-mangeshkar-2,0.0,Gujarati,2000-01-09,0.49,0.09,0.03,0.54,-9.887,0.01,171.158,0,8,0.07,4,56,9647955,0,0,0,Sad
Aatla Utavla Thav,Asha Bhosle,/artist/asha-bhosle-1,0.0,Gujarati,2000-01-10,0.67,0.0,0.084,0.82,-4.023,0.058,146.044,0,5,0.0742,4,78,6593802,0,0,0,Sad
Hansla Halore,Lata Mangeshkar,/artist/lata-mangeshkar,0.0,Gujarati,2000-02-04,0.99,0.861,0.194,0.756,-2.472,0.0,141.959,0,9,0.07,4,45,6004492,0,0,0,Sad
Natvar Nano Re,Usha Mangeshkar|Veljibhai Gajjar|Chorus,/artist/usha-mangeshkar-2|/artist/veljibhai-gajjar|/artist/chorus,0.0,Gujarati,2000-02-07,0.1,0.258,0.707,0.951,-7.428,0.081,154.784,0,1,0.09,4,81,2058996,0,0,0,Happy
Ramnan Baan Vagyan - Lokgeet,Diwaliben Bhil|Praful  Dave|Chorus,/artist/diwaliben-bhil|/artist/praful-dave-1|/artist/chorus,0.0,Gujarati,2000-02-08,0.14,0.48,0.16,0.71,-12.736,0.031,149.994,0,8,0.052,4,65,3068557,0,0,0,Sad
Chal Mann Dur Dur Tirath Dham,Manna Dey|Chorus,/artist/manna-dey|/artist/chorus,0.0,Gujarati,2000-02-12,0.28,0.291,0.749,0.153,-2.854,0.0068,136.006,0,4,0.0023,4,65,9179350,0,0,0,Energetic
Hey Mara Hiragar Morla,Damyanti Bardai,/artist/damyanti-bardai,0.0,Gujarati,2000-03-06,0.38,0.525,0.115,0.386,-5.642,0.0049,139.991,0,9,0.031,4,31,4550514,0,0,0,Sad
Vagher Mare Chhe Lathina Maar,Mahendra Kapoor|Chorus,/artist/mahendra-kapoor|/artist/chorus,0.0,Gujarati,2000-03-08,0.48,0.09,0.272,0.71,-2.395,0.02,160.016,0,3,0.05,4,73,2713672,0,0,0,Sad
Jogi Bajrang Jatalo,Hemant Chauhan,/artist/hemant-chauhan,0.0,Gujarati,2000-04-03,0.14,0.17,0.683,0.84,-5.245,0.009,105.992,1,1,0.07,4,73,7100206,0,0,0,Sad
Aeva Re Mul Veenanun Kaya Zadvun,Ramjibhai Thalakiya Mafatlal,/artist/ramjibhai-thalakiya-mafatlal,0.0,Gujarati,2000-04-06,0.66,0.2,0.005,0.17,-5.338,0.07,145.148,1,0,0.0634,4,83,346055,0,0,0,Sad
Paheli Paheli Raat Rasiya,Asha Bhosle|Mahendra Kapoor,/artist/asha-bhosle-1|/artist/mahendra-kapoor,0.0,Gujarati,2000-04-10,0.29,0.64,0.715,0.84,-11.064,0.079,145.054,1,1,0.0,4,61,6978375,0,0,0,Energetic
Vehleri Vaar Karje Part-1,Usha Mangeshkar,/artist/usha-mangeshkar-2,0.0,Gujarati,2000-05-04,0.19,0.83,0.164,0.95,-4.847,0.047,150.007,0,8,0.02,4,48,1492603,0,0,0,Sad
Piyu Aavo Urma Samavo,Rajul Mehta,/artist/rajul-mehta,0.0,Gujarati,2000-05-05,0.05,0.53,0.356,0.4,-5.533,0.0364,128.014,0,8,0.0478,4,30,5647908,0,0,0,Sad
Naath Kaise Narsinh Roop,Hemant Chauhan,/artist/hemant-chauhan,0.0,Gujarati,2000-05-06,0.55,0.72,0.337,0.19,-11.844,0.056,148.007,0,6,0.0145,4,99,9765774,0,0,0,Sad
Ajanya Utare Utarva Kaho Na,Jay Shree Shivram,/artist/jay-shree-shivram,0.0,Gujarati,2000-05-09,0.91,0.338,0.0,0.636,-6.9,0.04,149.127,0,6,0.0682,4,98,6819144,0,0,0,Sad
Pela Pela Jugman Rani,Hemu Gadhvi|Dina Gandharva,/artist/hemu-gadhvi|/artist/dina-gandharva,0.0,Gujarati,2000-05-10,0.1,0.92,0.81,0.67,-7.192,0.0176,139.9,1,7,0.01,4,70,11376690,0,0,0,Happy
Khamma Mara Nandjinalal,Hemu Gadhvi,/artist/hemu-gadhvi,0.0,Gujarati,2000-05-12,0.05,0.013,0.202,0.416,-4.793,0.0171,150.004,1,5,0.049,4,43,8419817,0,0,0,Sad
Mara Sona Sonala,Rampyari,/artist/rampyari-1,0.0,Gujarati,2000-06-01,0.63,0.11,0.134,0.36,-12.005,0.05,137.979,0,0,0.0455,4,55,2206282,0,0,0,Sad
Hali Aav Hali Aav Talavadini Pale Pale,Praful  Dave|Usha Mangeshkar,/artist/praful-dave-1|/artist/usha-mangeshkar-2,0.0,Gujarati,2000-06-02,0.21,0.355,0.676,0.814,-7.928,0.075,120.0,0,5,0.089,4,62,7514091,0,0,0,Sad
He Sarjanhara,Mukesh,/artist/mukesh,0.0,Gujarati,2000-08-04,0.46,0.211,0.369,0.713,-2.734,0.07,114.881,0,0,0.0877,4,85,7525598,0,0,0,Sad
Saheb Ko Sambharunga,Pranlal Vyas,/artist/pranlal-vyas,0.0,Gujarati,2000-08-06,0.41,0.435,0.739,0.901,-12.887,0.0121,152.917,1,1,0.07,4,32,10925649,0,0,0,Sad
Raakhna Ramakda Ame,Jaisingh Dave|Subhash Vora,/artist/jaisingh-dave|/artist/subhash-vora,0.0,Gujarati,2000-08-06,0.28,0.35,0.85,0.07,-5.769,0.02,119.965,1,1,0.0185,4,48,9028238,0,0,0,Sad
Sachun Re Bol,Asha Bhosle|Mahendra Kapoor,/artist/asha-bhosle-1|/artist/mahendra-kapoor,0.0,Gujarati,2000-08-07,0.8,0.536,0.481,0.409,-3.608,0.031,199.992,1,7,0.009,4,38,1634881,0,0,0,Sad
Jhole Jobaniyu Aaj,Deepak Kumar Pandit,/artist/deepak-kumar-pandit,0.0,Gujarati,2000-08-08,0.61,0.407,0.639,0.149,-10.831,0.032,140.048,1,8,0.1,4,43,656725,0,0,0,Sad
Mane Melo Game Sajan Bhelo Game,Arvind Barot|Meena Patel|Praful  Dave,/artist/arvind-barot|/artist/meena-patel|/artist/praful-dave-1,0.0,Gujarati,2000-09-04,0.59,0.79,0.116,0.78,-3.976,0.01,142.02,1,6,0.033,4,91,8159521,0,0,0,Sad
Tari Murli Re Vagi Kanhaiya,Uttara Kelkar,/artist/uttara-kelkar,0.0,Gujarati,2000-09-06,0.75,0.493,0.169,0.756,-11.338,0.08,163.043,1,2,0.0,4,94,3675712,0,0,0,Sad
Gokuliyan Maan Raat Padi,Purshotam Upadhyay,/artist/purshotam-upadhyay,0.0,Gujarati,2000-09-10,0.12,0.11,0.79,0.45,-2.966,0.06,161.984,0,4,0.036,4,58,2206195,0,0,0,Energetic
Taro Jai Jaikar,Karsandas Sagathia|Chorus,/artist/karsandas-sagathia|/artist/chorus,0.0,Gujarati,2000-10-01,0.91,0.199,0.488,0.604,-10.26,0.06,130.003,1,0,0.04,4,86,3477606,0,0,0,Happy
Guruji Ne Kyan Gotun,Arvind Barot|Meena Patel,/artist/arvind-barot|/artist/meena-patel,0.0,Gujarati,2000-10-08,0.37,0.473,0.498,0.322,-8.86,0.08,135.976,0,11,0.04,4,86,3975847,0,0,0,Happy
Badlai Gayo Jamano,Mahendra Kapoor|Preeti Sagar,/artist/mahendra-kapoor|/artist/preeti-sagar,0.0,Gujarati,2000-10-09,0.39,0.052,0.062,0.189,-10.488,0.0253,141.075,0,11,0.0401,4,100,828970,0,0,0,Sad
Pagalino Paadnaar,Neelam Sahni,/artist/neelam-sahni,0.0,Gujarati,2000-10-12,0.61,0.4,0.848,0.33,-4.604,0.094,204.068,1,10,0.031,4,62,3073250,0,0,0,Energetic
Jhuki Nathi Ne Jhukse Nai,Praful  Dave|Chorus,/artist/praful-dave-1|/artist/chorus,0.0,Gujarati,2000-11-01,0.8,0.79,0.674,0.467,-12.609,0.03,192.008,1,0,0.0708,4,46,4706025,0,0,0,Happy
Eem To Jawayna Pt. 1,Lata Mangeshkar,/artist/lata-mangeshkar,0.0,Gujarati,2000-11-04,0.02,0.17,0.157,0.39,-4.112,0.09,140.065,0,7,0.06,4,100,2903931,0,0,0,Sad
Saat Saat Benadi,Harshada Rawal|Forum Desai|Chorus,/artist/harshada-rawal|/artist/forum-desai|/artist/chorus,0.0,Gujarati,2000-11-05,0.61,0.857,0.652,0.418,-7.044,0.049,140.037,1,1,0.0,4,90,5877138,0,0,0,Happy
Javun Hoye To Ja,Alka Yagnik|Chorus,/artist/alka-yagnik|/artist/chorus,0.0,Gujarati,2000-11-12,0.98,0.51,0.396,0.33,-4.147,0.0862,128.007,1,6,0.0509,4,97,544843,0,0,0,Sad
Ek Parevadani Jod Hati,Praful  Dave,/artist/praful-dave-1,0.0,Gujarati,2000-12-01,0.5,0.901,0.886,0.103,-13.309,0.0552,150.017,1,1,0.0636,4,47,235112,0,0,0,Energetic
Naach Re Gori Naach,Alka Yagnik|Manzoor Husain,/artist/alka-yagnik|/artist/manzoor-husain,0.0,Gujarati,2000-12-09,0.08,0.56,0.57,0.16,-10.688,0.0741,125.025,1,0,0.03,4,43,8632652,0,0,0,Sad
Neendar Bhari Re,Asha Bhosle,/artist/asha-bhosle-1,0.0,Gujarati,2001-01-01,0.03,0.85,0.71,0.72,-5.665,0.055,132.311,0,0,0.064,4,77,1705679,0,0,0,Energetic
Aaj Mare Anandno Aparampar,Usha Mangeshkar|Chorus,/artist/usha-mangeshkar-2|/artist/chorus,0.0,Gujarati,2001-01-05,0.16,0.056,0.331,0.239,-6.338,0.0794,179.958,0,5,0.0275,4,27,6016188,0,0,0,Sad
Karmano Sangathi Rana Tare,Mahendra Kapoor,/artist/mahendra-kapoor,0.0,Gujarati,2001-01-05,0.5,0.38,0.71,0.18,-8.29,0.0268,119.62,1,2,0.1,4,25,8106433,0,0,0,Sad
Maa Tane Khamma Khamma - Rajkumari,Rajkumari,/artist/rajkumari,0.0,Gujarati,2001-01-07,0.25,0.861,0.793,0.463,-3.198,0.083,133.999,1,7,0.06,4,42,2589102,0,0,0,Energetic
Mata Randal Aavone,Suman Kalyanpur,/artist/suman-kalyanpur,0.0,Gujarati,2001-01-08,0.75,0.13,0.78,0.32,-9.864,0.0435,179.883,0,6,0.04,4,81,3094434,0,0,0,Happy
Mare Todle Betho - Re Mor,Diwaliben Bhil,/artist/diwaliben-bhil,0.0,Gujarati,2001-01-08,0.38,0.89,0.76,0.44,-5.064,0.052,148.964,0,6,0.09,4,61,6473350,0,0,0,Energetic
Krishna Bhagwan Chalya Dwarka,Praful  Dave|Damyanti Bardai,/artist/praful-dave-1|/artist/damyanti-bardai,0.0,Gujarati,2001-01-09,0.14,0.542,0.955,0.759,-3.166,0.04,201.912,0,2,0.05,4,60,4396623,0,0,0,Energetic
Satna Re Parkhan,Mahendra Kapoor,/artist/mahendra-kapoor,0.0,Gujarati,2001-01-10,0.37,0.21,0.606,0.36,-10.221,0.042,149.993,1,5,0.06,4,31,316229,0,0,0,Sad
Lagyo Chundiye Rang Lagyo,Asha Bhosle|Praful  Dave|Chorus,/artist/asha-bhosle-1|/artist/praful-dave-1|/artist/chorus,0.0,Gujarati,2001-01-11,0.67,0.52,0.227,0.98,-3.108,0.048,104.074,0,8,0.0,4,81,7505128,0,0,0,Sad
