song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood
Chhediyalya Tara,Dr. Vasantrao Deshpande,/artist/dr-vasantrao-deshpande-1,0.0,Marathi,2000-01-04,0.16,0.72,0.124,0.799,-13.063,0.097,127.998,1,1,0.05,4,45,3534344,0,0,0,Sad
Jhe Mama Jhe Jhe,Shakuntala,/artist/shakuntala,0.0,Marathi,2000-01-09,0.84,0.42,0.761,0.361,-3.712,0.032,145.977,0,5,0.03,4,66,3786242,0,0,0,Happy
Arth Shoonya Bhase Maj Ha,Ashalata Vabgaokar,/artist/ashalata-vabgaokar,0.0,Marathi,2000-01-12,0.43,0.88,0.583,0.412,-6.22,0.0693,135.978,0,11,0.03,4,26,3456132,0,0,0,Energetic
Haslis Ka Ga Phulrani,Jayamala Shiledar,/artist/jayamala-shiledar,0.0,Marathi,2000-01-12,0.62,0.54,0.849,0.44,-3.035,0.03,130.988,1,0,0.093,4,43,5061994,0,0,0,Energetic
Mana Manav Va Parmeshwar,Sudhir Phadke,/artist/sudhir-phadke,0.0,Marathi,2000-02-01,0.11,0.879,0.434,0.896,-6.637,0.0069,129.968,1,7,0.021,4,29,7143839,0,0,0,Sad
Mala London Foreign Dakhwa,Sulochana Chavan,/artist/sulochana-chavan,0.0,Marathi,2000-02-02,0.52,0.73,0.211,0.555,-11.812,0.041,140.014,1,2,0.046,4,85,370618,0,0,0,Sad
Gaya Saat Paach Nari,Veena Bamne,/artist/veena-bamne,0.0,Marathi,2000-02-06,0.38,0.905,0.451,0.029,-2.563,0.0698,139.989,1,3,0.1,4,38,1146339,0,0,0,Sad
Tula Na Kalale,Asha Bhosle|Sudhir Phadke,/artist/asha-bhosle-1|/artist/sudhir-phadke,0.0,Marathi,2000-02-07,0.67,0.959,0.972,0.967,-12.736,0.06,139.999,1,1,0.022,4,76,7054252,0,0,0,Energetic
Shree Shanimatmay Pathan  Shree Shanimatmay Pathan Shanichya Sadesatimadhye 23 Hazaar Bela    Shanicha Nityapaath,Dr. C.G. Desai,/artist/dr-cg-desai,0.0,Marathi,2000-02-10,0.61,0.78,0.421,0.925,-11.997,0.009,148.042,1,11,0.0366,4,84,1634461,0,0,0,Sad
Dhav Paav Satvari Vandite-Santoshi Mata,Aparna Mayekar,/artist/aparna-mayekar,0.0,Marathi,2000-03-01,0.47,0.58,0.81,0.912,-4.821,0.0074,139.988,1,1,0.0868,4,40,9497695,0,0,0,Sad
Chhappanachi Vijayadashmi,Krishna Shinde,/artist/krishna-shinde,0.0,Marathi,2000-03-01,0.91,0.45,0.601,0.587,-10.508,0.03,137.984,1,9,0.079,4,100,7885341,0,0,0,Happy
Ithe Ishkacha Bharala Darbar,Asha Bhosle,/artist/asha-bhosle-1,0.0,Marathi,2000-03-02,0.08,0.916,0.383,0.918,-13.842,0.0672,146.039,0,11,0.0509,4,86,1941775,0,0,0,Sad
Jethuni Udgar Prasave,Sharad Jambhekar,/artist/sharad-jambhekar,0.0,Marathi,2000-03-07,0.71,0.34,0.724,0.724,-3.142,0.08,138.003,1,0,0.0321,4,65,4578114,0,0,0,Energetic
Sakhar Zopemadi Me Asata,Mahendra Kapoor|Usha Mangeshkar,/artist/mahendra-kapoor|/artist/usha-mangeshkar-2,0.0,Marathi,2000-03-08,0.6,0.304,0.422,0.344,-9.865,0.0392,132.017,0,6,0.0956,4,43,1813817,0,0,0,Sad
Neej Re Neej Shivraya,Lata Mangeshkar|Chorus,/artist/lata-mangeshkar|/artist/chorus,0.0,Marathi,2000-03-08,0.86,0.869,0.33,0.175,-6.887,0.0432,130.031,1,1,0.03,4,52,4973077,0,0,0,Sad
Are Kondala Kondala - Bhajan,Chandrashekhar Gadgil,/artist/chandrashekhar-gadgil,0.0,Marathi,2000-03-08,0.16,0.23,0.51,0.898,-5.629,0.0552,125.998,0,2,0.037,4,74,6625958,0,0,0,Sad
Tula Baghun Padar Majha Padto,Asha Bhosle,/artist/asha-bhosle-1,0.0,Marathi,2000-04-01,0.11,0.88,0.306,0.617,-12.686,0.082,142.0,1,7,0.03,4,77,8379612,0,0,0,Sad
Hari Bhajnavin,Dashrath Pujari,/artist/dashrath-pujari,0.0,Marathi,2000-04-03,0.36,0.037,0.78,0.586,-7.836,0.09,145.013,1,7,0.04,4,63,6311975,0,0,0,Happy
Tuzya Galat Hastaya Kahin,Usha Mangeshkar|Ravindra Sathe,/artist/usha-mangeshkar-2|/artist/ravindra-sathe,0.0,Marathi,2000-04-04,0.07,0.27,0.755,0.09,-2.083,0.058,145.02,1,4,0.02,4,59,5481363,0,0,0,Energetic
Vajal Hi Chugalkhor Bangdi,Sulochana Chavan,/artist/sulochana-chavan,0.0,Marathi,2000-04-04,0.86,0.243,0.966,0.876,-11.386,0.01,138.008,1,11,0.04,4,81,4049388,0,0,0,Happy
Aandhala Marto Dola,Mohammed Salamat,/artist/mohammed-salamat,0.0,Marathi,2000-04-05,0.11,0.56,0.024,0.86,-4.215,0.053,137.213,1,7,0.0,4,34,1560924,0,0,0,Sad
Dev Devharyat Nahi,Sudhir Phadle,/artist/sudhir-phadle-2,0.0,Marathi,2000-04-06,0.62,0.42,0.325,0.299,-9.185,0.09,131.732,1,7,0.027,4,93,10892069,0,0,0,Sad
Lagli Hori Go Bandar Kinari,Damodar Vitawkar|Chorus,/artist/damodar-vitawkar|/artist/chorus,0.0,Marathi,2000-04-08,0.76,0.48,0.142,0.304,-3.942,0.08,144.004,1,8,0.071,4,73,11193835,0,0,0,Sad
Kaanta Vanchita,Prakash Ghangrekar,/artist/prakash-ghangrekar,0.0,Marathi,2000-04-08,0.2,0.44,0.28,0.349,-2.063,0.08,147.994,1,7,0.073,4,58,6578987,0,0,0,Sad
Darya Bharla- 1,Arun Jangale|Shakuntala Jadhav,/artist/arun-jangale|/artist/shakuntala-jadhav,0.0,Marathi,2000-04-08,0.02,0.73,0.725,0.281,-9.048,0.0969,150.016,1,7,0.0492,4,55,7447700,0,0,0,Energetic
Samadhi Sadhan,Sudhir Phadke,/artist/sudhir-phadke,0.0,Marathi,2000-04-09,0.91,0.17,0.801,0.376,-11.153,0.005,139.963,1,7,0.04,4,62,1447869,0,0,0,Happy
Chandra Nabhi Nako Ugavu,Nalini Mulgaonkar,/artist/nalini-mulgaonkar-7,0.0,Marathi,2000-04-11,0.27,0.471,0.441,0.057,-13.227,0.02,139.991,0,11,0.0385,4,32,6352385,0,0,0,Sad
Asacha Hota Manat Maza,Suresh Wadkar|Anuradha Paudwal,/artist/suresh-wadkar|/artist/anuradha-paudwal-2,0.0,Marathi,2000-04-11,0.37,0.91,0.606,0.204,-3.838,0.1,128.027,1,2,0.0704,4,72,4505094,0,0,0,Energetic
Hataat Batli,Anand Shinde,/artist/anand-shinde,0.0,Marathi,2000-04-12,0.4,0.68,0.796,0.623,-4.014,0.041,138.002,1,7,0.019,4,74,1901908,0,0,0,Energetic
Adhikari,Vaman Kardak,/artist/vaman-kardak,0.0,Marathi,2000-04-12,0.67,0.95,0.61,0.009,-6.269,0.06,133.954,1,10,0.02,4,55,2727492,0,0,0,Energetic
Kasa Daltana Vaattay,Asha Bhosle|Jaywant Kulkarni,/artist/asha-bhosle-1|/artist/jaywant-kukarni,0.0,Marathi,2000-05-01,0.28,0.194,0.584,0.442,-6.949,0.032,147.989,1,2,0.097,4,80,1147789,0,0,0,Sad
Bhural Kashi Padli,Manohar Golambare,/artist/manohar-golambare,0.0,Marathi,2000-05-07,0.21,0.913,0.814,0.65,-3.646,0.0494,136.034,0,11,0.06,4,42,3082687,0,0,0,Energetic
Tuzye Dashya Karu,Pandit Marutibua Bagde,/artist/pandit-marutibua-bagde,0.0,Marathi,2000-05-08,0.44,0.422,0.728,0.832,-2.662,0.04,134.973,1,7,0.067,4,53,4277720,0,0,0,Energetic
Ya Bhavanatil Geet Purane,Dr. Vasantrao Deshpande,/artist/dr-vasantrao-deshpande-1,0.0,Marathi,2000-05-09,0.46,0.18,0.634,0.845,-12.614,0.021,137.956,1,8,0.0067,4,61,9450937,0,0,0,Sad
Konyat Zopali Satar,Faiyyaz,/artist/faiyyaz,0.0,Marathi,2000-05-10,0.8,0.05,0.525,0.572,-7.77,0.064,135.951,0,5,0.02,4,79,5257215,0,0,0,Happy
Nimbonichya Zadamaage,Suman Kalyanpur,/artist/suman-kalyanpur,0.0,Marathi,2000-06-03,0.77,0.029,0.155,0.376,-5.357,0.0103,137.989,0,10,0.0021,4,61,7088018,0,0,0,Sad
Ghalin Lotangan Vandin Charan,Milind Shinde,/artist/milind-shinde,0.0,Marathi,2000-06-09,0.53,0.53,0.557,0.048,-10.181,0.0339,139.683,1,1,0.031,4,38,8109651,0,0,0,Sad
