song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood
Kemiti Kahibi Tate,Sushree Sangeeta Mahapatra,/artist/sushree-sangeeta-mahapatra-4,0.0,Odia,2000-01-04,0.4,0.275,0.538,0.059,-10.767,0.0878,171.994,1,1,0.05,4,45,7219817,0,0,0,Sad
Kalia Tu Mohania,Anuradha Paudwal,/artist/anuradha-paudwal-2,0.0,Odia,2000-01-07,0.73,0.72,0.784,0.472,-11.512,0.06,174.0,0,8,0.086,4,60,10794468,0,0,0,Happy
Tuma Gaan Mahu Machhi,Pranab Kishore Patnaik,/artist/pranab-kishore-patnaik,0.0,Odia,2000-02-06,0.29,0.2,0.241,0.454,-5.795,0.051,174.046,1,0,0.03,4,88,2197863,0,0,0,Sad
Niramala Bhaba,Akshaya Mohanty,/artist/akshaya-mohanty,0.0,Odia,2000-03-06,0.61,0.943,0.109,0.229,-7.008,0.01,174.009,1,2,0.1,4,98,8905330,0,0,0,Sad
Ajana Ei Naee,Bhikari Bal,/artist/bhikari-bal-1,0.0,Odia,2000-03-11,0.01,0.225,0.291,0.363,-9.496,0.072,175.175,0,4,0.07,4,95,10550332,0,0,0,Sad
Aeba Bali,Babloo|Sasmita,/artist/babloo|/artist/sasmita,0.0,Odia,2000-04-08,0.07,0.725,0.197,0.239,-11.43,0.08,174.011,1,8,0.048,4,76,7582315,0,0,0,Sad
Nindita Chandana Bindu,Bhubaneswari Mishra,/artist/bhubaneswari-mishra,0.0,Odia,2000-04-09,0.71,0.51,0.404,0.151,-5.008,0.0442,173.966,1,1,0.05,4,37,3783448,0,0,0,Sad
Andhara Khanjani,Anuradha Paudwal,/artist/anuradha-paudwal-2,0.0,Odia,2000-05-03,0.99,0.861,0.162,0.86,-3.077,0.0195,172.021,0,1,0.0443,4,86,1522126,0,0,0,Sad
Nilamaya Hey,Anuradha Paudwal,/artist/anuradha-paudwal-2,0.0,Odia,2000-05-10,0.47,0.629,0.532,0.236,-7.317,0.078,170.008,0,10,0.009,4,86,10524872,0,0,0,Sad
Mora Joga Puri Khe,Swagatika,/artist/swagatika,0.0,Odia,2000-05-12,0.46,0.341,0.162,0.104,-10.354,0.088,175.835,0,11,0.0513,4,83,3224741,0,0,0,Sad
Gopapura Chhadi Kanhu,Srikanta Das,/artist/srikanta-das,0.0,Odia,2000-07-03,0.35,0.34,0.067,0.433,-10.202,0.069,174.021,0,5,0.02,4,88,8897469,0,0,0,Sad
E Priyatama,Sekhar Ghosh|Subash Das|Kumudini Mishra,/artist/sekhar-ghosh|/artist/subash-das-1|/artist/kumudini-mishra-2,0.0,Odia,2000-07-06,0.94,0.492,0.81,0.787,-4.5,0.01,174.982,1,0,0.027,4,67,6308377,0,0,0,Happy
Sri Suka Ubacha,Anuradha Paudwal,/artist/anuradha-paudwal-2,0.0,Odia,2000-08-06,0.4,0.4,0.24,0.309,-3.491,0.058,175.128,1,0,0.026,4,34,811594,0,0,0,Sad
Tuhi Ma Biraja,Bhubaneshwari Mishra,/artist/bhubaneshwari-mishra-36,0.0,Odia,2000-08-10,0.06,0.03,0.379,0.572,-9.855,0.038,175.003,0,5,0.034,4,85,10590987,0,0,0,Sad
Bagichhara Na Tini Konia,Akshaya Mohanty|Geeta Das,/artist/akshaya-mohanty|/artist/geeta-das,0.0,Odia,2000-08-11,0.21,0.451,0.601,0.41,-3.942,0.0586,174.992,1,2,0.025,4,91,4387886,0,0,0,Energetic
Gharatie Vadha Neba,Mohd. Amjad|Jostna Das,/artist/mohd-amjad|/artist/jostna-das,0.0,Odia,2000-09-08,0.03,0.8,0.09,0.813,-12.653,0.0393,174.022,0,6,0.045,4,72,4623057,0,0,0,Sad
Suna Bainshi,Pritinanda Rout Ray,/artist/pritinanda-rout-ray,0.0,Odia,2000-09-12,0.67,0.37,0.006,0.533,-13.31,0.0894,174.019,0,8,0.01,4,63,4999185,0,0,0,Sad
Asa Pura Kamini,P. Susheela,/artist/p-suseela-2,0.0,Odia,2000-10-06,0.76,0.726,0.705,0.335,-2.278,0.014,173.898,1,1,0.0137,4,90,11258061,0,0,0,Energetic
