song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood
Ghumar Ghumar Ghar Aave,Mehdi Hassan,/artist/mehdi-hassan,0.0,Rajasthani,2000-04-02,0.56,0.456,0.258,0.33,-4.869,0.05,122.214,0,11,0.021,4,96,1120012,0,0,0,Sad
Kulakhna Ki Raand,Rehana Mirza|Shamim|Om Pawar|Shiv Ram|Master Alauddin|Shobha Purohitanand Kuar,/artist/rehana-mirza|/artist/shamim|/artist/om-pawar|/artist/shiv-ram|/artist/master-alauddin-8|/artist/shobha-purohitanand-kuar-4,0.0,Rajasthani,2000-04-03,0.18,0.788,0.661,0.801,-5.751,0.01,178.934,0,2,0.0343,4,53,9219020,0,0,0,Sad
Kagaliya Gero Gero Boleni Re,Mamta Singh,/artist/mamta-singh,0.0,Rajasthani,2000-04-07,0.22,0.897,0.015,0.145,-8.152,0.075,193.155,1,10,0.066,4,36,8178262,0,0,0,Sad
Bol Panchhira Re,Baby Farida|Dalpat Dangi|Gori Munni|Nasim Khan|Pramod Mathur|Rehana Mirza,/artist/baby-farida|/artist/dalpat-dangi|/artist/gori-munni|/artist/nasim-khan|/artist/pramod-mathur|/artist/rehana-mirza,0.0,Rajasthani,2000-04-09,0.47,0.58,0.389,0.99,-7.263,0.04,175.088,1,4,0.0251,4,61,3975643,0,0,0,Sad
Aaijo Bind Raja,Kaluram Prajapati,/artist/kaluram-prajapati,0.0,Rajasthani,2000-07-05,0.52,0.99,0.394,0.81,-5.282,0.03,114.662,1,2,0.038,4,38,1111327,0,0,0,Sad
Kanooda Thari Re Mhane Yaad Satave,Moolchand Maroo,/artist/moolchand-maroo-13,0.0,Rajasthani,2000-07-08,0.99,0.61,0.876,0.23,-8.764,0.087,187.887,1,7,0.09,4,46,10278308,0,0,0,Happy
Thari Puja Kara Maa,Chandrani Mukherjee,/artist/chandrani-mukherjee,0.0,Rajasthani,2000-09-08,0.91,0.21,0.702,0.43,-2.641,0.0376,200.074,1,1,0.0573,4,32,5154028,0,0,0,Energetic
Moria,Shamim Khan|Gopal Lal Vohra,/artist/shamim-khan|/artist/gopal-lal-vohra,0.0,Rajasthani,2000-12-08,0.52,0.38,0.344,0.745,-6.9,0.022,166.051,1,1,0.03,4,63,466010,0,0,0,Sad
He Tange Wala Bhaya,Sayeeda Begum,/artist/sayeeda-begum,0.0,Rajasthani,2001-01-07,0.44,0.26,0.362,0.59,-3.333,0.02,162.065,1,6,0.086,4,55,5253345,0,0,0,Sad
Chhamak Chhallo Naam,Kaluram Prajapati,/artist/kaluram-prajapati,0.0,Rajasthani,2001-01-08,0.56,0.082,0.358,0.023,-2.273,0.097,132.025,1,9,0.01,4,89,1329453,0,0,0,Sad
