song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood
Yae Paadal Ondru,Pradeep|Saindhavi,/artist/pradeep|/artist/saindhavi,0.0,Tamil,2000-01-02,0.59,0.91,0.372,0.18,-12.055,0.045,164.06,1,1,0.0454,4,90,7241453,0,0,0,Sad
Vaa Endradhu,P. Susheela,/artist/p-suseela-2,0.0,Tamil,2000-01-02,0.26,0.02,0.493,0.1,-3.484,0.0054,159.538,1,11,0.09,4,87,4675497,0,0,0,Sad
Senorita,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Tamil,2000-01-06,0.61,0.35,0.422,0.3,-9.679,0.0327,179.982,1,1,0.03,4,58,1463790,0,0,0,Sad
Omanthingal,Unni Menon,/artist/unni-menon,0.0,Tamil,2000-01-08,0.24,0.008,0.531,0.465,-13.763,0.0427,136.049,0,5,0.07,4,75,10998903,0,0,0,Sad
Kadellam Thedi ? Aarabi,M.L.Vasanthakumari,/artist/mlvasanthakumari-1,0.0,Tamil,2000-01-11,0.97,0.349,0.524,0.464,-10.521,0.046,155.025,1,8,0.0387,4,72,839948,0,0,0,Sad
Katcherika,S. Janaki,/artist/s-janaki,0.0,Tamil,2000-02-02,0.99,0.48,0.247,0.603,-3.838,0.0,140.141,1,9,0.0707,4,69,6617962,0,0,0,Sad
Kodi Kodi,Pitthukuli Murugadas,/artist/pitthukuli-murugadas,0.0,Tamil,2000-02-03,1.0,0.95,0.499,0.4,-11.36,0.024,119.992,1,1,0.06,4,60,4743008,0,0,0,Happy
Vizhiyae Vizhiyae,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,0.0,Tamil,2000-02-04,0.77,0.742,0.68,0.531,-5.872,0.07,129.964,1,10,0.014,4,34,5418611,0,0,0,Energetic
Yea Annaa (Ethuvarai Avaludan Aadave),Manorama|L.R. Eswari,/artist/manorama|/artist/lr-eswari-2,0.0,Tamil,2000-02-08,0.55,0.372,0.686,0.186,-11.549,0.0139,109.971,1,1,0.07,4,43,8625426,0,0,0,Sad
Maariyamma Maariyamma,Ramani|T. L. Maharajan,/artist/ramani|/artist/t-l-maharajan-1,0.0,Tamil,2000-02-08,0.15,0.842,0.571,0.853,-10.225,0.05,155.067,0,10,0.0305,4,42,432642,0,0,0,Sad
Jigu Jiguchang Kannadi,Malaysia Vasudevan|S. P. Sailaja,/artist/malaysia-vasudevan|/artist/s-p-sailaja-2,0.0,Tamil,2000-02-12,0.39,0.89,0.825,0.5,-11.164,0.01,203.92,1,6,0.023,4,25,11346559,0,0,0,Sad
Kondai Oru Pakkam,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,0.0,Tamil,2000-03-01,0.24,0.508,0.05,0.347,-6.82,0.0435,160.047,0,4,0.039,4,42,263286,0,0,0,Sad
Kadan Vaangi,Malaysia Vasudevan,/artist/malaysia-vasudevan,0.0,Tamil,2000-03-04,0.95,0.65,0.423,0.364,-12.688,0.05,184.566,1,1,0.091,4,29,154710,0,0,0,Sad
Vedham Nee Iniya,K J Yesudas,/artist/k-j-yesudas,0.0,Tamil,2000-03-11,0.37,0.96,0.543,0.6,-12.915,0.09,143.078,1,0,0.055,4,46,7399770,0,0,0,Sad
Lakshmi Padmavathi,T.M. Soundararajan|Rajkumar Bharathi,/artist/tm-soundararajan|/artist/rajkumar-bharathi,0.0,Tamil,2000-04-01,0.86,0.97,0.563,0.9,-9.586,0.0756,111.001,1,6,0.0675,4,33,798848,0,0,0,Sad
Muthu Sirithathu,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,0.0,Tamil,2000-04-03,0.89,0.83,0.287,0.1,-12.524,0.046,167.106,0,0,0.082,4,35,4869022,0,0,0,Sad
Lilly Malarukku,T M S Selvakumar,/artist/t-m-s-selvakumar,0.0,Tamil,2000-04-03,0.09,0.022,0.83,0.018,-4.209,0.089,184.494,1,2,0.03,4,69,10621852,0,0,0,Energetic
Devathi Devar Ellam,Malaysia Vasudevan,/artist/malaysia-vasudevan,0.0,Tamil,2000-04-05,0.86,0.23,0.174,0.021,-13.995,0.0124,115.926,1,1,0.0933,4,48,7144125,0,0,0,Sad
Oru Koppaiyile,T.M. Soundararajan,/artist/tm-soundararajan,0.0,Tamil,2000-04-06,0.52,0.341,0.173,0.323,-10.664,0.0495,160.033,1,2,0.02,4,47,3896143,0,0,0,Sad
Poo Ondru Valarthen,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Tamil,2000-04-09,0.48,0.986,0.049,0.488,-5.981,0.05,156.052,1,8,0.0718,4,47,1977846,0,0,0,Sad
Pani Illatha,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,0.0,Tamil,2000-04-12,0.03,0.132,0.965,0.296,-8.964,0.0993,162.894,1,1,0.06,4,88,5076606,0,0,0,Energetic
Kadhal Raani,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Tamil,2000-05-01,0.95,0.691,0.39,0.062,-8.396,0.03,185.77,0,7,0.012,4,64,10632821,0,0,0,Sad
Thai Sathiyam,S. P. Balasubrahmanyam|Chorus,/artist/s-p-balasubrahamanyam|/artist/chorus,0.0,Tamil,2000-05-03,0.36,0.33,0.067,0.1,-6.582,0.0431,180.88,0,0,0.06,4,40,2156634,0,0,0,Sad
Kalaimagal,P. Susheela,/artist/p-suseela-2,0.0,Tamil,2000-05-05,0.18,0.272,0.18,0.727,-2.687,0.081,177.806,1,6,0.083,4,68,1671735,0,0,0,Sad
Story And Dialogues Part Ii,Sivaji Ganesan|Vanisri|K. Balaji,/artist/sivaji-ganesan|/artist/vanisri|/artist/k-balaji,0.0,Tamil,2000-05-06,0.6,0.713,0.624,0.096,-12.938,0.03,140.028,1,9,0.02,4,82,517763,0,0,0,Sad
O Maanida Jaathiye,T.M. Soundararajan,/artist/tm-soundararajan,0.0,Tamil,2000-05-06,0.86,0.12,0.652,0.2,-9.287,0.007,171.956,1,1,0.0672,4,77,4464983,0,0,0,Happy
Engalathu Bhoomi,J. P. Chandrababu|Manorama|P. Susheela|Kovai Soundarajan,/artist/j-p-chandrababu-1|/artist/manorama|/artist/p-suseela-2|/artist/kovai-soundaraj,0.0,Tamil,2000-05-09,0.73,0.25,0.853,0.1,-6.086,0.01,181.97,0,9,0.091,4,84,5061260,0,0,0,Happy
Idhazhe Idhazhe,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Tamil,2000-05-11,0.28,0.75,0.223,0.0,-7.832,0.06,155.964,0,10,0.01,4,89,5306373,0,0,0,Sad
Kodi Assainthathum,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,0.0,Tamil,2000-05-11,0.62,0.226,0.458,0.782,-2.8,0.004,191.871,0,3,0.071,4,41,995761,0,0,0,Sad
Anghayarkanni,L.R. Eswari,/artist/lr-eswari-2,0.0,Tamil,2000-06-02,0.21,0.69,0.36,0.15,-8.627,0.04,139.952,1,1,0.06,4,35,6885586,0,0,0,Sad
Nadhikkarai,S. P. Sailaja|K J Yesudas,/artist/s-p-sailaja-2|/artist/k-j-yesudas,0.0,Tamil,2000-06-05,0.81,0.447,0.732,0.971,-9.786,0.0,190.058,0,1,0.0394,4,44,2688756,0,0,0,Happy
Orey Muraithan,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,0.0,Tamil,2000-06-06,0.05,0.449,0.631,0.113,-12.947,0.003,164.006,1,7,0.0842,4,72,411497,0,0,0,Sad
Chinna Thamarai,Uma Raman,/artist/uma-raman,0.0,Tamil,2000-06-08,0.26,0.991,0.114,0.538,-7.211,0.064,128.039,1,1,0.06,4,36,3563295,0,0,0,Sad
Sangeethame,S. Janaki,/artist/s-janaki,0.0,Tamil,2000-06-10,0.38,0.491,0.126,0.914,-3.954,0.08,169.902,1,1,0.044,4,58,8405917,0,0,0,Sad
Naan Pesa - Instrumental,Kunnakudi Vaidyanathan,/artist/kunnakkudi-baidyanathan,0.0,Tamil,2000-07-03,0.7,0.09,0.119,0.6,-7.901,0.0315,179.87,1,0,0.097,4,70,9034149,0,0,0,Sad
Ponmangani Idu Ini En Magani,S. P. Balasubrahmanyam|K. S. Chithra|Dinesh|SUNDARRAJAN,/artist/s-p-balasubrahamanyam|/artist/chitra|/artist/dinesh|/artist/sundarrajan,0.0,Tamil,2000-07-03,1.0,0.165,0.391,0.655,-2.13,0.0388,121.105,1,8,0.0027,4,57,6756276,0,0,0,Sad
Murugan Pamalai (Part 1),P. Susheela,/artist/p-suseela-2,0.0,Tamil,2000-07-04,0.75,0.249,0.398,0.163,-9.904,0.0,175.382,1,8,0.011,4,87,3411357,0,0,0,Sad
Arivukku Virunthaagum,T.M. Soundararajan,/artist/tm-soundararajan,0.0,Tamil,2000-07-10,0.18,0.88,0.293,0.6,-12.019,0.0243,178.372,1,10,0.011,4,63,3062291,0,0,0,Sad
Neramithu,P Suhseela|T M S Selvakumar,/artist/p-suhseela|/artist/t-m-s-selvakumar,0.0,Tamil,2000-08-04,0.11,0.43,0.942,0.2,-4.746,0.03,116.997,1,1,0.0008,4,33,8107782,0,0,0,Sad
Paavai Ithazh,K J Yesudas|S. Janaki,/artist/k-j-yesudas|/artist/s-janaki,0.0,Tamil,2000-08-06,0.78,0.756,0.641,0.474,-6.118,0.087,180.058,0,3,0.005,4,57,4040103,0,0,0,Happy
Aathiley Meen Pidichu,P. Susheela,/artist/p-suseela-2,0.0,Tamil,2000-08-07,0.3,0.38,0.555,0.2,-6.596,0.05,179.906,0,10,0.009,4,30,6319854,0,0,0,Sad
Thendral Urangiya Podhum,M.S. Naseem|Jaya,/artist/ms-naseem|/artist/jaya,0.0,Tamil,2000-08-08,0.99,0.64,0.884,0.1,-4.335,0.05,136.614,0,5,0.072,4,49,6529805,0,0,0,Energetic
Azhagumayil,Sirkazhi Govindarajan|P. Susheela,/artist/sirkazhi-govindarajan|/artist/p-suseela-2,0.0,Tamil,2000-08-09,0.3,0.157,0.447,0.587,-4.879,0.07,170.152,1,4,0.03,4,89,1865918,0,0,0,Sad
