song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,instrumentalness,liveliness,valence,predicted_mood,spotify_id,spotify_url
Yae Paadal Ondru,Pradeep|Saindhavi,/artist/pradeep|/artist/saindhavi,0.0,Tamil,2000-01-02,0.59,0.91,0.372,0.18,-12.055,0.045,164.06,1,1,0.0454,4,90,7241453,0,0,0,Sad,6r9nnEfmTzmONVFULxqxOL,https://open.spotify.com/track/6r9nnEfmTzmONVFULxqxOL
Omanthingal,Unni Menon,/artist/unni-menon,0.0,Tamil,2000-01-08,0.24,0.008,0.531,0.465,-13.763,0.0427,136.049,0,5,0.07,4,75,10998903,0,0,0,Sad,2hkjfKCzMO2kWfLT1hrQQh,https://open.spotify.com/track/2hkjfKCzMO2kWfLT1hrQQh
Kodi Kodi,Pitthukuli Murugadas,/artist/pitthukuli-murugadas,0.0,Tamil,2000-02-03,1.0,0.95,0.499,0.4,-11.36,0.024,119.992,1,1,0.06,4,60,4743008,0,0,0,Happy,3TeGBS4boert6YCIkhUaDI,https://open.spotify.com/track/3TeGBS4boert6YCIkhUaDI
Maariyamma Maariyamma,Ramani|T. L. Maharajan,/artist/ramani|/artist/t-l-maharajan-1,0.0,Tamil,2000-02-08,0.15,0.842,0.571,0.853,-10.225,0.05,155.067,0,10,0.0305,4,42,432642,0,0,0,Sad,0ONWF8J4794BzaCfYSTzif,https://open.spotify.com/track/0ONWF8J4794BzaCfYSTzif
Kadan Vaangi,Malaysia Vasudevan,/artist/malaysia-vasudevan,0.0,Tamil,2000-03-04,0.95,0.65,0.423,0.364,-12.688,0.05,184.566,1,1,0.091,4,29,154710,0,0,0,Sad,6KP11fZiBfH4q4dtMc8UjT,https://open.spotify.com/track/6KP11fZiBfH4q4dtMc8UjT
Muthu Sirithathu,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,0.0,Tamil,2000-04-03,0.89,0.83,0.287,0.1,-12.524,0.046,167.106,0,0,0.082,4,35,4869022,0,0,0,Sad,1OPKzQpRg5idzM9PNnQuPt,https://open.spotify.com/track/1OPKzQpRg5idzM9PNnQuPt
Oru Koppaiyile,T.M. Soundararajan,/artist/tm-soundararajan,0.0,Tamil,2000-04-06,0.52,0.341,0.173,0.323,-10.664,0.0495,160.033,1,2,0.02,4,47,3896143,0,0,0,Sad,4OiitXWND8Ya1sVzG6cBRb,https://open.spotify.com/track/4OiitXWND8Ya1sVzG6cBRb
Kadhal Raani,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Tamil,2000-05-01,0.95,0.691,0.39,0.062,-8.396,0.03,185.77,0,7,0.012,4,64,10632821,0,0,0,Sad,7a09VVyJnoErAalGt00QW3,https://open.spotify.com/track/7a09VVyJnoErAalGt00QW3
Story And Dialogues Part Ii,Sivaji Ganesan|Vanisri|K. Balaji,/artist/sivaji-ganesan|/artist/vanisri|/artist/k-balaji,0.0,Tamil,2000-05-06,0.6,0.713,0.624,0.096,-12.938,0.03,140.028,1,9,0.02,4,82,517763,0,0,0,Sad,0NHlPYnisv4NcPCa4a6qcG,https://open.spotify.com/track/0NHlPYnisv4NcPCa4a6qcG
Idhazhe Idhazhe,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Tamil,2000-05-11,0.28,0.75,0.223,0.0,-7.832,0.06,155.964,0,10,0.01,4,89,5306373,0,0,0,Sad,4HgzNp4XyLpFh6WEPW0uRf,https://open.spotify.com/track/4HgzNp4XyLpFh6WEPW0uRf
Nadhikkarai,S. P. Sailaja|K J Yesudas,/artist/s-p-sailaja-2|/artist/k-j-yesudas,0.0,Tamil,2000-06-05,0.81,0.447,0.732,0.971,-9.786,0.0,190.058,0,1,0.0394,4,44,2688756,0,0,0,Happy,1JgIOnupIbf2q3AEKcld1C,https://open.spotify.com/track/1JgIOnupIbf2q3AEKcld1C
Sangeethame,S. Janaki,/artist/s-janaki,0.0,Tamil,2000-06-10,0.38,0.491,0.126,0.914,-3.954,0.08,169.902,1,1,0.044,4,58,8405917,0,0,0,Sad,03aP3VtX38owFxk1BR1Bqr,https://open.spotify.com/track/03aP3VtX38owFxk1BR1Bqr
Murugan Pamalai (Part 1),P. Susheela,/artist/p-suseela-2,0.0,Tamil,2000-07-04,0.75,0.249,0.398,0.163,-9.904,0.0,175.382,1,8,0.011,4,87,3411357,0,0,0,Sad,61uzDOeif2hn4FEMaoy5iV,https://open.spotify.com/track/61uzDOeif2hn4FEMaoy5iV
Paavai Ithazh,K J Yesudas|S. Janaki,/artist/k-j-yesudas|/artist/s-janaki,0.0,Tamil,2000-08-06,0.78,0.756,0.641,0.474,-6.118,0.087,180.058,0,3,0.005,4,57,4040103,0,0,0,Happy,2jTHtI8kzPy9KkO3da44oT,https://open.spotify.com/track/2jTHtI8kzPy9KkO3da44oT
Azhagumayil,Sirkazhi Govindarajan|P. Susheela,/artist/sirkazhi-govindarajan|/artist/p-suseela-2,0.0,Tamil,2000-08-09,0.3,0.157,0.447,0.587,-4.879,0.07,170.152,1,4,0.03,4,89,1865918,0,0,0,Sad,75TwXjTXXVOYVh0IeHYLVV,https://open.spotify.com/track/75TwXjTXXVOYVh0IeHYLVV
Ponnazhaguppenmai,P. Susheela|L.R. Eswari,/artist/p-suseela-2|/artist/lr-eswari-2,0.0,Tamil,2000-08-12,0.33,0.83,0.945,0.3,-12.937,0.061,177.976,0,7,0.06,4,79,3099278,0,0,0,Happy,6ssyAjuhqtHKZAwv2f9oFY,https://open.spotify.com/track/6ssyAjuhqtHKZAwv2f9oFY
En Arumai Kathalikku,T.M. Soundararajan,/artist/tm-soundararajan,0.0,Tamil,2000-09-05,0.74,0.851,0.654,0.971,-11.094,0.039,147.774,1,2,0.05,4,52,4318588,0,0,0,Happy,5hU3iXietgYnEuW8tCg4Vc,https://open.spotify.com/track/5hU3iXietgYnEuW8tCg4Vc
Enthan Karpanai,B.S.Sasirekha|T.L. Maharajen,/artist/bssasirekha-1|/artist/tl-maharajen-1,0.0,Tamil,2000-09-11,0.27,0.552,0.757,0.736,-7.329,0.0361,185.002,0,2,0.04,4,80,2982686,0,0,0,Happy,1knkNkanaLGPkbOGx2SZph,https://open.spotify.com/track/1knkNkanaLGPkbOGx2SZph
Kannukkul,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,0.0,Tamil,2000-10-06,0.24,0.59,0.917,0.6,-4.892,0.0677,105.011,1,0,0.082,4,29,25683,0,0,0,Energetic,79ecLxqk5vuxx8hHiWZod7,https://open.spotify.com/track/79ecLxqk5vuxx8hHiWZod7
Varavendum,L.R. Eswari,/artist/lr-eswari-2,0.0,Tamil,2000-10-08,0.43,0.54,0.737,0.6,-5.183,0.0882,142.959,0,10,0.064,4,30,10902250,0,0,0,Energetic,58OtAiO8FP1H2dAEH2vCUO,https://open.spotify.com/track/58OtAiO8FP1H2dAEH2vCUO
Maruthiyae,P.B. Sreenivas,/artist/pb-sreenivas,0.0,Tamil,2000-11-03,0.56,0.91,0.603,0.777,-6.657,0.021,160.004,1,1,0.0407,4,80,4486751,0,0,0,Sad,5MKD2S2zgZToL8BzVhrtR4,https://open.spotify.com/track/5MKD2S2zgZToL8BzVhrtR4
Odaiyinna Nal Lodai,K J Yesudas|S. Janaki,/artist/k-j-yesudas|/artist/s-janaki,0.0,Tamil,2000-11-12,0.85,0.861,0.392,0.643,-8.024,0.0987,204.044,1,9,0.099,4,91,8033753,0,0,0,Sad,4R6gJ4WiVkeg7lR5Idvxtv,https://open.spotify.com/track/4R6gJ4WiVkeg7lR5Idvxtv
Kaadal Vila,Mano|Swarnalatha,/artist/mano|/artist/swarnalatha,0.0,Tamil,2000-12-05,0.38,0.258,0.004,0.045,-4.862,0.08,187.816,0,4,0.098,4,53,11349408,0,0,0,Sad,0QlKh3wlJVRSAc3eQGjIPq,https://open.spotify.com/track/0QlKh3wlJVRSAc3eQGjIPq
Kakkai Chiraginiley,K J Yesudas,/artist/k-j-yesudas,0.0,Tamil,2000-12-10,0.66,0.38,0.017,0.5,-2.134,0.0,151.963,1,9,0.06,4,84,9036773,0,0,0,Sad,77NjsU8w1DP26AN0A5Cu4v,https://open.spotify.com/track/77NjsU8w1DP26AN0A5Cu4v
Kannae Kamalapoo ? Neelambari,M.L.Vasanthakumari,/artist/mlvasanthakumari-1,0.0,Tamil,2000-12-11,0.23,0.38,0.355,0.5,-7.024,0.068,139.966,0,8,0.0221,4,62,1389552,0,0,0,Sad,0Izhhunxr20lGbw7vqjyIV,https://open.spotify.com/track/0Izhhunxr20lGbw7vqjyIV
Kangalin Vaarthaigal,P. Susheela|A. M. Rajah,/artist/p-suseela-2|/artist/a-m-rajah-1,0.0,Tamil,2001-01-05,0.82,0.26,0.185,0.0,-2.283,0.009,118.016,1,2,0.0527,4,62,7586227,0,0,0,Sad,006yNH8iIxOPXDNPjuzNGI,https://open.spotify.com/track/006yNH8iIxOPXDNPjuzNGI
Poi Vaa Nadhiyalaiyae,K J Yesudas|T.k. Kala,/artist/k-j-yesudas|/artist/tk-kala,0.0,Tamil,2001-01-09,0.98,0.7,0.424,0.03,-11.835,0.0,127.076,1,9,0.0344,4,93,10844216,0,0,0,Sad,5eVwfzrqjh60A6aXoF5Rcu,https://open.spotify.com/track/5eVwfzrqjh60A6aXoF5Rcu
Pallavi Endru,S. Janaki|P. Susheela,/artist/s-janaki|/artist/p-suseela-2,0.0,Tamil,2001-02-01,0.69,0.734,0.981,0.769,-8.93,0.0674,147.017,1,5,0.08,4,89,3924845,0,0,0,Happy,1ZtcDbIj2yKHB7m9FJ0qvL,https://open.spotify.com/track/1ZtcDbIj2yKHB7m9FJ0qvL
Atthanin Mutthangal,P. Susheela,/artist/p-suseela-2,0.0,Tamil,2001-02-01,0.62,0.034,0.699,0.136,-13.753,0.082,194.084,1,9,0.09,4,84,485169,0,0,0,Happy,39qNw7hfWrVpVgxbXu1hgR,https://open.spotify.com/track/39qNw7hfWrVpVgxbXu1hgR
Aatha Mariaatha,S. Janaki,/artist/s-janaki,0.0,Tamil,2001-02-03,0.36,0.147,0.147,0.548,-2.045,0.09,152.729,1,8,0.0,4,40,5954152,0,0,0,Sad,5EP78i8vrdojAGLLVyzdr4,https://open.spotify.com/track/5EP78i8vrdojAGLLVyzdr4
Temple Dance,H. M. V. Orchestra,/artist/h-m-v-orchestra-1,0.0,Tamil,2001-02-05,0.42,0.69,0.924,0.3,-2.473,0.03,140.16,1,11,0.077,4,38,9812248,0,0,0,Energetic,31LKTm039mcyy2C0viMr3W,https://open.spotify.com/track/31LKTm039mcyy2C0viMr3W
Kannil Therigindra Vaanam,T.M. Soundararajan|L.R. Eswari,/artist/tm-soundararajan|/artist/lr-eswari-2,0.0,Tamil,2001-02-06,0.78,0.53,0.792,0.17,-8.726,0.0397,182.704,0,2,0.0976,4,49,578790,0,0,0,Happy,3sHoUkOYrgRv0P98Hj0eO1,https://open.spotify.com/track/3sHoUkOYrgRv0P98Hj0eO1
Neengatha Ennam,Malaysia Vasudevan|S. Janaki,/artist/malaysia-vasudevan|/artist/s-janaki,0.0,Tamil,2001-02-07,0.18,0.08,0.234,0.8,-7.501,0.01,172.045,1,8,0.0564,4,97,10941315,0,0,0,Sad,1fckMkvDfnuh3IVZYKLiWp,https://open.spotify.com/track/1fckMkvDfnuh3IVZYKLiWp
Poo Vaitha,T.M. Soundararajan|P. Susheela|L.R. Eswari,/artist/tm-soundararajan|/artist/p-suseela-2|/artist/lr-eswari-2,0.0,Tamil,2001-02-08,1.0,0.66,0.373,0.5,-4.664,0.07,145.179,0,0,0.0318,4,70,5810868,0,0,0,Sad,1TvvM0VzgwL5dXVsAT8ua5,https://open.spotify.com/track/1TvvM0VzgwL5dXVsAT8ua5
Ithuthan Muthal Raaththiri,Vani Jairam|K J Yesudas,/artist/vani-jayaram|/artist/k-j-yesudas,0.0,Tamil,2001-03-03,0.14,0.172,0.588,0.433,-10.595,0.0546,169.262,1,0,0.03,4,75,5118467,0,0,0,Sad,4PKGaJPuXfespUVeXLBaA5,https://open.spotify.com/track/4PKGaJPuXfespUVeXLBaA5
Pethaalum Pethaney,Ilaiyaraaja|S. P. Sailaja,/artist/iiaiyaraaja|/artist/s-p-sailaja-2,0.0,Tamil,2001-03-04,0.99,0.03,0.122,0.6,-2.382,0.086,127.003,1,9,0.0427,4,57,10485310,0,0,0,Sad,5kcXP4DGElFtruCOCElYt5,https://open.spotify.com/track/5kcXP4DGElFtruCOCElYt5
Rojappu,S. P. Balasubrahmanyam|K. S. Chithra,/artist/s-p-balasubrahamanyam|/artist/chitra,0.0,Tamil,2001-03-09,0.82,0.71,0.873,0.7,-10.065,0.04,193.914,0,0,0.0837,4,32,3547086,0,0,0,Happy,3EaLUnVwTM4OlMM6QUjkRt,https://open.spotify.com/track/3EaLUnVwTM4OlMM6QUjkRt
Kaaverikkarai (Ponnula Ponnula),S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Tamil,2001-03-10,0.98,0.848,0.299,0.43,-2.261,0.07,190.056,1,6,0.021,4,92,3983920,0,0,0,Sad,6eE9euoz9B0jF4XHqL9Gx8,https://open.spotify.com/track/6eE9euoz9B0jF4XHqL9Gx8
Naan Pesa Ninaippathelam,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,0.0,Tamil,2001-03-11,0.03,0.83,0.152,0.1,-11.997,0.0497,119.964,1,2,0.03,4,76,8918072,0,0,0,Sad,7GAOZN1Ce4pAFbMuhI43kB,https://open.spotify.com/track/7GAOZN1Ce4pAFbMuhI43kB
Kathalika Kathukka,S. P. Balasubrahmanyam|Vani Jairam,/artist/s-p-balasubrahamanyam|/artist/vani-jayaram,0.0,Tamil,2001-04-02,0.85,0.82,0.923,0.5,-6.159,0.0962,166.922,0,1,0.0507,4,43,3209642,0,0,0,Energetic,2mDHjQbUeGGxFQxl8nVqJ3,https://open.spotify.com/track/2mDHjQbUeGGxFQxl8nVqJ3
Marappu Potta Ponne,Malaysia Vasudevan|P. Susheela,/artist/malaysia-vasudevan|/artist/p-suseela-2,0.0,Tamil,2001-04-03,0.12,0.425,0.928,0.406,-9.48,0.031,138.971,0,11,0.029,4,67,10804909,0,0,0,Happy,4Eh7EAQfWkZJAWg6NFLdgA,https://open.spotify.com/track/4Eh7EAQfWkZJAWg6NFLdgA
Manjal Andhi,S. P. Balasubrahmanyam|K. S. Chithra,/artist/s-p-balasubrahamanyam|/artist/chitra,0.0,Tamil,2001-04-04,0.12,0.17,0.254,1.0,-11.458,0.04,162.043,0,3,0.04,4,67,257420,0,0,0,Sad,0LfPNpaNdE8VQ9Mlui6hCI,https://open.spotify.com/track/0LfPNpaNdE8VQ9Mlui6hCI
Aadi Pizhaitthalum,P Leela,/artist/p-leela,0.0,Tamil,2001-04-07,0.32,0.99,0.164,0.7,-9.163,0.059,143.048,1,2,0.0571,4,53,5546272,0,0,0,Sad,5XKNpflXa6X2jEDpcTdTCd,https://open.spotify.com/track/5XKNpflXa6X2jEDpcTdTCd
Aval Oru Navarasa,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,0.0,Tamil,2001-04-08,0.11,0.766,0.627,0.454,-10.079,0.02,126.056,0,0,0.0402,4,29,389368,0,0,0,Sad,3gWSymRDdZBw3y0lnLVOZl,https://open.spotify.com/track/3gWSymRDdZBw3y0lnLVOZl
Thannilavu Theniraikka,P. Susheela,/artist/p-suseela-2,0.0,Tamil,2001-05-01,0.25,0.038,0.618,0.169,-2.968,0.019,160.084,1,6,0.08,4,91,6744683,0,0,0,Sad,5H0BaMnENn4QSQEzucmK2K,https://open.spotify.com/track/5H0BaMnENn4QSQEzucmK2K
Viragathapamenum,S. Janaki,/artist/s-janaki,0.0,Tamil,2001-05-02,0.16,0.253,0.866,0.701,-13.537,0.0073,193.956,1,11,0.0511,4,93,4987438,0,0,0,Happy,1rXllq8BLqqySmwrz2RThK,https://open.spotify.com/track/1rXllq8BLqqySmwrz2RThK
Thennai Ilam Kitruniley,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,0.0,Tamil,2001-05-03,0.94,0.89,0.788,0.34,-8.266,0.0071,119.966,1,2,0.048,4,83,10012962,0,0,0,Happy,7feks4R1MooMlBniY4TtdS,https://open.spotify.com/track/7feks4R1MooMlBniY4TtdS
Aadavendum Mayile,S. Janaki|T.M. Soundararajan,/artist/s-janaki|/artist/tm-soundararajan,0.0,Tamil,2001-05-06,0.68,0.963,0.498,0.927,-6.129,0.0084,129.854,1,7,0.008,4,89,5069859,0,0,0,Happy,0ZBXZuTFFiGX0N1mXn3g8W,https://open.spotify.com/track/0ZBXZuTFFiGX0N1mXn3g8W
Thirupadhi Malayil,M. S. Viswanathan,/artist/m-s-viswanathan-2,0.0,Tamil,2001-05-06,0.65,0.32,0.539,0.43,-12.425,0.0312,111.792,1,9,0.0884,4,80,1971489,0,0,0,Happy,2Gnxng7ZoZIk3OdU6S0TTY,https://open.spotify.com/track/2Gnxng7ZoZIk3OdU6S0TTY
Naan Oru Medai Paadagan,T.M. Soundararajan|S. P. Balasubrahmanyam|L.R. Eswari,/artist/tm-soundararajan|/artist/s-p-balasubrahamanyam|/artist/lr-eswari-2,0.0,Tamil,2001-05-07,0.07,0.46,0.785,0.053,-13.382,0.1,119.999,1,10,0.09,4,33,1564612,0,0,0,Happy,07lcZmFStZciZZycaIaLdU,https://open.spotify.com/track/07lcZmFStZciZZycaIaLdU
Degam Pattu Sirikum Mottu,S. P. Balasubrahmanyam|S. P. Sailaja,/artist/s-p-balasubrahamanyam|/artist/s-p-sailaja-2,0.0,Tamil,2001-05-11,0.03,0.657,0.64,0.37,-5.594,0.04,153.986,0,0,0.07,4,57,6385534,0,0,0,Energetic,7JK5I3NhPXj6lra9iRsr47,https://open.spotify.com/track/7JK5I3NhPXj6lra9iRsr47
