name,album,artist,id,release_date,popularity,mood,lyrics_available,duration_ms,tempo,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,key,mode,time_signature
Zinda Banda,Jawan,"Anirudh Ravichander, Irshad Kamil",7md45nnXkzhX7OUKplETQ2,2023-09-05,50,energetic,True,60000,148.02631578947367,0.0013028549458591,0.2305080659271685,1.0,0.0,1.0,-18.928074,0.0992243885993957,0.2410998816144429,0,1,7
Chaleya,Jawan,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar",3xMHXmedL5Rvfxmiar9Ryv,2023-09-05,71,calm,True,60000,95.33898305084746,0.0009602699858854,0.1618696606714361,1.0,0.0,1.0,-12.116901,0.0890942439436912,0.2364614870426818,0,1,7
Not Ramaiya Vastavaiya,Jawan,"Anirudh Ravichander, Vishal Dadlani, Shilpa Rao, Kumaar",5inzjqKe05zP1eInEO8O1i,2023-09-05,54,energetic,True,60000,133.92857142857142,0.0011399241345602,0.259996313155439,1.0,0.60582737492186,1.0,-13.189661,0.0865235477685928,0.2945470479732919,10,0,7
Aararaari Raaro,Jawan,"Anirudh Ravichander, Deepthi Suresh, Irshad Kamil",4bvHCjknZC3evn7NthBZVt,2023-09-05,47,calm,False,60000,127.8409090909091,0.001376272712783,0.2427485113757554,1.0,0.0,1.0,-18.111902,0.0918996557593345,0.2572478592427774,10,0,7
Jawan Title Track,Jawan,"Anirudh Ravichander, Raja Kumari",0lZhDg6xVjHLwL5zYd6nkL,2023-09-05,55,energetic,True,60000,156.25,0.0015182881020711,0.1868916880054656,1.0,0.0,1.0,-14.8032465,0.098620094358921,0.2038546492388479,2,1,7
Faraatta,Jawan,"Anirudh Ravichander, Arijit Singh, Jonita Gandhi, Badshah, Kumaar",3qxLYSU1s5pqk8rz6dJNVi,2023-09-05,48,energetic,True,60000,125.0,0.0008131677996256,0.2859986349648951,1.0,0.0,1.0,-14.503351,0.0855229273438453,0.3707568533020005,11,1,7
Chaleya Arabic Version,Jawan,"Anirudh Ravichander, Abd El Fattah Grini, Jamila El Badaoui, Kumaar",3roOHDRcGP1WzdUKSXW5qP,2023-09-05,36,calm,True,60000,95.33898305084746,0.0009405293099519,0.1502475948720227,1.0,0.0,1.0,-11.304158,0.0865320265293121,0.2515317115589646,0,1,7
Bolo Na,12th Fail,"Shantanu Moitra, Shaan, Shreya Ghoshal",4dDHrpThDMKYk3TqdrrSyq,2023-12-05,38,calm,True,60000,114.79591836734694,0.0022850447535043,0.1900460751421969,0.6248069927096367,0.0,1.0,-30.62695503234864,0.1089044287800788,0.1869462182936695,9,1,7
Restart,12th Fail,"Swanand Kirkire, Shaan, Vidhu Vinod Chopra, Shantanu Moitra",0XjAmEs4EzJ3pwTg4zFg70,2023-12-05,28,energetic,True,60000,156.25,0.0013653405674994,0.7472781748522485,0.2779602631926536,0.2032816107654176,1.0,-50.17018508911133,0.092470645904541,0.4453699510990213,6,0,7
Restart - Rap,12th Fail,"Shantanu Moitra, Raftaar",2UBMFiIJyiPnKDW0aWKq2S,2023-12-05,21,energetic,True,60000,160.71428571428572,0.0011683591565922,0.2630530614001955,0.6801773607730865,0.0,1.0,-26.804595947265625,0.0920008867979049,0.2117731231556518,10,0,7
Restart - Rap 'N' Folk,12th Fail,"Swanand Kirkire, Shaan, Vidhu Vinod Chopra, Shantanu Moitra, Raftaar",2nljdVuwCBl3aACV1wQaox,2023-12-05,18,energetic,True,60000,160.71428571428572,0.0011683591565922,0.2630530614001955,0.6801773607730865,0.0,1.0,-26.804595947265625,0.0920008867979049,0.2117731231556518,10,0,7
Bolo Na - Film Version,12th Fail,"Shantanu Moitra, Medha Shankr",3ywlNiy0UNpjqI1pGckbf2,2023-12-05,34,sad,True,60000,95.33898305084746,0.0020546151810361,0.1865922620700764,0.4789668321609497,0.154745681130452,1.0,-30.904211044311523,0.102679543197155,0.233506914549703,6,0,7
Arjan Vailly,ANIMAL,"Manan Bhardwaj, Bhupinder Babbal",4ApCig0GTR4IEp7Ijsyo3r,2023-11-24,64,energetic,False,60000,152.02702702702703,0.0012253297465227,0.2556958624022395,1.0,0.1744258127523842,1.0,-12.703392028808594,0.1022681593894958,0.2723943481136425,3,0,7
Hua Main,ANIMAL,"Raghav Chaitanya, Manoj Muntashir, Pritam",133L8gUatgtOGZUn5PH20C,2023-11-24,59,energetic,True,60000,87.890625,0.0017735379991938,0.1450679601404194,1.0,0.0,1.0,-18.823945999145508,0.0961689054965972,0.1357072657583251,5,1,7
Satranga,ANIMAL,"Arijit Singh, Shreyas Puranik, Siddharth - Garima",0rHlfhO0oh1klqPfr7ZUd2,2023-11-24,61,sad,False,60000,160.71428571428572,0.0015345160347766,0.1984638494823142,1.0,0.0,1.0,-14.575297355651855,0.0966677367687225,0.2350481705955155,7,1,7
Papa Meri Jaan,ANIMAL,"Sonu Nigam, Harshavardhan Rameshwar, Raj Shekhar",2zDYPNUwclRPsRgsy8ziwI,2023-11-24,51,sad,True,60000,106.13207547169812,0.0015216054356863,0.1156912382243156,1.0,0.0017858924608288,1.0,-19.426300048828125,0.0962530747056007,0.236390672533183,11,1,7
Pehle Bhi Main,ANIMAL,"Vishal Mishra, Raj Shekhar",7yDHHVKLbvDmVw1XXhDDIO,2023-11-24,79,sad,True,60000,102.27272727272728,0.0023923212381401,0.1390186883442943,0.7767833769321442,0.0,1.0,-27.51052665710449,0.0975645408034324,0.1228776260751032,5,1,7
Kashmir,ANIMAL,"Manan Bhardwaj, Shreya Ghoshal",0FDlo7Rz1GQXjYz3y0UxPb,2023-11-24,51,calm,True,60000,200.8928571428572,0.0018994830843959,0.2987424631454408,1.0,0.2599520367376678,1.0,-22.49336242675781,0.1049719601869583,0.2991520973499498,7,1,7
Saari Duniya Jalaa Denge,ANIMAL,"Jaani, B Praak",0YxKKO272sacGBJKjf6FnB,2023-11-24,66,sad,True,60000,125.0,0.0015577122477932,0.2363030426535282,0.8802638947963715,0.0744806389903441,1.0,-23.17138671875,0.0912853106856346,0.2052398243278099,0,1,7
Haiwaan,ANIMAL,Ashim Kemson,3Zh2ngO9easf9Nj868G6a9,2023-11-24,50,energetic,True,60000,119.6808510638298,0.0012710527299303,0.3320533814821809,1.0,1.0,1.0,-19.306537628173828,0.09988534450531,0.2558991662076884,5,1,7
Besharam Rang,Pathaan,"Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Vishal Dadlani, Shekhar Ravjiani, Kumaar",49mPah10lutnHaU0NLf97t,2022-12-22,51,energetic,True,60000,114.79591836734694,0.0012030383533273,0.2593471230114646,1.0,0.0,1.0,-18.15321922302246,0.1060012653470039,0.2804750680282992,3,0,7
Jhoome Jo Pathaan,Pathaan,"Vishal-Shekhar, Arijit Singh, Sukriti Kakar, Vishal Dadlani, Shekhar Ravjiani, Kumaar",6FAYpZ4jve8vpvTwUvjK6H,2022-12-22,68,energetic,True,60000,104.16666666666669,0.0014241984754358,0.2400918656127799,1.0,0.0,1.0,-20.42737197875977,0.0977001339197158,0.3040620388694585,7,1,7
Pathaan’s Theme,Pathaan,"Sanchit Balhara, Ankit Balhara, Magdalena Supel, Kit Bee",7l00c4RIiRh9MngY4Mt6jG,2022-12-22,41,energetic,True,60000,152.02702702702703,0.0016036574199472,0.1610915871900551,1.0,0.0,1.0,-12.389410972595217,0.0518442392349243,0.2962300118047444,6,0,7
Jim’s Theme,Pathaan,"Sanchit Balhara, Ankit Balhara, Maanya Narang, Riya Duggal",067vgMqZQ7GdBeRc98bwev,2022-12-22,40,energetic,True,60000,89.28571428571429,0.0013186225310048,0.2134242974860024,1.0,0.4909000871897191,1.0,-13.172505378723145,0.0640766248106956,0.2743085412981701,7,1,7
Jai Shri Ram,Adipurush,"Ajay-Atul, Manoj Muntashir",5jg425SFqqg7Zubd6YnAh0,2023-06-06,36,energetic,True,60000,160.71428571428572,0.0011123660270608,0.1514001677479559,1.0,0.0593807306092791,1.0,-23.287826538085938,0.076138712465763,0.180159701380563,4,1,7
Shivoham,Adipurush,"Ajay-Atul, Manoj Muntashir, Ajay Gogavale",3nwpFQkO9uUuYjAyElt6WR,2023-06-06,40,energetic,True,60000,79.22535211267606,0.0010745787094099,0.0913500794303235,1.0,0.0,1.0,-21.28504943847656,0.0716754421591758,0.1416539922991777,5,1,7
Tu Hai Sheetal Dhaara,Adipurush,"Ajay-Atul, Sonu Nigam, Shreya Ghoshal",2FuJW8p6IWXXVN2zxaxPQ5,2023-06-06,37,calm,True,60000,100.44642857142856,0.0010910419538356,0.1341705918947742,0.91683529317379,0.0075388315058237,1.0,-22.806442260742188,0.0833479166030883,0.1987359390101708,7,1,7
Huppa Huiya,Adipurush,"Ajay-Atul, Manoj Muntashir, Sukhwinder Singh",5O3e9f3qTJGQupamvQagqS,2023-06-06,30,energetic,True,60000,82.72058823529412,0.0015131795387452,0.1565602747011642,1.0,0.0122479343154853,1.0,-21.176538467407227,0.0995886847376823,0.1853006813068925,1,0,7
