name                                                      , album                                             , artist                                                            , id                    , release_date, popularity, mood     , lyrics_available, duration_ms, tempo             , danceability         , acousticness       , energy            , instrumentalness     , liveness, loudness           , speechiness        , valence            , key, mode, time_signature
Prema Chandrama                                           , Yejamana (Original Motion Picture Soundtrack)     , "Rajesh Krishnan, K Kalyan"                                       , 7BVablgo66qnLL8gpGGxTI, 2000-10-10  ,         42, calm     , True            ,       60000, 119.6808510638298 , 0.0011868108761481   , 0.299069227970583  , 1.0               , 0.0                  ,      1.0, -18.44172          , 0.097388707101345  , 0.3192229402457885 ,  10,    0,              7
Namma Maneyalli                                           , Yejamana (Original Motion Picture Soundtrack)     , "Rajesh Krishnan, K. S. Chithra, S. P. Balasubrahmanyam, K Kalyan", 4R9bS8G2crPOprST5qwPlK, 2000-10-10  ,         25, happy    , True            ,       60000,  93.75            , 0.0011632961217664   , 0.3216029823864645 , 1.0               , 0.0049841293607315   ,      1.0, -16.252674         , 0.0950936377048492 , 0.2156367949765176 ,   4,    1,              7
Mysore Mallige                                            , Yejamana (Original Motion Picture Soundtrack)     , "Rajesh Krishnan, K. S. Chithra, K Kalyan"                        , 7pzAfNZc35T2uF5J1QXxvr, 2000-10-10  ,         22, calm     , False           ,       60000,  80.35714285714286, 0.0015561636188834   , 0.4011161904550301 , 1.0               , 0.0606541849169579   ,      1.0, -18.110184         , 0.0951016321778297 , 0.3627165159133605 ,   2,    1,              7
Prema Chandrama Patho                                     , Yejamana (Original Motion Picture Soundtrack)     , "S. P. Balasubrahmanyam, K Kalyan"                                , 7FzP7bAUHI4gZeaSoyZnym, 2000-10-10  ,          4, sad      , True            ,       60000, 114.79591836734694, 0.0014833128224473   , 0.3186334582185389 , 1.0               , 0.0                  ,      1.0, -17.914387         , 0.100942738354206  , 0.30115927453006   ,   0,    1,              7
Srigandada Gombe                                          , Yejamana (Original Motion Picture Soundtrack)     , "Rajesh Krishnan, K. S. Chithra, K Kalyan"                        , 3g3UzvOtbgb7NvVHtmaQWw, 2000-10-10  ,         23, calm     , True            ,       60000, 100.44642857142856, 0.00078169365867     , 0.3872115443365623 , 1.0               , 0.0313573363403925   ,      1.0, -16.793993         , 0.0926254838705062 , 0.2441363700792704 ,   2,    1,              7
O Maina                                                   , Yejamana (Original Motion Picture Soundtrack)     , "Rajesh Krishnan, K. S. Chithra, K Kalyan"                        , 6hMz3rvd7B3VShI9ZrOz6R, 2000-10-10  ,         27, calm     , True            ,       60000, 156.25            , 0.0016513495647765   , 0.2430045422480448 , 1.0               , 0.0                  ,      1.0, -17.539467         , 0.1007409989833831 , 0.2769146420514748 ,   7,    1,              7
Baana Chandrama                                           , Yejamana (Original Motion Picture Soundtrack)     , "K. S. Chithra, K Kalyan"                                         , 4fCrrQhf9PrNRxeA3L1QRz, 2000-10-10  ,          9, happy    , True            ,       60000, 114.79591836734694, 0.0012519485670876   , 0.3353887260320387 , 1.0               , 0.0                  ,      1.0, -16.79473          , 0.0920414328575134 , 0.2391077897618749 ,   0,    1,              7
Navile Pancharangi                                        , Yejamana (Original Motion Picture Soundtrack)     , "Devan Ekambaram, Nanditha, K Kalyan"                             , 3SoLNANCBAxW2KOR1t8BzJ, 2000-10-10  ,         12, happy    , True            ,       60000,  92.21311475409836, 0.0010916686503396   , 0.5882695506909882 , 1.0               , 0.3057908185416318   ,      1.0, -14.72065          , 0.0845589116215705 , 0.513845596357144  ,  11,    1,              7
"Ooruddhaara Maadthinantha (From ""Kindarijogi"")"        , Top Kannada Superhits Of 90'S                     , "S. P. Balasubrahmanyam, S. Janaki"                               , 3SWyec1yg30ZpG97z7eVBf, 2021-05-06  ,         14, energetic, True            ,       60000, 122.28260869565216, 0.0014333532475635   , 0.3378717915426146 , 1.0               , 0.0                  ,      1.0, -17.769794464111328, 0.0978828892111778 , 0.5716445397710307 ,   8,    0,              7
"Nodamma Hudugi (From ""Premaloka"")"                     , Top Kannada Superhits Of 90'S                     , "S. P. Balasubrahmanyam, Lata Hamsalekha"                         , 1PFEPkvrZbjwmYwhctri3J, 2021-05-06  ,         43, energetic, True            ,       60000, 125.0             , 0.001132118372619    , 0.2208804372278261 , 1.0               , 0.0                  ,      1.0, -19.38758087158203 , 0.0960026234388351 , 0.3497584124772148 ,   0,    1,              7
