name,album,artist,id,release_date,popularity,mood,lyrics_available,duration_ms,tempo,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,key,mode,time_signature
Balleilakka,Sivaji The Boss,"S. P. Balasubrahmanyam, Raihanah, Benny, Chorus",3pZMAprEuwtkCOufsC50D6,2007-05-30,35,energetic,True,60000,144.23076923076923,0.0009114688872236,0.635943800963162,1.0,0.0139573337510228,1.0,-20.934654,0.093033895,0.4726370753761506,11,1,7
Style,Sivaji The Boss,"Rags, Tanvi Shah, Suresh Peters, Blaaze",2CFRx8B8qqZMTKbOpRYaXa,2007-05-30,30,energetic,True,60000,170.45454545454547,0.0017260353523213,0.2824150706541059,0.9652819633483888,0.1377589702606201,1.0,-23.508062,0.09613721,0.2703751341889183,0,1,7
Vaaji Vaaji,Sivaji The Boss,"Hariharan, Madhusree, Chorus",4lnqfJpnB5nGUcqD0kmgGh,2007-05-30,57,calm,True,60000,100.44642857142856,0.0011905702922343,0.3099882937477781,1.0,0.0,1.0,-14.049966,0.08830161,0.2605672528162877,4,1,7
Adharanee,Sivaji The Boss,"A.R. Rahman, Sayanora",2gDqKKTQBkUxEEviLT5C2I,2007-05-30,38,calm,True,60000,110.29411764705884,0.0014938678801341,0.3685178190543903,1.0,0.0,1.0,-22.741776,0.10706724,0.3357583683462574,7,1,7
Sahana,Sivaji The Boss,"Udit Narayan, Chinmayi",4h2nt5ALiafxBxor11zbgK,2007-05-30,40,sad,True,60000,95.33898305084746,0.0014847603437093,0.1914238683956185,1.0,0.0296453349292278,1.0,-20.018667,0.09599631,0.2123996933905955,5,1,7
The Boss,Sivaji The Boss,"Blaaze, Naresh Iyer, Raqueeb Alam",6tJpTfG8Z2tv7kDnokqGpu,2007-05-30,32,energetic,True,60000,74.01315789473684,0.0017497143587898,0.2386307538382065,1.0,0.0,1.0,-22.770277,0.07969266,0.2196750528575387,3,0,7
Sahara,Sivaji The Boss,"Vijay Yesudas, Gomathisree, Chorus",19Angv8HsNjHZYScq3BQe2,2007-05-30,36,sad,True,60000,170.45454545454547,0.0008406306605474,0.215618785826964,0.9545612931251526,0.0,1.0,-21.403183,0.095567755,0.2233006170941232,9,1,7
Arabu Naadu,Thottal Poo Malarum,"Haricharan, Yuvan Shankar Raja",7JqpYvigO9X4QY3W9QTArZ,2007-06-30,55,calm,True,60000,114.79591836734694,0.0008935966547449,0.3142067278317187,1.0,0.0,1.0,-20.26336097717285,0.0988842397928237,0.304338351636236,0,1,7
Vittal Sureyan,Thottal Poo Malarum,"Ranjith Govind, Yuvan Shankar Raja",4Dw8NnW2H0Xyvv9N4fT6NL,2007-06-30,10,calm,True,60000,122.28260869565216,0.0010650134146954,0.3919958500433256,1.0,0.0,1.0,-18.71169090270996,0.0911640375852584,0.2467588960449579,6,0,7
Kadathuren Naan,Thottal Poo Malarum,"Rahul Nambiar, Saindhavi",29SBH1MjtGmVRXL0M9jBf6,2007-06-30,13,energetic,True,60000,80.35714285714286,0.0009789370575795,0.3445155757032083,1.0,0.0,1.0,-18.492956161499023,0.0928429439663887,0.2355165962447207,3,0,7
