name,album,artist,id,release_date,popularity,mood,lyrics_available,duration_ms,tempo,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,key,mode,time_signature
Thalaiva,Bujjigadu,"Mark Lazaro, Anaida",0UEcVdjPDuKScPYR5YMo0g,2008-04-17,33,energetic,True,60000,170.45454545454547,0.0011702776418766,0.351971281494401,1.0,0.0,1.0,-18.36377,0.0838838,0.2486300852046297,2,1,7
Sude Sude,Bujjigadu,Shruti Pathak,4vFYVcfZoP1IjPtcq74anI,2008-04-17,35,happy,True,60000,95.33898305084746,0.00120975388903,0.3294093202875044,1.0,0.0,1.0,-22.263922,0.0902605,0.3176161875038586,11,1,7
Love Me,Bujjigadu,"Sandeep Chowta, Nikita Nigam",6iR5loHbftRsAmXPuKMdJK,2008-04-17,51,calm,True,60000,133.92857142857142,0.0012071441933403,0.4100247629588073,1.0,0.0,1.0,-21.88807,0.07301126,0.3047461369960089,9,1,7
Chitti Aayirey,Bujjigadu,"Pradeep Somasundaran, Sonu Kakkar",2lxcpjYiY2LMpLkg1P3P5F,2008-04-17,45,energetic,True,60000,140.625,0.0014746101346292,0.2675670158638464,0.9513083696365356,0.2935517430305481,1.0,-26.955986,0.087246165,0.2767809968333347,11,1,7
Dhadak Dhadak,Bujjigadu,"Sandeep Chowta, Nikita Nigam",43DKr3TCXmKLnSFlVli306,2008-04-17,47,energetic,False,60000,119.6808510638298,0.0012016359906554,0.2912455320443032,1.0,0.0,1.0,-22.24533,0.08826485,0.2644508428624372,9,1,7
Guchi Guchi,Bujjigadu,"Sandeep Chowta, Shruti Pathak",67Zl1Up9ciAgXwOY3pQqzG,2008-04-17,38,energetic,True,60000,137.1951219512195,0.0008588394086512,0.28807725848738,1.0,0.0,1.0,-16.695606,0.078456804,0.2738629401885996,4,1,7
Jalsa Jalsa,Jalsa,"Baba Sehgal, Rita Thyagarajan",0I9RbCJItXY1jxGIAsQT0t,2008-02-28,62,energetic,True,60000,112.5,0.001078245597626,0.305971212756621,1.0,0.0,1.0,-18.94795608520508,0.0906159058213234,0.3232308691230557,2,1,7
My Heart is Beating,Jalsa,KK,3ppaMjhBDxRi2kTpawOSJn,2008-02-28,67,energetic,True,60000,130.8139534883721,0.0010591953504275,0.3288577690355048,1.0,0.0131586864590644,1.0,-21.60773277282715,0.0947622880339622,0.3308154344374295,9,1,7
You & I,Jalsa,Devi Sri Prasad,2B4aHNymPu3qYSjFnoxZGH,2008-02-28,52,energetic,True,60000,110.29411764705884,0.0009008042111095,0.3603126805234625,1.0,1.0,1.0,-22.97348594665528,0.093597300350666,0.2760517467417563,3,0,7
Chalore Chalore (Hindi),Jalsa,Devi Sri Prasad,3U2CHs5bINydvVwt0y9PuG,2008-02-28,43,energetic,True,60000,133.92857142857142,0.0007411743743742,0.3057173516374866,1.0,0.0079017430543899,1.0,-22.31478500366211,0.098082385957241,0.2786686455870055,3,0,7
Jennifer Lopez,Jalsa,"Benny Dayal, Priya",7DogGBT86sbjsNWQSIGLtB,2008-02-28,59,energetic,True,60000,100.44642857142856,0.0008848150033192,0.3053129096493956,1.0,0.1288081705570221,1.0,-12.760674476623535,0.0743177756667137,0.4150915706144515,1,0,7
Gaallo Thelinattunde,Jalsa,"Tippu, Gopika Poornima",5n1FBtJgcDePfo8q6hBQPu,2008-02-28,62,energetic,True,60000,114.79591836734694,0.0006943185592733,0.2553994741212673,1.0,0.0,1.0,-19.393272399902344,0.0846230611205101,0.2750845370387349,4,1,7
Chalore Chalore (Telugu),Jalsa,Ranjith Govind,71fCqjqfJz23Bjodiqt4GY,2008-02-28,55,energetic,True,60000,137.1951219512195,0.0009399336909619,0.2159685500355492,0.6159349083900452,0.0174865759909153,1.0,-28.43906593322754,0.0985162183642387,0.2524484949630861,3,0,7
Jalsa Jalsa (Remix),Jalsa,"Baba Sehgal, Devi Sri Prasad",5fP5wg1Chzg5cPbHIdGscu,2008-02-28,48,energetic,True,60000,130.8139534883721,0.001627038926751,0.3890818715561678,1.0,0.0,1.0,-20.58473014831543,0.0819976478815078,0.336055842717352,2,1,7
My Heart is Beating (Remix),Jalsa,KK,0HTTwOa3XTNreVIcoWp7u5,2008-02-28,43,energetic,True,60000,110.29411764705884,0.0009909894925266,0.9478809669947564,0.532999575138092,1.0,1.0,-28.381471633911133,0.0762919634580612,0.65265460035292,3,0,7
King,King,"Leslee Lewis, Mamta Mohandas",3pjzMK4NjAlQCoeft98S5u,2008,39,energetic,True,60000,98.6842105263158,0.0012640277551278,0.1981835173746889,1.0,0.0,1.0,-16.7622013092041,0.0902366787195205,0.2978474274182789,8,0,7
A To Z,King,"Naveen Madhav, Priya Hemesh",3M7YZRSbQnOfM5sdW5XtuT,2008,44,energetic,True,29930,87.890625,0.0013747484447734,0.3129811467057198,1.0,0.1464032381772995,1.0,-17.90570068359375,0.0942455977201461,0.2996747100063838,6,0,7
